Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.00244,9.185078,[15  9] ; [13 37],[ 9.08108108 14.91891892] ; [18.91891892 31.08108108],0
r1,1,0.00501,7.8759,[18  6] ; [21 31],[12.31578947 11.68421053] ; [26.68421053 25.31578947],0
r4,1,0.012366,6.257625,[18  6] ; [23 29],[12.94736842 11.05263158] ; [28.05263158 23.94736842],0
p3,1,0.034108,4.489258,[12 11] ; [14 38],[ 7.97333333 15.02666667] ; [18.02666667 33.97333333],0
b4,1,0.040181,4.210227,[18  6] ; [26 26],[13.89473684 10.10526316] ; [30.10526316 21.89473684],0
p8,1,0.050695,3.818334,[11 12] ; [13 39],[ 7.36 15.64] ; [16.64 35.36],0
n3,1,0.051796,3.782336,[6 1] ; [13 16],[3.69444444 3.30555556] ; [15.30555556 13.69444444],0
a4,1,0.084195,2.98201,[ 5 19] ; [21 30],[ 8.32 15.68] ; [17.68 33.32],0
d5,1,0.088519,2.901104,[17  7] ; [26 26],[13.57894737 10.42105263] ; [29.42105263 22.57894737],0
s6,1,0.096804,2.757427,[14  9] ; [20 30],[10.71232877 12.28767123] ; [23.28767123 26.71232877],0
r2,1,0.12878,2.307149,[20  3] ; [36 15],[17.40540541  5.59459459] ; [38.59459459 12.40540541],0
p7,1,0.13998,2.178183,[13  9] ; [21 31],[10.10810811 11.89189189] ; [23.89189189 28.10810811],0
p4,1,0.151284,2.059254,[12 10] ; [19 33],[ 9.21621622 12.78378378] ; [21.78378378 30.21621622],0
b2,1,0.169863,1.884148,[ 3 10] ; [14 17],[5.02272727 7.97727273] ; [11.97727273 19.02272727],0
b3,1,0.169863,1.884148,[ 3 10] ; [14 17],[5.02272727 7.97727273] ; [11.97727273 19.02272727],0
p10,1,0.188814,1.72685,[13 11] ; [19 31],[10.37837838 13.62162162] ; [21.62162162 28.37837838],0
a5,1,0.193391,1.691595,[14 10] ; [22 30],[11.36842105 12.63157895] ; [24.63157895 27.36842105],0
b5,1,0.193391,1.691595,[10 14] ; [30 22],[12.63157895 11.36842105] ; [27.36842105 24.63157895],0
p6,1,0.216178,1.529566,[ 7 16] ; [ 9 42],[ 4.97297297 18.02702703] ; [11.02702703 39.97297297],0
n4,1,0.227542,1.456159,[18  6] ; [31 20],[15.68  8.32] ; [33.32 17.68],0
v4,1,0.236476,1.401482,[20  4] ; [36 15],[17.92  6.08] ; [38.08 12.92],0
n2,1,0.239407,1.384083,[6 2] ; [15 14],[4.54054054 3.45945946] ; [16.45945946 12.54054054],0
b1,1,0.269621,1.218674,[13 11] ; [35 17],[15.15789474  8.84210526] ; [32.84210526 19.15789474],0
v1,1,0.296482,1.089951,[11 13] ; [17 34],[ 8.96 15.04] ; [19.04 31.96],0
s1,1,0.31179,1.023077,[ 3 21] ; [ 3 49],[ 1.89473684 22.10526316] ; [ 4.10526316 47.89473684],0
s4,1,0.314836,1.01028,[ 6 18] ; [ 8 44],[ 4.42105263 19.57894737] ; [ 9.57894737 42.42105263],0
u2,1,0.329111,0.952393,[4 5] ; [ 7 19],[2.82857143 6.17142857] ; [ 8.17142857 17.82857143],0
d3,1,0.343627,0.896853,[12 12] ; [20 32],[10.10526316 13.89473684] ; [21.89473684 30.10526316],0
a3,1,0.349881,0.873887,[15  9] ; [26 25],[13.12 10.88] ; [27.88 23.12],0
n6,1,0.364815,0.82125,[17  7] ; [30 20],[15.24324324  8.75675676] ; [31.75675676 18.24324324],0
