Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1.5e-05,18.694842,[132 380] ; [20 13],[142.79633028 369.20366972] ; [ 9.20366972 23.79633028],1
p1,1,0.000373,12.661045,[ 27 497] ; [ 7 28],[ 31.87119857 492.12880143] ; [ 2.12880143 32.87119857],1
p4,1,0.000604,11.764932,[227 297] ; [25  9],[236.64516129 287.35483871] ; [15.35483871 18.64516129],1
p3,1,0.00109,10.668391,[199 327] ; [23 12],[208.14973262 317.85026738] ; [13.85026738 21.14973262],0
v1,1,0.006508,7.404042,[232 280] ; [23 10],[239.55963303 272.44036697] ; [15.44036697 17.55963303],0
s7,1,0.00689,7.301302,[192 309] ; [21 13],[199.4635514 301.5364486] ; [13.5364486 20.4635514],0
p12,1,0.009948,6.644211,[ 24 500] ; [ 5 29],[ 27.23297491 496.76702509] ; [ 1.76702509 32.23297491],0
s8,1,0.010048,6.626391,[179 346] ; [19 15],[185.95706619 339.04293381] ; [12.04293381 21.95706619],0
p8,1,0.028244,4.813089,[207 314] ; [20 14],[213.09369369 307.90630631] ; [13.90630631 20.09369369],0
p9,1,0.051561,3.789961,[398 120] ; [31  3],[402.57608696 115.42391304] ; [26.42391304  7.57608696],0
b3,1,0.080761,3.049513,[ 93 207] ; [12 13],[ 96.92307692 203.07692308] ; [ 8.07692308 16.92307692],0
b2,1,0.080761,3.049513,[ 93 207] ; [12 13],[ 96.92307692 203.07692308] ; [ 8.07692308 16.92307692],0
d1,1,0.08318,3.001655,[282 245] ; [24 11],[286.9430605 240.0569395] ; [19.0569395 15.9430605],0
v3,1,0.084382,2.978404,[184 320] ; [17 16],[188.64804469 315.35195531] ; [12.35195531 20.64804469],0
s1,1,0.084804,2.970334,[ 16 502] ; [ 3 32],[ 17.79746835 500.20253165] ; [ 1.20253165 33.79746835],0
r3,1,0.089328,2.88645,[491  35] ; [30  5],[488.49554367  37.50445633] ; [32.50445633  2.49554367],0
d2,1,0.096012,2.770563,[238 285] ; [21 14],[242.75448029 280.24551971] ; [16.24551971 18.75448029],0
b1,1,0.102612,2.664469,[184 343] ; [17 18],[188.48220641 338.51779359] ; [12.51779359 22.48220641],0
n4,1,0.115678,2.47488,[369 155] ; [29  6],[373.08050089 150.91949911] ; [24.91949911 10.08050089],0
a2,1,0.117137,2.455191,[120 407] ; [ 4 31],[116.27758007 410.72241993] ; [ 7.72241993 27.27758007],0
n1,1,0.132855,2.258824,[49 87] ; [5 3],[51. 85.] ; [3. 5.],0
d4,1,0.153525,2.036869,[411 113] ; [31  4],[414.3255814 109.6744186] ; [27.6744186  7.3255814],0
p10,1,0.158824,1.98539,[389 133] ; [29  5],[392.43884892 129.56115108] ; [25.56115108  8.43884892],0
n5,1,0.183055,1.772643,[362 160] ; [28  7],[365.49371634 156.50628366] ; [24.50628366 10.49371634],0
a6,1,0.215828,1.531897,[368 158] ; [21 14],[364.73083779 161.26916221] ; [24.26916221 10.73083779],0
a5,1,0.217237,1.522531,[370 157] ; [28  7],[373.21352313 153.78647687] ; [24.78647687 10.21352313],0
s4,1,0.261627,1.260126,[ 84 440] ; [ 3 31],[ 81.69892473 442.30107527] ; [ 5.30107527 28.69892473],0
d3,1,0.273127,1.200976,[343 183] ; [26  9],[345.97860963 180.02139037] ; [23.02139037 11.97860963],0
n3,1,0.350201,0.872727,[95 40] ; [5 4],[93.75 41.25] ; [6.25 2.75],0
n6,1,0.382546,0.762505,[415 110] ; [29  5],[416.99463327 108.00536673] ; [27.00536673  6.99463327],0
p2,1,0.382574,0.762416,[402 124] ; [29  6],[404.11051693 121.88948307] ; [26.88948307  8.11051693],0
r4,1,0.40175,0.703083,[475  52] ; [30  5],[473.54982206  53.45017794] ; [31.45017794  3.54982206],0
s6,1,0.468384,0.525786,[313 206] ; [22 11],[314.97282609 204.02717391] ; [20.02717391 12.97282609],0
v4,1,0.47289,0.515215,[494  30] ; [34  1],[494.94096601  29.05903399] ; [33.05903399  1.94096601],0
a8,1,0.545572,0.36531,[ 61 420] ; [ 3 30],[ 59.89105058 421.10894942] ; [ 4.10894942 28.89105058],0
u2,1,0.563688,0.333359,[84 82] ; [6 4],[84.88636364 81.11363636] ; [5.11363636 4.88636364],0
a4,1,0.573767,0.316421,[220 304] ; [13 22],[218.41144902 305.58855098] ; [14.58855098 20.41144902],0
d5,1,0.576613,0.311742,[415 111] ; [29  6],[416.29946524 109.70053476] ; [27.70053476  7.29946524],0
p7,1,0.63524,0.225022,[252 265] ; [18 16],[253.33938294 263.66061706] ; [16.66061706 17.33938294],0
p11,1,0.663646,0.189125,[389 138] ; [27  8],[390.09252669 136.90747331] ; [25.90747331  9.09252669],0
a3,1,0.67319,0.177893,[357 168] ; [25 10],[358.125 166.875] ; [23.875 11.125],0
b5,1,0.674974,0.175838,[320 207] ; [20 15],[318.82562278 208.17437722] ; [21.17437722 13.82562278],0
n2,1,0.719331,0.129134,[99 38] ; [7 2],[99.46575342 37.53424658] ; [6.53424658 2.46575342],0
u1,1,0.730732,0.118441,[ 79 448] ; [ 6 29],[ 79.70640569 447.29359431] ; [ 5.29359431 29.70640569],0
a1,1,0.776937,0.080266,[ 20 507] ; [ 1 34],[ 19.69217082 507.30782918] ; [ 1.30782918 33.69217082],0
b4,1,0.788269,0.072124,[304 223] ; [21 14],[304.75978648 222.24021352] ; [20.24021352 14.75978648],0
u3,1,0.802107,0.062811,[94 74] ; [6 4],[94.38202247 73.61797753] ; [5.61797753 4.38202247],0
s3,1,0.805099,0.060887,[277 240] ; [18 17],[276.29528986 240.70471014] ; [18.70471014 16.29528986],0
s2,1,0.847133,0.037163,[232 289] ; [15 20],[231.45143885 289.54856115] ; [15.54856115 19.45143885],0
v2,1,0.877838,0.023627,[265 236] ; [17 16],[264.57303371 236.42696629] ; [17.42696629 15.57303371],0
r1,1,0.924826,0.008903,[421 101] ; [28  7],[420.78635548 101.21364452] ; [28.21364452  6.78635548],0
a7,1,0.936468,0.006354,[379 147] ; [25 10],[378.79500891 147.20499109] ; [25.20499109  9.79500891],0
