Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.004397,8.112,[ 2 23] ; [3 2],[ 4.16666667 20.83333333] ; [0.83333333 4.16666667],0
b3,1,0.009195,6.784615,[ 2 11] ; [4 1],[4.33333333 8.66666667] ; [1.66666667 3.33333333],0
b2,1,0.009195,6.784615,[ 2 11] ; [4 1],[4.33333333 8.66666667] ; [1.66666667 3.33333333],0
a2,1,0.014306,6.0,[ 3 22] ; [3 2],[ 5. 20.] ; [1. 4.],0
r1,1,0.022306,5.221726,[ 5 20] ; [3 1],[ 6.89655172 18.10344828] ; [1.10344828 2.89655172],0
v3,1,0.022306,5.221726,[ 5 20] ; [3 1],[ 6.89655172 18.10344828] ; [1.10344828 2.89655172],0
d2,1,0.0455,4.0,[ 8 17] ; [4 1],[10. 15.] ; [2. 3.],0
v1,1,0.114169,2.495544,[ 8 16] ; [3 1],[ 9.42857143 14.57142857] ; [1.57142857 2.42857143],0
r3,1,0.122166,2.389333,[19  6] ; [1 2],[17.85714286  7.14285714] ; [2.14285714 0.85714286],0
a1,1,0.19043,1.714286,[ 1 24] ; [1 4],[ 1.66666667 23.33333333] ; [0.33333333 4.66666667],0
p3,1,0.248749,1.330317,[13 12] ; [4 1],[14.16666667 10.83333333] ; [2.83333333 2.16666667],0
a3,1,0.248749,1.330317,[13 12] ; [4 1],[14.16666667 10.83333333] ; [2.83333333 2.16666667],0
d1,1,0.317311,1.0,[ 9 16] ; [3 2],[10. 15.] ; [2. 3.],0
r2,1,0.333697,0.934497,[17  6] ; [2 2],[16.18518519  6.81481481] ; [2.81481481 1.18518519],0
s2,1,0.377822,0.777778,[15 10] ; [1 2],[14.28571429 10.71428571] ; [1.71428571 1.28571429],0
b1,1,0.396898,0.717703,[15 10] ; [4 1],[15.83333333  9.16666667] ; [3.16666667 1.83333333],0
d4,1,0.396898,0.717703,[15 10] ; [4 1],[15.83333333  9.16666667] ; [3.16666667 1.83333333],0
a5,1,0.396898,0.717703,[15 10] ; [4 1],[15.83333333  9.16666667] ; [3.16666667 1.83333333],0
b4,1,0.410023,0.678733,[10 15] ; [3 2],[10.83333333 14.16666667] ; [2.16666667 2.83333333],0
a4,1,0.410023,0.678733,[10 15] ; [3 2],[10.83333333 14.16666667] ; [2.16666667 2.83333333],0
s8,1,0.473763,0.513186,[11 14] ; [1 3],[10.34482759 14.65517241] ; [1.65517241 2.34482759],0
n6,1,0.488422,0.48,[16  9] ; [4 1],[16.66666667  8.33333333] ; [3.33333333 1.66666667],0
s5,1,0.538253,0.378788,[ 4 18] ; [1 2],[ 4.4 17.6] ; [0.6 2.4],0
s3,1,0.541193,0.373333,[13 12] ; [1 2],[12.5 12.5] ; [1.5 1.5],0
s6,1,0.541193,0.373333,[13 12] ; [1 2],[12.5 12.5] ; [1.5 1.5],0
d3,1,0.564144,0.332579,[11 13] ; [3 2],[11.5862069 12.4137931] ; [2.4137931 2.5862069],0
s7,1,0.656005,0.198413,[13  8] ; [2 2],[12.6  8.4] ; [2.4 1.6],0
b5,1,0.711923,0.136364,[18  7] ; [4 1],[18.33333333  6.66666667] ; [3.66666667 1.33333333],0
n1,1,0.715388,0.132955,[4 7] ; [1 1],[4.23076923 6.76923077] ; [0.76923077 1.23076923],0
v4,1,0.724263,0.124444,[19  6] ; [2 1],[18.75  6.25] ; [2.25 0.75],0
n4,1,0.865455,0.028708,[16  9] ; [3 2],[15.83333333  9.16666667] ; [3.16666667 1.83333333],0
a6,1,0.865455,0.028708,[16  9] ; [3 2],[15.83333333  9.16666667] ; [3.16666667 1.83333333],0
a7,1,0.869125,0.027149,[14 11] ; [3 2],[14.16666667 10.83333333] ; [2.83333333 2.16666667],0
n3,1,0.905581,0.014069,[6 5] ; [1 1],[5.92307692 5.07692308] ; [1.07692308 0.92307692],0
