Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,5.8e-05,16.183244,[40 20] ; [59  3],[48.68852459 11.31147541] ; [50.31147541 11.68852459],1
p6,1,0.001652,9.901347,[ 5 55] ; [19 42],[11.90082645 48.09917355] ; [12.09917355 48.90082645],0
p10,1,0.002788,8.941105,[25 34] ; [43 19],[33.15702479 25.84297521] ; [34.84297521 27.15702479],0
p12,1,0.009693,6.69044,[ 1 59] ; [ 9 53],[ 4.91803279 55.08196721] ; [ 5.08196721 56.91803279],0
s6,1,0.011289,6.419254,[25 33] ; [41 21],[31.9 26.1] ; [34.1 27.9],0
p7,1,0.014357,5.99373,[12 47] ; [25 36],[18.19166667 40.80833333] ; [18.80833333 42.19166667],0
p9,1,0.022272,5.22438,[29 29] ; [43 18],[35.09243697 22.90756303] ; [36.90756303 24.09243697],0
v3,1,0.022482,5.208085,[15 42] ; [28 32],[20.94871795 36.05128205] ; [22.05128205 37.94871795],0
n1,1,0.027112,4.883658,[17 13] ; [ 5 15],[13.2 16.8] ; [ 8.8 11.2],0
s2,1,0.03068,4.670788,[19 40] ; [32 30],[24.8677686 34.1322314] ; [26.1322314 35.8677686],0
r4,1,0.032996,4.545975,[38 22] ; [50 12],[43.27868852 16.72131148] ; [44.72131148 17.27868852],0
s5,1,0.045609,3.995974,[13 44] ; [24 36],[18.02564103 38.97435897] ; [18.97435897 41.02564103],0
v4,1,0.048942,3.877346,[45 15] ; [55  7],[49.18032787 10.81967213] ; [50.81967213 11.18032787],0
a4,1,0.049123,3.871143,[39 20] ; [30 32],[33.6446281 25.3553719] ; [35.3553719 26.6446281],0
r1,1,0.061261,3.502909,[36 24] ; [47 15],[40.81967213 19.18032787] ; [42.18032787 19.81967213],0
s1,1,0.074569,3.179474,[ 7 53] ; [ 2 60],[ 4.42622951 55.57377049] ; [ 4.57377049 57.42622951],0
p4,1,0.075048,3.169012,[16 43] ; [26 35],[20.65 38.35] ; [21.35 39.65],0
p8,1,0.086393,2.940331,[11 48] ; [20 42],[15.11570248 43.88429752] ; [15.88429752 46.11570248],0
p3,1,0.086643,2.935669,[17 43] ; [26 34],[21.5 38.5] ; [21.5 38.5],0
s7,1,0.091426,2.849085,[19 35] ; [31 30],[23.47826087 30.52173913] ; [26.52173913 34.47826087],0
r2,1,0.117317,2.452779,[49  9] ; [57  4],[51.66386555  6.33613445] ; [54.33613445  6.66386555],0
u2,1,0.180101,1.796791,[3 9] ; [8 8],[4.71428571 7.28571429] ; [6.28571429 9.71428571],0
p5,1,0.180368,1.794587,[ 8 50] ; [ 4 58],[ 5.8 52.2] ; [ 6.2 55.8],0
p11,1,0.205917,1.599901,[27 33] ; [35 27],[30.49180328 29.50819672] ; [31.50819672 30.49180328],0
u3,1,0.21918,1.509733,[5 7] ; [11  6],[6.62068966 5.37931034] ; [9.37931034 7.62068966],0
d4,1,0.223326,1.482868,[44 15] ; [51 10],[46.70833333 12.29166667] ; [48.29166667 12.70833333],0
s8,1,0.238528,1.389275,[19 40] ; [26 35],[22.125 36.875] ; [22.875 38.125],0
a3,1,0.252592,1.308913,[48 11] ; [45 17],[45.34710744 13.65289256] ; [47.65289256 14.34710744],0
a2,1,0.258701,1.275694,[19 41] ; [14 48],[16.2295082 43.7704918] ; [16.7704918 45.2295082],0
a7,1,0.279571,1.169176,[36 24] ; [43 19],[38.85245902 21.14754098] ; [40.14754098 21.85245902],0
n5,1,0.293094,1.105355,[44 16] ; [40 22],[41.31147541 18.68852459] ; [42.68852459 19.31147541],0
s3,1,0.303305,1.059605,[24 35] ; [31 31],[26.81818182 32.18181818] ; [28.18181818 33.81818182],0
d2,1,0.309008,1.03491,[37 20] ; [34 27],[34.29661017 22.70338983] ; [36.70338983 24.29661017],0
