Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5.4e-05,16.289476,[7 4] ; [ 2 30],[2.30232558 8.69767442] ; [ 6.69767442 25.30232558],1
v2,1,0.000161,14.238123,[8 3] ; [ 4 27],[3.14285714 7.85714286] ; [ 8.85714286 22.14285714],1
p6,1,0.000722,11.430895,[5 6] ; [ 1 29],[1.6097561 9.3902439] ; [ 4.3902439 25.6097561],1
s3,1,0.013079,6.158358,[7 4] ; [ 7 24],[3.66666667 7.33333333] ; [10.33333333 20.66666667],0
r3,1,0.014023,6.035191,[9 2] ; [12 19],[5.5 5.5] ; [15.5 15.5],0
s5,1,0.019585,5.448526,[3 8] ; [ 1 30],[1.04761905 9.95238095] ; [ 2.95238095 28.04761905],0
p4,1,0.041821,4.142446,[6 5] ; [ 7 25],[3.3255814 7.6744186] ; [ 9.6744186 22.3255814],0
p11,1,0.043309,4.0833,[8 3] ; [12 20],[5.11627907 5.88372093] ; [14.88372093 17.11627907],0
s7,1,0.06009,3.534897,[4 6] ; [ 4 27],[1.95121951 8.04878049] ; [ 6.04878049 24.95121951],0
s8,1,0.060605,3.520754,[3 8] ; [ 2 30],[1.27906977 9.72093023] ; [ 3.72093023 28.27906977],0
p2,1,0.082366,3.017595,[6 5] ; [ 8 23],[3.66666667 7.33333333] ; [10.33333333 20.66666667],0
v3,1,0.101066,2.688636,[4 6] ; [ 5 27],[2.14285714 7.85714286] ; [ 6.85714286 25.14285714],0
n4,1,0.112724,2.515605,[5 6] ; [23  9],[7.1627907 3.8372093] ; [20.8372093 11.1627907],0
p3,1,0.132562,2.262242,[5 6] ; [ 7 25],[3.06976744 7.93023256] ; [ 8.93023256 23.06976744],0
u3,1,0.160711,1.967525,[1 2] ; [ 1 15],[0.31578947 2.68421053] ; [ 1.68421053 14.31578947],0
a3,1,0.190401,1.714514,[8 3] ; [16 16],[6.13953488 4.86046512] ; [17.86046512 14.13953488],0
d5,1,0.190401,1.714514,[8 3] ; [16 16],[6.13953488 4.86046512] ; [17.86046512 14.13953488],0
b5,1,0.190401,1.714514,[8 3] ; [16 16],[6.13953488 4.86046512] ; [17.86046512 14.13953488],0
p8,1,0.211522,1.560979,[3 7] ; [ 4 27],[1.70731707 8.29268293] ; [ 5.29268293 25.70731707],0
d1,1,0.237862,1.393222,[6 5] ; [11 21],[4.34883721 6.65116279] ; [12.65116279 19.34883721],0
b4,1,0.238187,1.39129,[9 2] ; [20 12],[7.41860465 3.58139535] ; [21.58139535 10.41860465],0
s4,1,0.252252,1.310786,[3 8] ; [ 4 28],[1.79069767 9.20930233] ; [ 5.20930233 26.79069767],0
d3,1,0.255014,1.295627,[7 4] ; [14 18],[5.37209302 5.62790698] ; [15.62790698 16.37209302],0
v1,1,0.255166,1.294795,[4 7] ; [ 6 25],[2.61904762 8.38095238] ; [ 7.38095238 23.61904762],0
n6,1,0.292407,1.108504,[7 4] ; [14 17],[5.5 5.5] ; [15.5 15.5],0
d4,1,0.334932,0.929736,[8 3] ; [18 14],[6.65116279 4.34883721] ; [19.34883721 12.65116279],0
p9,1,0.335467,0.927677,[7 4] ; [14 16],[5.63414634 5.36585366] ; [15.36585366 14.63414634],0
a5,1,0.337364,0.920424,[7 4] ; [15 17],[5.62790698 5.37209302] ; [16.37209302 15.62790698],0
p10,1,0.361874,0.831378,[6 5] ; [12 19],[4.71428571 6.28571429] ; [13.28571429 17.71428571],0
u2,1,0.363823,0.824653,[1 2] ; [ 2 14],[0.47368421 2.52631579] ; [ 2.52631579 13.47368421],0
p12,1,0.417629,0.656978,[ 1 10] ; [ 1 31],[ 0.51162791 10.48837209] ; [ 1.48837209 30.51162791],0
r4,1,0.431841,0.617868,[2 9] ; [ 3 29],[1.27906977 9.72093023] ; [ 3.72093023 28.27906977],0
a2,1,0.431841,0.617868,[2 9] ; [ 3 29],[1.27906977 9.72093023] ; [ 3.72093023 28.27906977],0
p1,1,0.454107,0.560381,[ 1 10] ; [ 6 26],[1.79069767 9.20930233] ; [ 5.20930233 26.79069767],0
a4,1,0.505485,0.443402,[4 7] ; [ 8 23],[3.14285714 7.85714286] ; [ 8.85714286 22.14285714],0
a7,1,0.544784,0.366745,[4 7] ; [15 17],[4.86046512 6.13953488] ; [14.13953488 17.86046512],0
b2,1,0.55791,0.343336,[2 5] ; [ 9 13],[2.65517241 4.34482759] ; [ 8.34482759 13.65517241],0
b3,1,0.55791,0.343336,[2 5] ; [ 9 13],[2.65517241 4.34482759] ; [ 8.34482759 13.65517241],0
d2,1,0.592379,0.286644,[6 5] ; [14 17],[5.23809524 5.76190476] ; [14.76190476 16.23809524],0
n5,1,0.607777,0.263425,[7 4] ; [23  9],[7.6744186 3.3255814] ; [22.3255814  9.6744186],0
p7,1,0.607777,0.263425,[4 7] ; [ 9 23],[3.3255814 7.6744186] ; [ 9.6744186 22.3255814],0
a8,1,0.638959,0.220106,[2 9] ; [ 4 28],[1.53488372 9.46511628] ; [ 4.46511628 27.53488372],0
b1,1,0.660631,0.192758,[5 6] ; [17 15],[5.62790698 5.37209302] ; [16.37209302 15.62790698],0
n2,1,0.848936,0.036281,[1 1] ; [6 8],[0.875 1.125] ; [6.125 7.875],0
r2,1,0.873237,0.025455,[5 6] ; [14 15],[5.225 5.775] ; [13.775 15.225],0
a6,1,0.93506,0.006639,[6 5] ; [17 15],[5.88372093 5.11627907] ; [17.11627907 14.88372093],0
n1,1,1.0,0.0,[1 1] ; [7 7],[1. 1.] ; [7. 7.],0
