Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.3e-05,17.893208,[40  8] ; [ 9 17],[31.78378378 16.21621622] ; [17.21621622  8.78378378],1
n1,1,0.005233,7.797052,[10  2] ; [ 4 10],[6.46153846 5.53846154] ; [7.53846154 6.46153846],0
p11,1,0.029956,4.711837,[36 12] ; [13 13],[31.78378378 16.21621622] ; [17.21621622  8.78378378],0
n6,1,0.033627,4.513554,[38  9] ; [15 11],[34.12328767 12.87671233] ; [18.87671233  7.12328767],0
r2,1,0.034526,4.468482,[46  2] ; [21  5],[43.45945946  4.54054054] ; [23.54054054  2.45945946],0
u1,1,0.073402,3.205258,[ 9 39] ; [ 1 25],[ 6.48648649 41.51351351] ; [ 3.51351351 22.48648649],0
a4,1,0.120261,2.413923,[20 27] ; [16 10],[23.17808219 23.82191781] ; [12.82191781 13.17808219],0
b1,1,0.153501,2.03711,[23 25] ; [ 8 18],[20.10810811 27.89189189] ; [10.89189189 15.10810811],0
p3,1,0.163392,1.942546,[19 28] ; [ 6 19],[16.31944444 30.68055556] ; [ 8.68055556 16.31944444],0
p7,1,0.164012,1.936839,[21 23] ; [ 8 18],[18.22857143 25.77142857] ; [10.77142857 15.22857143],0
v3,1,0.171263,1.871852,[22 23] ; [ 8 17],[19.28571429 25.71428571] ; [10.71428571 14.28571429],0
a3,1,0.18529,1.754675,[27 20] ; [19  7],[29.61643836 17.38356164] ; [16.38356164  9.61643836],0
r4,1,0.195711,1.674092,[41  7] ; [19  7],[38.91891892  9.08108108] ; [21.08108108  4.91891892],0
a6,1,0.199817,1.643709,[29 18] ; [12 14],[26.39726027 20.60273973] ; [14.60273973 11.39726027],0
a8,1,0.202539,1.623972,[ 6 38] ; [ 1 24],[ 4.46376812 39.53623188] ; [ 2.53623188 22.46376812],0
s7,1,0.209839,1.572538,[24 21] ; [ 9 15],[21.52173913 23.47826087] ; [11.47826087 12.52173913],0
a7,1,0.222536,1.487942,[31 17] ; [13 13],[28.54054054 19.45945946] ; [15.45945946 10.54054054],0
r1,1,0.279339,1.170305,[37 11] ; [17  9],[35.02702703 12.97297297] ; [18.97297297  7.02702703],0
n3,1,0.340018,0.910364,[9 3] ; [8 6],[7.84615385 4.15384615] ; [9.15384615 4.84615385],0
p1,1,0.35105,0.869658,[ 4 44] ; [ 4 22],[ 5.18918919 42.81081081] ; [ 2.81081081 23.18918919],0
d2,1,0.354311,0.857959,[20 27] ; [14 12],[21.89041096 25.10958904] ; [12.10958904 13.89041096],0
a2,1,0.359355,0.840148,[ 7 41] ; [ 6 20],[ 8.43243243 39.56756757] ; [ 4.56756757 21.43243243],0
p6,1,0.378475,0.77565,[16 31] ; [ 6 19],[14.36111111 32.63888889] ; [ 7.63888889 17.36111111],0
d4,1,0.424406,0.638082,[32 15] ; [20  6],[33.47945205 13.52054795] ; [18.52054795  7.47945205],0
u3,1,0.449692,0.571429,[15  6] ; [6 1],[15.75  5.25] ; [5.25 1.75],0
p8,1,0.456578,0.554271,[15 33] ; [ 6 20],[13.62162162 34.37837838] ; [ 7.37837838 18.62162162],0
s8,1,0.46875,0.524922,[23 24] ; [10 15],[21.54166667 25.45833333] ; [11.45833333 13.54166667],0
s4,1,0.470711,0.520306,[ 9 37] ; [ 7 19],[10.22222222 35.77777778] ; [ 5.77777778 20.22222222],0
p4,1,0.483637,0.490651,[16 31] ; [11 15],[17.38356164 29.61643836] ; [ 9.61643836 16.38356164],0
s2,1,0.483637,0.490651,[31 16] ; [15 11],[29.61643836 17.38356164] ; [16.38356164  9.61643836],0
s1,1,0.50635,0.441603,[ 6 41] ; [ 2 24],[ 5.15068493 41.84931507] ; [ 2.84931507 23.15068493],0
b4,1,0.584448,0.299099,[29 19] ; [14 12],[27.89189189 20.10810811] ; [15.10810811 10.89189189],0
s6,1,0.620234,0.245539,[34 13] ; [16  8],[33.09859155 13.90140845] ; [16.90140845  7.09859155],0
d1,1,0.626251,0.237179,[25 23] ; [12 14],[24. 24.] ; [13. 13.],0
d5,1,0.641451,0.216849,[30 17] ; [18  8],[30.90410959 16.09589041] ; [17.09589041  8.90410959],0
b5,1,0.659108,0.194609,[32 16] ; [16 10],[31.13513514 16.86486486] ; [16.86486486  9.13513514],0
p9,1,0.659674,0.19392,[35 13] ; [17  8],[34.19178082 13.80821918] ; [17.80821918  7.19178082],0
a5,1,0.686563,0.162831,[31 17] ; [18  8],[31.78378378 16.21621622] ; [17.21621622  8.78378378],0
p12,1,0.688532,0.160679,[ 3 45] ; [ 1 24],[ 2.63013699 45.36986301] ; [ 1.36986301 23.63013699],0
r3,1,0.71454,0.133784,[41  7] ; [23  3],[41.51351351  6.48648649] ; [22.48648649  3.51351351],0
n2,1,0.758742,0.094331,[10  2] ; [11  3],[9.69230769 2.30769231] ; [11.30769231  2.69230769],0
d3,1,0.766542,0.08815,[27 20] ; [14 12],[26.39726027 20.60273973] ; [14.60273973 11.39726027],0
v2,1,0.792079,0.069491,[27 20] ; [13 11],[26.47887324 20.52112676] ; [13.52112676 10.47887324],0
u2,1,0.826824,0.047863,[11 10] ; [4 3],[11.25  9.75] ; [3.75 3.25],0
v4,1,0.882058,0.022011,[43  5] ; [23  3],[42.81081081  5.18918919] ; [23.18918919  2.81081081],0
b2,1,0.895281,0.017325,[15 22] ; [5 8],[14.8 22.2] ; [5.2 7.8],0
b3,1,0.895281,0.017325,[15 22] ; [5 8],[14.8 22.2] ; [5.2 7.8],0
s3,1,0.899176,0.016054,[29 17] ; [16 10],[28.75 17.25] ; [16.25  9.75],0
