Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.063177,3.451944,[1 2] ; [ 2 38],[0.20930233 2.79069767] ; [ 2.79069767 37.20930233],0
p7,1,0.064989,3.405253,[2 1] ; [ 8 32],[0.69767442 2.30232558] ; [ 9.30232558 30.69767442],0
p4,1,0.120705,2.408154,[2 1] ; [10 30],[0.8372093 2.1627907] ; [11.1627907 28.8372093],0
s6,1,0.120705,2.408154,[2 1] ; [10 30],[0.8372093 2.1627907] ; [11.1627907 28.8372093],0
v2,1,0.129588,2.297436,[2 1] ; [10 29],[0.85714286 2.14285714] ; [11.14285714 27.85714286],0
a4,1,0.203737,1.615385,[2 1] ; [12 27],[1. 2.] ; [13. 26.],0
a2,1,0.223994,1.478596,[1 2] ; [ 4 36],[0.34883721 2.65116279] ; [ 4.65116279 35.34883721],0
s8,1,0.223994,1.478596,[1 2] ; [ 4 36],[0.34883721 2.65116279] ; [ 4.65116279 35.34883721],0
v1,1,0.245602,1.348148,[2 1] ; [13 26],[1.07142857 1.92857143] ; [13.92857143 25.07142857],0
u2,1,0.263552,1.25,[1 1] ; [ 3 15],[0.4 1.6] ; [ 3.6 14.4],0
d4,1,0.273769,1.197762,[1 2] ; [26 14],[1.88372093 1.11627907] ; [25.11627907 14.88372093],0
n5,1,0.318981,0.993118,[1 2] ; [25 15],[1.81395349 1.18604651] ; [24.18604651 15.81395349],0
r1,1,0.318981,0.993118,[2 1] ; [15 25],[1.18604651 1.81395349] ; [15.81395349 24.18604651],0
b4,1,0.366526,0.815407,[1 2] ; [24 16],[1.74418605 1.25581395] ; [23.25581395 16.74418605],0
p11,1,0.416252,0.660874,[2 1] ; [17 23],[1.3255814 1.6744186] ; [17.6744186 22.3255814],0
a3,1,0.439022,0.598838,[1 2] ; [22 17],[1.64285714 1.35714286] ; [21.35714286 17.64285714],0
p3,1,0.496694,0.461994,[1 2] ; [ 7 33],[0.55813953 2.44186047] ; [ 7.44186047 32.55813953],0
r2,1,0.519718,0.414453,[1 2] ; [20 18],[1.53658537 1.46341463] ; [19.46341463 18.53658537],0
b1,1,0.521818,0.410299,[2 1] ; [19 21],[1.46511628 1.53488372] ; [19.53488372 20.46511628],0
p8,1,0.584019,0.299782,[1 2] ; [ 8 32],[0.62790698 2.37209302] ; [ 8.37209302 31.62790698],0
b2,1,0.632305,0.228947,[1 1] ; [ 9 18],[0.68965517 1.31034483] ; [ 9.31034483 17.68965517],0
b3,1,0.632305,0.228947,[1 1] ; [ 9 18],[0.68965517 1.31034483] ; [ 9.31034483 17.68965517],0
n6,1,0.638839,0.220264,[1 2] ; [18 20],[1.3902439 1.6097561] ; [17.6097561 20.3902439],0
r4,1,0.668374,0.18351,[1 2] ; [ 9 31],[0.69767442 2.30232558] ; [ 9.30232558 30.69767442],0
a6,1,0.694722,0.15402,[1 2] ; [18 22],[1.3255814 1.6744186] ; [17.6744186 22.3255814],0
p9,1,0.701599,0.146813,[1 2] ; [17 21],[1.31707317 1.68292683] ; [16.68292683 21.31707317],0
d2,1,0.729406,0.119658,[1 2] ; [17 22],[1.28571429 1.71428571] ; [16.71428571 22.28571429],0
d3,1,0.756252,0.096352,[1 2] ; [17 23],[1.25581395 1.74418605] ; [16.74418605 23.25581395],0
a5,1,0.756252,0.096352,[2 1] ; [23 17],[1.74418605 1.25581395] ; [23.25581395 16.74418605],0
d5,1,0.756252,0.096352,[2 1] ; [23 17],[1.74418605 1.25581395] ; [23.25581395 16.74418605],0
n2,1,0.83008,0.046053,[1 1] ; [ 8 11],[0.85714286 1.14285714] ; [ 8.14285714 10.85714286],0
d1,1,0.903495,0.014701,[1 2] ; [12 28],[0.90697674 2.09302326] ; [12.09302326 27.90697674],0
p10,1,0.928831,0.007977,[1 2] ; [14 25],[1.07142857 1.92857143] ; [13.92857143 25.07142857],0
n4,1,0.953415,0.003413,[2 1] ; [26 14],[1.95348837 1.04651163] ; [26.04651163 13.95348837],0
