Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.935987,[395  38] ; [30 15],[384.98953975  48.01046025] ; [40.01046025  4.98953975],1
r4,1,0.000399,12.537078,[409  25] ; [36  9],[403.19415449  30.80584551] ; [41.80584551  3.19415449],1
p10,1,0.000553,11.929222,[374  54] ; [30 14],[366.33898305  61.66101695] ; [37.66101695  6.33898305],1
p3,1,0.006065,7.530977,[246 186] ; [16 29],[237.28301887 194.71698113] ; [24.71698113 20.28301887],0
p4,1,0.011478,6.389781,[300 131] ; [23 22],[292.46428571 138.53571429] ; [30.53571429 14.46428571],0
p6,1,0.011815,6.338447,[195 233] ; [11 32],[187.19320594 240.80679406] ; [18.80679406 24.19320594],0
s2,1,0.012624,6.220988,[290 140] ; [22 23],[282.44210526 147.55789474] ; [29.55789474 15.44210526],0
s5,1,0.013768,6.067634,[187 235] ; [10 31],[179.55507559 242.44492441] ; [17.44492441 23.55507559],0
s7,1,0.014554,5.969665,[275 140] ; [21 23],[267.62527233 147.37472767] ; [28.37472767 15.62527233],0
p11,1,0.02318,5.15499,[359  75] ; [31 14],[353.3611691  80.6388309] ; [36.6388309  8.3611691],0
d5,1,0.027181,4.87928,[370  63] ; [32 12],[364.91823899  68.08176101] ; [37.08176101  6.91823899],0
p8,1,0.027718,4.845536,[238 187] ; [17 27],[231.07675906 193.92324094] ; [23.92324094 20.07675906],0
d4,1,0.02774,4.844171,[369  63] ; [32 12],[363.93277311  68.06722689] ; [37.06722689  6.93277311],0
r2,1,0.030521,4.679729,[412  18] ; [38  5],[409.09090909  20.90909091] ; [40.90909091  2.09090909],0
a4,1,0.041305,4.163438,[212 218] ; [15 30],[205.49473684 224.50526316] ; [21.50526316 23.49473684],0
u2,1,0.042466,4.116549,[62 42] ; [13  2],[65.54621849 38.45378151] ; [9.45378151 5.54621849],0
p9,1,0.047757,3.91851,[384  45] ; [35  9],[380.02325581  48.97674419] ; [38.97674419  5.02325581],0
b1,1,0.052733,3.752346,[167 267] ; [24 21],[173.05636743 260.94363257] ; [17.94363257 27.05636743],0
s8,1,0.055446,3.668613,[256 176] ; [20 25],[249.96226415 182.03773585] ; [26.03773585 18.96226415],0
a7,1,0.072856,3.217473,[314 118] ; [27 18],[308.83018868 123.16981132] ; [32.16981132 12.83018868],0
v3,1,0.077937,3.107401,[188 235] ; [12 28],[182.72138229 240.27861771] ; [17.27861771 22.72138229],0
p5,1,0.08026,3.059619,[ 73 357] ; [ 3 41],[ 68.94514768 361.05485232] ; [ 7.05485232 36.94514768],0
p1,1,0.093918,2.805895,[ 42 389] ; [ 1 44],[ 38.93487395 392.06512605] ; [ 4.06512605 40.93487395],0
b5,1,0.099984,2.705807,[264 170] ; [33 12],[269.09812109 164.90187891] ; [27.90187891 17.09812109],0
b3,1,0.108172,2.580724,[107 173] ; [ 7 23],[102.96774194 177.03225806] ; [11.03225806 18.96774194],0
b2,1,0.108172,2.580724,[107 173] ; [ 7 23],[102.96774194 177.03225806] ; [11.03225806 18.96774194],0
u1,1,0.113229,2.508562,[103 331] ; [ 6 39],[ 98.75991649 335.24008351] ; [10.24008351 34.75991649],0
p12,1,0.125841,2.343076,[ 53 378] ; [ 2 42],[ 49.90526316 381.09473684] ; [ 5.09473684 38.90526316],0
a3,1,0.151789,2.054184,[329 102] ; [30 15],[325.06092437 105.93907563] ; [33.93907563 11.06092437],0
r1,1,0.173258,1.854522,[370  63] ; [35 10],[366.87238494  66.12761506] ; [38.12761506  6.87238494],0
d1,1,0.196822,1.665798,[274 160] ; [24 21],[270.00417537 163.99582463] ; [27.99582463 17.00417537],0
d3,1,0.299225,1.077645,[308 125] ; [28 16],[305.00628931 127.99371069] ; [30.99371069 13.00628931],0
a5,1,0.30664,1.045091,[337  96] ; [32 13],[334.26150628  98.73849372] ; [34.73849372 10.26150628],0
u3,1,0.340869,0.907161,[63 41] ; [11  4],[64.67226891 39.32773109] ; [9.32773109 5.67226891],0
a8,1,0.355995,0.851971,[ 64 329] ; [ 9 32],[ 66.10368664 326.89631336] ; [ 6.89631336 34.10368664],0
a2,1,0.417652,0.656912,[121 313] ; [10 35],[118.69311065 315.30688935] ; [12.30688935 32.69311065],0
v1,1,0.428737,0.626243,[252 170] ; [23 20],[249.56989247 172.43010753] ; [25.43010753 17.56989247],0
n1,1,0.444359,0.585,[36 39] ; [ 6 10],[34.61538462 40.38461538] ; [7.38461538 8.61538462],0
d2,1,0.476661,0.506493,[231 202] ; [21 23],[228.75471698 204.24528302] ; [23.24528302 20.75471698],0
p2,1,0.481733,0.494939,[371  60] ; [37  8],[369.42857143  61.57142857] ; [38.57142857  6.42857143],0
s3,1,0.4905,0.47543,[302 124] ; [29 15],[300.01276596 125.98723404] ; [30.98723404 13.01276596],0
a6,1,0.4988,0.457488,[287 145] ; [27 17],[284.97478992 147.02521008] ; [29.02521008 14.97478992],0
s1,1,0.531658,0.391222,[ 20 407] ; [ 3 41],[ 20.85138004 406.14861996] ; [ 2.14861996 41.85138004],0
a1,1,0.634282,0.226299,[ 27 407] ; [ 2 43],[ 26.27557411 407.72442589] ; [ 2.72442589 42.27557411],0
v2,1,0.654774,0.199935,[245 175] ; [23 19],[243.63636364 176.36363636] ; [24.36363636 17.63636364],0
v4,1,0.677496,0.172958,[419  15] ; [43  1],[419.47280335  14.52719665] ; [42.52719665  1.47280335],0
n3,1,0.709249,0.139028,[55 20] ; [11  5],[54.3956044 20.6043956] ; [11.6043956  4.3956044],0
s4,1,0.72015,0.128349,[ 76 350] ; [ 9 36],[ 76.87898089 349.12101911] ; [ 8.12101911 36.87898089],0
b4,1,0.804833,0.061057,[259 175] ; [26 19],[258.22546973 175.77453027] ; [26.77453027 18.22546973],0
r3,1,0.926981,0.008399,[415  18] ; [43  2],[414.88284519  18.11715481] ; [43.11715481  1.88284519],0
p7,1,0.941856,0.00532,[283 138] ; [28 14],[282.78833693 138.21166307] ; [28.21166307 13.78833693],0
