Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.021689,5.270567,[28  5] ; [153  83],[22.20446097 10.79553903] ; [158.79553903  77.20446097],0
n2,1,0.027966,4.830141,[10  1] ; [48 37],[6.64583333 4.35416667] ; [51.35416667 33.64583333],0
s6,1,0.050037,3.840222,[23 10] ; [119 112],[17.75 15.25] ; [124.25 106.75],0
s8,1,0.081516,3.034416,[14 19] ; [ 65 170],[ 9.72761194 23.27238806] ; [ 69.27238806 165.72761194],0
s7,1,0.134575,2.23892,[16 16] ; [ 82 144],[12.15503876 19.84496124] ; [ 85.84496124 140.15503876],0
b2,1,0.159752,1.976571,[11 15] ; [36 91],[ 7.9869281 18.0130719] ; [39.0130719 87.9869281],0
b3,1,0.159752,1.976571,[11 15] ; [36 91],[ 7.9869281 18.0130719] ; [39.0130719 87.9869281],0
a3,1,0.195357,1.676749,[23 10] ; [136  99],[19.57835821 13.42164179] ; [139.42164179  95.57835821],0
n1,1,0.203087,1.620033,[5 4] ; [29 56],[3.25531915 5.74468085] ; [30.74468085 54.25531915],0
n3,1,0.207966,1.585532,[8 2] ; [50 34],[6.17021277 3.82978723] ; [51.82978723 32.17021277],0
d1,1,0.214028,1.54397,[12 21] ; [113 123],[15.33457249 17.66542751] ; [109.66542751 126.33457249],0
p9,1,0.218366,1.51508,[19 13] ; [162  69],[22.02281369  9.97718631] ; [158.97718631  72.02281369],0
p1,1,0.222759,1.486505,[ 5 28] ; [ 20 214],[ 3.08988764 29.91011236] ; [ 21.91011236 212.08988764],0
a1,1,0.223313,1.48295,[ 3 30] ; [ 10 226],[ 1.59479554 31.40520446] ; [ 11.40520446 224.59479554],0
p11,1,0.223502,1.481743,[19 14] ; [161  75],[22.08178439 10.91821561] ; [157.91821561  78.08178439],0
p2,1,0.261767,1.259388,[22 11] ; [178  57],[24.62686567  8.37313433] ; [175.37313433  59.62686567],0
d5,1,0.263714,1.249153,[20 13] ; [165  70],[22.77985075 10.22014925] ; [162.22014925  72.77985075],0
a7,1,0.27916,1.171173,[18 15] ; [151  84],[20.80970149 12.19029851] ; [148.19029851  86.80970149],0
p4,1,0.279658,1.168752,[12 20] ; [112 123],[14.86142322 17.13857678] ; [109.13857678 125.86142322],0
p8,1,0.30494,1.052464,[11 22] ; [100 134],[13.71910112 19.28089888] ; [ 97.28089888 136.71910112],0
u1,1,0.340852,0.907226,[ 5 28] ; [ 23 213],[ 3.43494424 29.56505576] ; [ 24.56505576 211.43494424],0
a5,1,0.369258,0.80616,[22 11] ; [138  98],[19.62825279 13.37174721] ; [140.37174721  95.62825279],0
s2,1,0.375866,0.784179,[15 18] ; [ 88 147],[12.68283582 20.31716418] ; [ 90.31716418 144.68283582],0
p5,1,0.38194,0.764447,[ 4 29] ; [ 18 217],[ 2.70895522 30.29104478] ; [ 19.29104478 215.70895522],0
b1,1,0.39414,0.726132,[16 17] ; [ 96 140],[13.73977695 19.26022305] ; [ 98.26022305 137.73977695],0
r4,1,0.419075,0.652907,[27  6] ; [178  58],[25.14869888  7.85130112] ; [179.85130112  56.14869888],0
n5,1,0.430165,0.622378,[24  9] ; [154  80],[22. 11.] ; [156.  78.],0
v4,1,0.439439,0.597748,[30  3] ; [203  33],[28.58364312  4.41635688] ; [204.41635688  31.58364312],0
p7,1,0.470942,0.519765,[19 14] ; [117 113],[17.06463878 15.93536122] ; [118.93536122 111.06463878],0
s1,1,0.493338,0.469238,[ 1 32] ; [ 14 221],[ 1.84701493 31.15298507] ; [ 13.15298507 221.84701493],0
a4,1,0.520146,0.413604,[11 22] ; [ 92 143],[12.68283582 20.31716418] ; [ 90.31716418 144.68283582],0
p10,1,0.536495,0.382075,[19 13] ; [152  82],[20.57142857 11.42857143] ; [150.42857143  83.57142857],0
r3,1,0.54908,0.358967,[29  4] ; [197  38],[27.82835821  5.17164179] ; [198.17164179  36.82835821],0
b4,1,0.632564,0.2286,[17 16] ; [132 104],[18.27881041 14.72118959] ; [130.72118959 105.27881041],0
r2,1,0.646299,0.210598,[29  4] ; [196  35],[28.125  4.875] ; [196.875  34.125],0
b5,1,0.668408,0.18347,[18 15] ; [138  98],[19.13754647 13.86245353] ; [136.86245353  99.13754647],0
p6,1,0.682517,0.167306,[ 9 24] ; [ 72 162],[10.01123596 22.98876404] ; [ 70.98876404 163.01123596],0
s3,1,0.694311,0.154458,[17 16] ; [112 122],[15.94382022 17.05617978] ; [113.05617978 120.94382022],0
d2,1,0.750834,0.100832,[13 20] ; [ 99 135],[13.84269663 19.15730337] ; [ 98.15730337 135.84269663],0
s5,1,0.751436,0.100328,[ 7 26] ; [ 55 177],[ 7.72075472 25.27924528] ; [ 54.27924528 177.72075472],0
n6,1,0.779755,0.078197,[26  7] ; [180  55],[25.36567164  7.63432836] ; [180.63432836  54.36567164],0
r1,1,0.814995,0.05475,[20 13] ; [148  88],[20.60966543 12.39033457] ; [147.39033457  88.60966543],0
a2,1,0.889047,0.019463,[ 5 28] ; [ 38 198],[ 5.27509294 27.72490706] ; [ 37.72490706 198.27509294],0
a6,1,0.889222,0.019401,[20 13] ; [146  90],[20.36431227 12.63568773] ; [145.63568773  90.36431227],0
s4,1,0.898754,0.016189,[ 7 26] ; [ 47 185],[ 6.7245283 26.2754717] ; [ 47.2754717 184.7245283],0
a8,1,0.911239,0.012427,[ 3 27] ; [ 24 201],[ 3.17647059 26.82352941] ; [ 23.82352941 201.17647059],0
u2,1,0.927207,0.008347,[5 5] ; [51 48],[5.13761468 4.86238532] ; [50.86238532 48.13761468],0
p3,1,0.94157,0.005372,[12 21] ; [ 87 148],[12.19029851 20.80970149] ; [ 86.80970149 148.19029851],0
u3,1,0.950972,0.003781,[5 5] ; [48 50],[4.90740741 5.09259259] ; [48.09259259 49.90740741],0
d3,1,0.955582,0.003102,[20 13] ; [143  91],[20.14606742 12.85393258] ; [142.85393258  91.14606742],0
d4,1,0.985125,0.000348,[24  9] ; [172  64],[24.04460967  8.95539033] ; [171.95539033  64.04460967],0
