Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000844,11.142857,[18  8] ; [ 6 20],[12. 14.] ; [12. 14.],1
p4,1,0.062621,3.466573,[13 12] ; [20  6],[16.17647059  8.82352941] ; [16.82352941  9.17647059],0
p5,1,0.442068,0.590909,[ 5 21] ; [ 3 23],[ 4. 22.] ; [ 4. 22.],0
p11,1,0.577973,0.309524,[15 11] ; [13 13],[14. 12.] ; [14. 12.],0
p1,1,0.638069,0.221277,[ 3 23] ; [ 2 24],[ 2.5 23.5] ; [ 2.5 23.5],0
b1,1,1.0,0.0,[15 11] ; [15 11],[15. 11.] ; [15. 11.],0
