Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0027,9.0,[ 1 15] ; [5 3],[ 4. 12.] ; [2. 6.],0
s8,1,0.006072,7.528889,[ 2 16] ; [6 4],[ 5.14285714 12.85714286] ; [2.85714286 7.14285714],0
d1,1,0.01796,5.6,[ 6 12] ; [8 2],[9. 9.] ; [5. 5.],0
d2,1,0.01796,5.6,[ 6 12] ; [8 2],[9. 9.] ; [5. 5.],0
p5,1,0.022592,5.199614,[ 1 17] ; [4 6],[ 3.21428571 14.78571429] ; [1.78571429 8.21428571],0
n3,1,0.030383,4.6875,[7 1] ; [1 3],[5.33333333 2.66666667] ; [2.66666667 1.33333333],0
p12,1,0.076533,3.137037,[ 1 17] ; [3 7],[ 2.57142857 15.42857143] ; [1.42857143 8.57142857],0
p10,1,0.083265,3.0,[10  8] ; [8 1],[12.  6.] ; [6. 3.],0
r1,1,0.094362,2.798336,[ 5 13] ; [6 4],[ 7.07142857 10.92857143] ; [3.92857143 6.07142857],0
p2,1,0.104935,2.628889,[11  7] ; [9 1],[12.85714286  5.14285714] ; [7.14285714 2.85714286],0
p4,1,0.119362,2.425668,[9 9] ; [8 2],[10.92857143  7.07142857] ; [6.07142857 3.92857143],0
r4,1,0.131543,2.274204,[ 4 14] ; [5 5],[ 5.78571429 12.21428571] ; [3.21428571 6.78571429],0
n6,1,0.195846,1.673086,[10  8] ; [8 2],[11.57142857  6.42857143] ; [6.42857143 3.57142857],0
d3,1,0.195846,1.673086,[10  8] ; [8 2],[11.57142857  6.42857143] ; [6.42857143 3.57142857],0
s5,1,0.211128,1.563671,[ 2 16] ; [3 7],[ 3.21428571 14.78571429] ; [1.78571429 8.21428571],0
s3,1,0.23323,1.421053,[ 4 14] ; [4 5],[ 5.33333333 12.66666667] ; [2.66666667 6.33333333],0
p9,1,0.259656,1.270588,[10  8] ; [7 2],[11.33333333  6.66666667] ; [5.66666667 3.33333333],0
d5,1,0.27198,1.206734,[13  5] ; [9 1],[14.14285714  3.85714286] ; [7.85714286 2.14285714],0
s4,1,0.27198,1.206734,[ 5 13] ; [1 9],[ 3.85714286 14.14285714] ; [2.14285714 7.85714286],0
p8,1,0.28315,1.151909,[ 7 11] ; [6 4],[8.35714286 9.64285714] ; [4.64285714 5.35714286],0
b1,1,0.28315,1.151909,[11  7] ; [4 6],[9.64285714 8.35714286] ; [5.35714286 4.64285714],0
p6,1,0.284711,1.144464,[ 5 12] ; [5 5],[ 6.2962963 10.7037037] ; [3.7037037 6.2962963],0
s6,1,0.305507,1.05,[9 9] ; [7 3],[10.28571429  7.71428571] ; [5.71428571 4.28571429],0
p3,1,0.365416,0.819195,[ 4 13] ; [4 6],[ 5.03703704 11.96296296] ; [2.96296296 7.03703704],0
s2,1,0.386476,0.75,[ 5 13] ; [4 5],[ 6. 12.] ; [3. 6.],0
n2,1,0.386476,0.75,[6 2] ; [2 2],[5.33333333 2.66666667] ; [2.66666667 1.33333333],0
p11,1,0.418442,0.654686,[14  4] ; [9 1],[14.78571429  3.21428571] ; [8.21428571 1.78571429],0
v1,1,0.453323,0.562329,[10  8] ; [7 3],[10.92857143  7.07142857] ; [6.07142857 3.92857143],0
b2,1,0.490168,0.476157,[2 7] ; [3 5],[2.64705882 6.35294118] ; [2.35294118 5.64705882],0
b3,1,0.490168,0.476157,[2 7] ; [3 5],[2.64705882 6.35294118] ; [2.35294118 5.64705882],0
v4,1,0.506984,0.440286,[13  5] ; [6 4],[12.21428571  5.78571429] ; [6.78571429 3.21428571],0
a8,1,0.569399,0.323689,[ 1 16] ; [1 7],[ 1.36 15.64] ; [0.64 7.36],0
b4,1,0.611179,0.258462,[9 9] ; [6 4],[9.64285714 8.35714286] ; [5.35714286 4.64285714],0
p7,1,0.611179,0.258462,[9 9] ; [6 4],[9.64285714 8.35714286] ; [5.35714286 4.64285714],0
a5,1,0.611179,0.258462,[9 9] ; [6 4],[9.64285714 8.35714286] ; [5.35714286 4.64285714],0
a6,1,0.611179,0.258462,[9 9] ; [6 4],[9.64285714 8.35714286] ; [5.35714286 4.64285714],0
a3,1,0.638101,0.221235,[11  7] ; [7 3],[11.57142857  6.42857143] ; [6.42857143 3.57142857],0
n5,1,0.648807,0.207407,[13  5] ; [8 2],[13.5  4.5] ; [7.5 2.5],0
n4,1,0.648807,0.207407,[13  5] ; [8 2],[13.5  4.5] ; [7.5 2.5],0
u1,1,0.66171,0.191453,[ 1 17] ; [1 9],[ 1.28571429 16.71428571] ; [0.71428571 9.28571429],0
p1,1,0.66171,0.191453,[ 1 17] ; [1 9],[ 1.28571429 16.71428571] ; [0.71428571 9.28571429],0
b5,1,0.777607,0.079772,[10  8] ; [5 5],[9.64285714 8.35714286] ; [5.35714286 4.64285714],0
u2,1,0.77816,0.079365,[4 3] ; [2 1],[4.2 2.8] ; [1.8 1.2],0
r3,1,0.825349,0.048696,[15  3] ; [8 2],[14.78571429  3.21428571] ; [8.21428571 1.78571429],0
a4,1,0.954001,0.003327,[ 7 11] ; [4 6],[ 7.07142857 10.92857143] ; [3.92857143 6.07142857],0
a7,1,0.954001,0.003327,[11  7] ; [6 4],[10.92857143  7.07142857] ; [6.07142857 3.92857143],0
