Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3.5e-05,17.11788,[28 15] ; [ 1 16],[20.78333333 22.21666667] ; [8.21666667 8.78333333],1
d5,1,0.000226,13.605628,[36  7] ; [ 6 11],[30.1 12.9] ; [11.9  5.1],1
a5,1,0.003806,8.373958,[36  7] ; [8 9],[31.53333333 11.46666667] ; [12.46666667  4.53333333],0
a3,1,0.008246,6.979252,[31 12] ; [ 6 11],[26.51666667 16.48333333] ; [10.48333333  6.51666667],0
s7,1,0.026317,4.935059,[20 19] ; [ 3 13],[16.30909091 22.69090909] ; [6.69090909 9.30909091],0
s2,1,0.065162,3.40086,[24 19] ; [ 5 12],[20.78333333 22.21666667] ; [8.21666667 8.78333333],0
n5,1,0.073327,3.206933,[28 15] ; [15  2],[30.81666667 12.18333333] ; [12.18333333  4.81666667],0
d2,1,0.077392,3.118827,[23 19] ; [ 5 12],[19.93220339 22.06779661] ; [8.06779661 8.93220339],0
b3,1,0.082783,3.009404,[14 15] ; [2 9],[11.6 17.4] ; [4.4 6.6],0
b2,1,0.082783,3.009404,[14 15] ; [2 9],[11.6 17.4] ; [4.4 6.6],0
b4,1,0.090089,2.872777,[28 15] ; [ 7 10],[25.08333333 17.91666667] ; [9.91666667 7.08333333],0
r2,1,0.100746,2.693695,[41  2] ; [14  3],[39.41666667  3.58333333] ; [15.58333333  1.41666667],0
a4,1,0.126992,2.328898,[22 21] ; [ 5 12],[19.35 23.65] ; [7.65 9.35],0
u2,1,0.133348,2.253089,[7 5] ; [3 8],[5.2173913 6.7826087] ; [4.7826087 6.2173913],0
a7,1,0.143381,2.141297,[29 14] ; [8 9],[26.51666667 16.48333333] ; [10.48333333  6.51666667],0
p7,1,0.203788,1.615018,[20 23] ; [11  6],[22.21666667 20.78333333] ; [8.78333333 8.21666667],0
r4,1,0.213633,1.546632,[35  8] ; [16  1],[36.55  6.45] ; [14.45  2.55],0
s1,1,0.214429,1.541268,[ 3 40] ; [ 3 14],[ 4.3 38.7] ; [ 1.7 15.3],0
v3,1,0.216981,1.524229,[12 28] ; [8 9],[14.03508772 25.96491228] ; [ 5.96491228 11.03508772],0
p5,1,0.239654,1.382629,[ 3 38] ; [ 3 14],[ 4.24137931 36.75862069] ; [ 1.75862069 15.24137931],0
p11,1,0.241486,1.371898,[26 17] ; [13  4],[27.95 15.05] ; [11.05  5.95],0
a8,1,0.268103,1.226425,[ 3 36] ; [ 3 14],[ 4.17857143 34.82142857] ; [ 1.82142857 15.17857143],0
v4,1,0.285728,1.13964,[36  7] ; [16  1],[37.26666667  5.73333333] ; [14.73333333  2.26666667],0
p12,1,0.319543,0.990815,[ 2 41] ; [ 2 15],[ 2.86666667 40.13333333] ; [ 1.13333333 15.86666667],0
b1,1,0.390073,0.738714,[20 23] ; [10  7],[21.5 21.5] ; [8.5 8.5],0
s5,1,0.46915,0.523977,[14 26] ; [ 4 12],[12.85714286 27.14285714] ; [ 5.14285714 10.85714286],0
p8,1,0.482825,0.492476,[16 27] ; [8 9],[17.2 25.8] ; [ 6.8 10.2],0
a6,1,0.482825,0.492476,[27 16] ; [9 8],[25.8 17.2] ; [10.2  6.8],0
u3,1,0.509903,0.434266,[6 6] ; [7 4],[6.7826087 5.2173913] ; [6.2173913 4.7826087],0
r1,1,0.603605,0.269593,[30 13] ; [13  4],[30.81666667 12.18333333] ; [12.18333333  4.81666667],0
s4,1,0.605,0.267521,[10 32] ; [ 3 14],[ 9.25423729 32.74576271] ; [ 3.74576271 13.25423729],0
s8,1,0.639896,0.218878,[18 25] ; [ 6 11],[17.2 25.8] ; [ 6.8 10.2],0
s3,1,0.653366,0.201683,[23 20] ; [8 9],[22.21666667 20.78333333] ; [8.78333333 8.21666667],0
p9,1,0.685356,0.164159,[28 15] ; [12  5],[28.66666667 14.33333333] ; [11.33333333  5.66666667],0
n6,1,0.743808,0.106808,[33  9] ; [14  3],[33.45762712  8.54237288] ; [13.54237288  3.45762712],0
p4,1,0.832116,0.044939,[24 19] ; [10  7],[24.36666667 18.63333333] ; [9.63333333 7.36666667],0
p6,1,0.839461,0.04104,[14 29] ; [ 6 11],[14.33333333 28.66666667] ; [ 5.66666667 11.33333333],0
p10,1,0.839461,0.04104,[29 14] ; [11  6],[28.66666667 14.33333333] ; [11.33333333  5.66666667],0
v2,1,0.849865,0.035831,[23 20] ; [9 7],[23.3220339 19.6779661] ; [8.6779661 7.3220339],0
n4,1,0.868623,0.02736,[32 11] ; [13  4],[32.25 10.75] ; [12.75  4.25],0
s6,1,0.889671,0.019243,[27 16] ; [11  6],[27.23333333 15.76666667] ; [10.76666667  6.23333333],0
b5,1,0.961376,0.002345,[25 18] ; [10  7],[25.08333333 17.91666667] ; [9.91666667 7.08333333],0
v1,1,0.991685,0.000109,[18 23] ; [7 9],[17.98245614 23.01754386] ; [7.01754386 8.98245614],0
