Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,9e-06,19.741724,[52  1] ; [3 3],[49.40677966  3.59322034] ; [5.59322034 0.40677966],1
p11,1,0.000219,13.656995,[48  5] ; [2 4],[44.91525424  8.08474576] ; [5.08474576 0.91525424],1
a7,1,0.001083,10.679296,[42 11] ; [1 5],[38.62711864 14.37288136] ; [4.37288136 1.62711864],0
p2,1,0.021065,5.321407,[50  3] ; [4 2],[48.50847458  4.49152542] ; [5.49152542 0.50847458],0
a5,1,0.021503,5.285578,[41 12] ; [2 4],[38.62711864 14.37288136] ; [4.37288136 1.62711864],0
a3,1,0.037457,4.329492,[45  8] ; [3 3],[43.11864407  9.88135593] ; [4.88135593 1.11864407],0
v2,1,0.056445,3.638881,[30 22] ; [1 5],[27.79310345 24.20689655] ; [3.20689655 2.79310345],0
d4,1,0.09129,2.851469,[47  5] ; [4 2],[45.72413793  6.27586207] ; [5.27586207 0.72413793],0
p8,1,0.135509,2.228234,[47  6] ; [4 2],[45.81355932  7.18644068] ; [5.18644068 0.81355932],0
p6,1,0.194522,1.683036,[39 13] ; [3 3],[37.65517241 14.34482759] ; [4.34482759 1.65517241],0
a6,1,0.218359,1.51512,[31 21] ; [2 4],[29.5862069 22.4137931] ; [3.4137931 2.5862069],0
d1,1,0.226665,1.46167,[39 14] ; [3 3],[37.72881356 15.27118644] ; [4.27118644 1.72881356],0
b1,1,0.239431,1.383941,[22 31] ; [4 2],[23.3559322 29.6440678] ; [2.6440678 3.3559322],0
d2,1,0.255945,1.290557,[30 22] ; [2 4],[28.68965517 23.31034483] ; [3.31034483 2.68965517],0
b5,1,0.27819,1.175911,[23 30] ; [4 2],[24.25423729 28.74576271] ; [2.74576271 3.25423729],0
p4,1,0.318549,0.994896,[49  3] ; [5 1],[48.4137931  3.5862069] ; [5.5862069 0.4137931],0
d5,1,0.34307,0.898924,[43  9] ; [4 2],[42.13793103  9.86206897] ; [4.86206897 1.13793103],0
p7,1,0.357069,0.848175,[42  9] ; [4 2],[41.15789474  9.84210526] ; [4.84210526 1.15789474],0
v1,1,0.419403,0.651988,[42 10] ; [4 2],[41.24137931 10.75862069] ; [4.75862069 1.24137931],0
p3,1,0.419403,0.651988,[42 10] ; [4 2],[41.24137931 10.75862069] ; [4.75862069 1.24137931],0
s5,1,0.469344,0.523519,[39 10] ; [4 2],[38.30909091 10.69090909] ; [4.69090909 1.30909091],0
s1,1,0.578515,0.308641,[ 5 48] ; [1 5],[ 5.38983051 47.61016949] ; [0.61016949 5.38983051],0
v3,1,0.584332,0.299283,[32 20] ; [3 3],[31.37931034 20.62068966] ; [3.62068966 2.37931034],0
d3,1,0.586952,0.29513,[38 14] ; [5 1],[38.55172414 13.44827586] ; [4.44827586 1.55172414],0
s8,1,0.658925,0.194832,[39 13] ; [4 2],[38.55172414 13.44827586] ; [4.44827586 1.55172414],0
b2,1,0.761534,0.092092,[17 19] ; [2 3],[16.68292683 19.31707317] ; [2.31707317 2.68292683],0
b3,1,0.761534,0.092092,[17 19] ; [2 3],[16.68292683 19.31707317] ; [2.31707317 2.68292683],0
u2,1,0.782252,0.076389,[6 2] ; [2 1],[5.81818182 2.18181818] ; [2.18181818 0.81818182],0
a4,1,0.895315,0.017314,[25 28] ; [3 3],[25.15254237 27.84745763] ; [2.84745763 3.15254237],0
u1,1,0.895603,0.017218,[10 43] ; [1 5],[ 9.88135593 43.11864407] ; [1.11864407 4.88135593],0
u3,1,0.898195,0.016369,[5 3] ; [2 1],[5.09090909 2.90909091] ; [1.90909091 1.09090909],0
r1,1,0.919133,0.010307,[45  8] ; [5 1],[44.91525424  8.08474576] ; [5.08474576 0.91525424],0
p1,1,0.950166,0.003906,[17 36] ; [2 4],[17.06779661 35.93220339] ; [1.93220339 4.06779661],0
a1,1,0.984475,0.000379,[ 9 44] ; [1 5],[ 8.98305085 44.01694915] ; [1.01694915 4.98305085],0
a8,1,1.0,0.0,[ 8 40] ; [1 5],[ 8. 40.] ; [1. 5.],0
