Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.1e-05,19.364843,[20 62] ; [33 20],[32.19259259 49.80740741] ; [20.80740741 32.19259259],1
s5,1,2.8e-05,17.530893,[ 9 71] ; [22 29],[18.93129771 61.06870229] ; [12.06870229 38.93129771],1
s2,1,0.00015,14.371243,[ 4 77] ; [15 38],[11.48507463 69.51492537] ; [ 7.51492537 45.48507463],1
s8,1,0.000471,12.22656,[11 71] ; [21 32],[19.43703704 62.56296296] ; [12.56296296 40.43703704],1
r4,1,0.001863,9.679576,[47 35] ; [44  9],[55.27407407 26.72592593] ; [35.72592593 17.27407407],0
p10,1,0.002203,9.371898,[42 38] ; [41 11],[50.3030303 29.6969697] ; [32.6969697 19.3030303],0
p3,1,0.007445,7.162312,[22 59] ; [26 26],[29.23308271 51.76691729] ; [18.76691729 33.23308271],0
s4,1,0.010084,6.619969,[ 5 77] ; [11 42],[ 9.71851852 72.28148148] ; [ 6.28148148 46.71851852],0
a5,1,0.010688,6.516453,[44 38] ; [40 13],[51.02222222 30.97777778] ; [32.97777778 20.02222222],0
p9,1,0.011372,6.406249,[49 30] ; [43  9],[55.48091603 23.51908397] ; [36.51908397 15.48091603],0
p4,1,0.013903,6.050447,[28 52] ; [30 23],[34.88721805 45.11278195] ; [23.11278195 29.88721805],0
d1,1,0.018125,5.584054,[28 54] ; [29 24],[34.62222222 47.37777778] ; [22.37777778 30.62222222],0
s7,1,0.019082,5.493956,[14 63] ; [19 33],[19.69767442 57.30232558] ; [13.30232558 38.69767442],0
p6,1,0.020537,5.365674,[14 64] ; [19 34],[19.64885496 58.35114504] ; [13.35114504 39.64885496],0
d5,1,0.043694,4.068358,[48 34] ; [40 13],[53.45185185 28.54814815] ; [34.54814815 18.45185185],0
u1,1,0.057293,3.614066,[ 1 81] ; [ 4 49],[ 3.03703704 78.96296296] ; [ 1.96296296 51.03703704],0
v4,1,0.058882,3.568585,[64 18] ; [48  5],[68.02962963 13.97037037] ; [43.97037037  9.02962963],0
n6,1,0.101335,2.68441,[59 22] ; [45  8],[62.86567164 18.13432836] ; [41.13432836 11.86567164],0
r3,1,0.109258,2.56492,[60 22] ; [45  8],[63.77777778 18.22222222] ; [41.22222222 11.77777778],0
b2,1,0.123126,2.377099,[24 28] ; [ 9 22],[20.6746988 31.3253012] ; [12.3253012 18.6746988],0
b3,1,0.123126,2.377099,[24 28] ; [ 9 22],[20.6746988 31.3253012] ; [12.3253012 18.6746988],0
p7,1,0.157196,2.000993,[35 46] ; [29 23],[38.97744361 42.02255639] ; [25.02255639 26.97744361],0
a2,1,0.165177,1.926184,[ 3 79] ; [ 5 48],[ 4.85925926 77.14074074] ; [ 3.14074074 49.85925926],0
r2,1,0.183978,1.765194,[61 18] ; [45  7],[63.92366412 15.07633588] ; [42.07633588  9.92366412],0
u3,1,0.21199,1.557781,[10 22] ; [11 12],[12.21818182 19.78181818] ; [ 8.78181818 14.21818182],0
b4,1,0.214565,1.540352,[39 43] ; [31 22],[42.51851852 39.48148148] ; [27.48148148 25.51851852],0
d2,1,0.24232,1.367049,[34 46] ; [28 25],[37.29323308 42.70676692] ; [24.70676692 28.29323308],0
p2,1,0.243277,1.361503,[49 31] ; [37 15],[52.12121212 27.87878788] ; [33.87878788 18.12121212],0
r1,1,0.249633,1.325357,[46 36] ; [35 18],[49.2 32.8] ; [31.8 21.2],0
u2,1,0.324824,0.969425,[12 19] ; [12 11],[13.77777778 17.22222222] ; [10.22222222 12.77777778],0
p12,1,0.32889,0.953263,[ 2 79] ; [ 3 49],[ 3.04511278 77.95488722] ; [ 1.95488722 50.04511278],0
p8,1,0.331051,0.944782,[29 52] ; [23 29],[31.66917293 49.33082707] ; [20.33082707 31.66917293],0
n2,1,0.368066,0.810185,[23 13] ; [7 7],[21.6 14.4] ; [8.4 5.6],0
v3,1,0.369112,0.806652,[22 57] ; [18 33],[24.30769231 54.69230769] ; [15.69230769 35.30769231],0
s1,1,0.521259,0.411402,[ 4 78] ; [ 4 49],[ 4.85925926 77.14074074] ; [ 3.14074074 49.85925926],0
