Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,2e-06,22.805538,[50  9] ; [ 3 11],[42.83561644 16.16438356] ; [10.16438356  3.83561644],1
r2,1,3e-06,21.564414,[57  3] ; [6 7],[51.78082192  8.21917808] ; [11.21917808  1.78082192],1
v4,1,0.000463,12.260436,[57  3] ; [8 5],[53.42465753  6.57534247] ; [11.57534247  1.42465753],1
d1,1,0.012858,6.188562,[35 25] ; [ 3 11],[30.81081081 29.18918919] ; [7.18918919 6.81081081],0
p3,1,0.012858,6.188562,[35 25] ; [ 3 11],[30.81081081 29.18918919] ; [7.18918919 6.81081081],0
n3,1,0.01962,5.445378,[15  2] ; [3 4],[12.75  4.25] ; [5.25 1.75],0
a7,1,0.023449,5.134967,[41 19] ; [5 9],[37.2972973 22.7027027] ; [8.7027027 5.2972973],0
a1,1,0.031106,4.647127,[ 1 59] ; [ 2 12],[ 2.43243243 57.56756757] ; [ 0.56756757 13.43243243],0
a5,1,0.046277,3.971488,[46 14] ; [7 7],[42.97297297 17.02702703] ; [10.02702703  3.97297297],0
v3,1,0.051633,3.787632,[18 36] ; [ 1 13],[15.08823529 38.91176471] ; [ 3.91176471 10.08823529],0
d4,1,0.072665,3.221769,[48 12] ; [8 6],[45.40540541 14.59459459] ; [10.59459459  3.40540541],0
n4,1,0.074937,3.171429,[33 27] ; [ 4 10],[30. 30.] ; [7. 7.],0
a3,1,0.098118,2.735877,[40 20] ; [6 8],[37.2972973 22.7027027] ; [8.7027027 5.2972973],0
b4,1,0.099742,2.709661,[36 24] ; [5 9],[33.24324324 26.75675676] ; [7.75675676 6.24324324],0
d2,1,0.105762,2.616429,[27 33] ; [ 3 11],[24.32432432 35.67567568] ; [5.67567568 8.32432432],0
d5,1,0.110414,2.548292,[50 10] ; [9 5],[47.83783784 12.16216216] ; [11.16216216  2.83783784],0
b2,1,0.122823,2.380952,[14 26] ; [1 9],[12. 28.] ; [3. 7.],0
b3,1,0.122823,2.380952,[14 26] ; [1 9],[12. 28.] ; [3. 7.],0
b1,1,0.13059,2.285481,[34 26] ; [11  3],[36.48648649 23.51351351] ; [8.51351351 5.48648649],0
v2,1,0.132313,2.26516,[32 23] ; [5 9],[29.49275362 25.50724638] ; [7.50724638 6.49275362],0
a2,1,0.174817,1.841141,[14 46] ; [ 1 13],[12.16216216 47.83783784] ; [ 2.83783784 11.16216216],0
p2,1,0.177876,1.815281,[51  9] ; [9 4],[49.31506849 10.68493151] ; [10.68493151  2.31506849],0
p7,1,0.183044,1.772734,[40 19] ; [12  2],[42.02739726 16.97260274] ; [9.97260274 4.02739726],0
n2,1,0.194835,1.680672,[14  3] ; [4 3],[12.75  4.25] ; [5.25 1.75],0
u3,1,0.215327,1.535244,[16  3] ; [5 3],[14.77777778  4.22222222] ; [6.22222222 1.77777778],0
p12,1,0.255218,1.294511,[ 1 59] ; [ 1 13],[ 1.62162162 58.37837838] ; [ 0.37837838 13.62162162],0
b5,1,0.26192,1.258579,[33 27] ; [10  4],[34.86486486 25.13513514] ; [8.13513514 5.86486486],0
p5,1,0.299479,1.076515,[ 4 56] ; [ 2 11],[ 4.93150685 55.06849315] ; [ 1.06849315 11.93150685],0
s3,1,0.336562,0.923485,[29 29] ; [9 5],[30.61111111 27.38888889] ; [7.38888889 6.61111111],0
a6,1,0.35478,0.856286,[42 18] ; [8 6],[40.54054054 19.45945946] ; [9.45945946 4.54054054],0
p10,1,0.35478,0.856286,[42 18] ; [8 6],[40.54054054 19.45945946] ; [9.45945946 4.54054054],0
