Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.47434,[ 46 106] ; [36 16],[61.09803922 90.90196078] ; [20.90196078 31.09803922],1
p7,1,1e-06,24.254268,[ 57 106] ; [42 16],[73.01809955 89.98190045] ; [25.98190045 32.01809955],1
p3,1,4e-06,21.184504,[ 43 122] ; [35 24],[ 57.45535714 107.54464286] ; [20.54464286 38.45535714],1
s2,1,0.000157,14.283589,[ 62 103] ; [39 20],[74.39732143 90.60267857] ; [26.60267857 32.39732143],1
p10,1,0.000314,12.985834,[70 90] ; [42 17],[81.82648402 78.17351598] ; [30.17351598 28.82648402],1
p9,1,0.000333,12.872522,[80 77] ; [46 13],[91.58333333 65.41666667] ; [34.41666667 24.58333333],1
p4,1,0.000536,11.985494,[ 55 109] ; [35 24],[66.18834081 97.81165919] ; [23.81165919 35.18834081],1
s8,1,0.0009,11.022861,[ 41 124] ; [28 30],[ 51.05381166 113.94618834] ; [17.94618834 40.05381166],1
d2,1,0.001319,10.316145,[68 95] ; [39 20],[78.56306306 84.43693694] ; [28.43693694 30.56306306],0
v2,1,0.001665,9.886029,[58 98] ; [36 23],[68.20465116 87.79534884] ; [25.79534884 33.20465116],0
u1,1,0.001762,9.782776,[ 17 148] ; [16 43],[ 24.30803571 140.69196429] ; [ 8.69196429 50.30803571],0
s5,1,0.001812,9.731243,[ 37 124] ; [24 29],[ 45.89252336 115.10747664] ; [15.10747664 37.89252336],0
r4,1,0.002301,9.292623,[108  57] ; [51  8],[117.12053571  47.87946429] ; [41.87946429 17.12053571],0
p2,1,0.003424,8.566611,[90 75] ; [45 14],[99.44196429 65.55803571] ; [35.55803571 23.44196429],0
d1,1,0.00395,8.306523,[73 92] ; [39 20],[82.5 82.5] ; [29.5 29.5],0
p8,1,0.004567,8.043522,[ 38 127] ; [25 34],[ 46.40625 118.59375] ; [16.59375 42.40625],0
n3,1,0.009991,6.636453,[38 30] ; [16  2],[42.69767442 25.30232558] ; [11.30232558  6.69767442],0
r3,1,0.010239,6.592921,[124  40] ; [53  5],[130.75675676  33.24324324] ; [46.24324324 11.75675676],0
n6,1,0.015548,5.853335,[97 65] ; [45 13],[104.56363636  57.43636364] ; [37.43636364 20.56363636],0
n4,1,0.016128,5.788814,[89 73] ; [43 16],[96.760181 65.239819] ; [35.239819 23.760181],0
a4,1,0.017288,5.666929,[ 62 101] ; [33 26],[69.75225225 93.24774775] ; [25.24774775 33.75225225],0
a2,1,0.017524,5.643144,[ 31 134] ; [20 39],[ 37.56696429 127.43303571] ; [13.43303571 45.56696429],0
d3,1,0.018681,5.531129,[95 69] ; [43 14],[102.40723982  61.59276018] ; [35.59276018 21.40723982],0
u4,1,0.025783,4.970526,[  1 164] ; [ 3 56],[  2.94642857 162.05357143] ; [ 1.05357143 57.94642857],0
r2,1,0.026056,4.952329,[138  23] ; [56  2],[142.62100457  18.37899543] ; [51.37899543  6.62100457],0
u2,1,0.034538,4.467888,[22 39] ; [11  6],[25.80769231 35.19230769] ; [7.19230769 9.80769231],0
a6,1,0.035054,4.44253,[91 73] ; [42 17],[97.81165919 66.18834081] ; [35.18834081 23.81165919],0
s6,1,0.039695,4.230857,[83 80] ; [38 19],[89.65 73.35] ; [31.35 25.65],0
v4,1,0.048785,3.882749,[131  32] ; [54  5],[135.83333333  27.16666667] ; [49.16666667  9.83333333],0
a5,1,0.06561,3.389568,[98 67] ; [43 16],[103.86160714  61.13839286] ; [37.13839286 21.86160714],0
b5,1,0.06561,3.389568,[98 67] ; [43 16],[103.86160714  61.13839286] ; [37.13839286 21.86160714],0
r1,1,0.075275,3.164071,[106  56] ; [46 13],[111.42081448  50.57918552] ; [40.57918552 18.42081448],0
n5,1,0.094014,2.804268,[89 74] ; [39 19],[94.40723982 68.59276018] ; [33.59276018 24.40723982],0
s3,1,0.141881,2.157442,[73 90] ; [33 26],[77.82882883 85.17117117] ; [28.17117117 30.82882883],0
b2,1,0.151088,2.061228,[26 60] ; [13 16],[29.16521739 56.83478261] ; [ 9.83478261 19.16521739],0
b3,1,0.151088,2.061228,[26 60] ; [13 16],[29.16521739 56.83478261] ; [ 9.83478261 19.16521739],0
a3,1,0.167745,1.902984,[101  61] ; [42 16],[105.3  56.7] ; [37.7 20.3],0
a7,1,0.185436,1.753512,[106  58] ; [43 15],[110.07207207  53.92792793] ; [38.92792793 19.07207207],0
p1,1,0.200903,1.635799,[  9 156] ; [ 6 52],[ 11.09865471 153.90134529] ; [ 3.90134529 54.09865471],0
v1,1,0.227404,1.457024,[ 60 103] ; [27 32],[63.87837838 99.12162162] ; [23.12162162 35.87837838],0
d5,1,0.233125,1.421691,[120  44] ; [47 11],[123.36936937  40.63063063] ; [43.63063063 14.36936937],0
a1,1,0.236449,1.401643,[ 13 152] ; [ 2 57],[ 11.04910714 153.95089286] ; [ 3.95089286 55.04910714],0
n1,1,0.266923,1.232493,[25 45] ; [9 9],[27.04545455 42.95454545] ; [ 6.95454545 11.04545455],0
u3,1,0.317899,0.997571,[28 34] ; [10  7],[29.82278481 32.17721519] ; [8.17721519 8.82278481],0
s4,1,0.328943,0.953053,[ 32 133] ; [15 44],[ 34.62053571 130.37946429] ; [12.37946429 46.62053571],0
b1,1,0.419419,0.651943,[85 80] ; [34 25],[87.65625 77.34375] ; [31.34375 27.65625],0
n2,1,0.481896,0.494568,[45 26] ; [13  5],[46.26966292 24.73033708] ; [11.73033708  6.26966292],0
d4,1,0.510091,0.43388,[120  43] ; [46 13],[121.88288288  41.11711712] ; [44.11711712 14.88288288],0
