Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,7.8e-05,15.604952,[41 42] ; [23 82],[28.25531915 54.74468085] ; [35.74468085 69.25531915],1
p4,1,0.002031,9.521215,[55 31] ; [45 63],[44.32989691 41.67010309] ; [55.67010309 52.32989691],0
a2,1,0.005715,7.637911,[33 53] ; [22 86],[24.3814433 61.6185567] ; [30.6185567 77.3814433],0
b1,1,0.007163,7.231716,[46 40] ; [37 71],[36.79381443 49.20618557] ; [46.20618557 61.79381443],0
u1,1,0.009421,6.741197,[25 61] ; [15 93],[17.73195876 68.26804124] ; [22.26804124 85.73195876],0
a5,1,0.020359,5.380804,[66 20] ; [66 42],[58.51546392 27.48453608] ; [73.48453608 34.51546392],0
b3,1,0.025207,5.009605,[29 32] ; [20 50],[22.81679389 38.18320611] ; [26.18320611 43.81679389],0
b2,1,0.025207,5.009605,[29 32] ; [20 50],[22.81679389 38.18320611] ; [26.18320611 43.81679389],0
s7,1,0.032662,4.56341,[50 35] ; [44 58],[42.72727273 42.27272727] ; [51.27272727 50.72727273],0
a6,1,0.035069,4.441799,[66 20] ; [67 40],[59.2642487 26.7357513] ; [73.7357513 33.2642487],0
d5,1,0.041298,4.163751,[73 13] ; [77 29],[67.1875 18.8125] ; [82.8125 23.1875],0
a7,1,0.044954,4.020376,[64 22] ; [65 42],[57.48186528 28.51813472] ; [71.51813472 35.48186528],0
n1,1,0.076103,3.146218,[8 9] ; [ 8 27],[ 5.23076923 11.76923077] ; [10.76923077 24.23076923],0
v1,1,0.080915,3.046423,[47 36] ; [46 59],[41.05851064 41.94148936] ; [51.94148936 53.05851064],0
v2,1,0.081156,3.041602,[52 29] ; [54 51],[46.16129032 34.83870968] ; [59.83870968 45.16129032],0
d2,1,0.107099,2.596519,[47 39] ; [46 61],[41.44041451 44.55958549] ; [51.55958549 55.44041451],0
u3,1,0.109659,2.559125,[13  6] ; [15 18],[10.23076923  8.76923077] ; [17.76923077 15.23076923],0
r2,1,0.131625,2.273235,[82  4] ; [93 11],[79.21052632  6.78947368] ; [95.78947368  8.21052632],0
r4,1,0.134723,2.237222,[78  8] ; [90 18],[74.4742268 11.5257732] ; [93.5257732 14.4742268],0
b5,1,0.141264,2.164133,[59 27] ; [63 45],[54.08247423 31.91752577] ; [67.91752577 40.08247423],0
n4,1,0.146857,2.1046,[66 19] ; [73 34],[61.53645833 23.46354167] ; [77.46354167 29.53645833],0
a4,1,0.155188,2.020501,[45 41] ; [45 62],[40.10362694 45.89637306] ; [49.89637306 57.10362694],0
s8,1,0.157617,1.99694,[40 46] ; [39 68],[35.20207254 50.79792746] ; [43.79792746 63.20207254],0
a3,1,0.173351,1.853721,[67 19] ; [74 33],[62.82901554 23.17098446] ; [78.17098446 28.82901554],0
p5,1,0.182928,1.773674,[ 7 78] ; [  4 103],[ 4.86979167 80.13020833] ; [  6.13020833 100.86979167],0
p1,1,0.29072,1.116284,[ 5 81] ; [  3 105],[ 3.54639175 82.45360825] ; [  4.45360825 103.54639175],0
p9,1,0.30013,1.073617,[72 14] ; [84 24],[69.15463918 16.84536082] ; [86.84536082 21.15463918],0
n5,1,0.352374,0.864891,[61 23] ; [71 36],[58.05235602 25.94764398] ; [73.94764398 33.05235602],0
s6,1,0.366808,0.81445,[57 28] ; [65 42],[54.01041667 30.98958333] ; [67.98958333 39.01041667],0
d1,1,0.36806,0.810204,[47 39] ; [52 56],[43.88659794 42.11340206] ; [55.11340206 52.88659794],0
p6,1,0.378995,0.773958,[33 52] ; [35 72],[30.10416667 54.89583333] ; [37.89583333 69.10416667],0
s1,1,0.38752,0.74671,[ 2 83] ; [  5 101],[ 3.11518325 81.88481675] ; [  3.88481675 102.11518325],0
n6,1,0.413242,0.669454,[70 15] ; [83 24],[67.734375 17.265625] ; [85.265625 21.734375],0
s3,1,0.434187,0.611596,[49 36] ; [67 39],[51.62303665 33.37696335] ; [64.37696335 41.62303665],0
p12,1,0.474852,0.510664,[ 3 83] ; [  2 106],[ 2.21649485 83.78350515] ; [  2.78350515 105.21649485],0
r1,1,0.47598,0.508059,[63 22] ; [84 23],[65.078125 19.921875] ; [81.921875 25.078125],0
a1,1,0.487553,0.481923,[ 5 81] ; [  4 104],[ 3.98969072 82.01030928] ; [  5.01030928 102.98969072],0
a8,1,0.49307,0.46982,[12 65] ; [19 78],[13.7183908 63.2816092] ; [17.2816092 79.7183908],0
p10,1,0.55527,0.347961,[68 18] ; [80 26],[66.29166667 19.70833333] ; [81.70833333 24.29166667],0
d4,1,0.62892,0.233528,[69 17] ; [82 24],[67.63541667 18.36458333] ; [83.36458333 22.63541667],0
n2,1,0.743331,0.107221,[13  4] ; [26 10],[12.50943396  4.49056604] ; [26.49056604  9.50943396],0
p2,1,0.786348,0.073472,[72 14] ; [88 19],[71.29533679 14.70466321] ; [88.70466321 18.29533679],0
d3,1,0.799727,0.064364,[55 31] ; [69 36],[55.83246073 30.16753927] ; [68.16753927 36.83246073],0
s2,1,0.853045,0.034312,[46 39] ; [57 51],[45.3626943 39.6373057] ; [57.6373057 50.3626943],0
u4,1,0.871105,0.026327,[ 1 85] ; [  1 107],[ 0.88659794 85.11340206] ; [  1.11340206 106.88659794],0
s5,1,0.876019,0.024341,[26 58] ; [32 75],[25.5078534 58.4921466] ; [32.4921466 74.5078534],0
s4,1,0.890963,0.018793,[14 71] ; [17 91],[13.65284974 71.34715026] ; [17.34715026 90.65284974],0
v4,1,0.932536,0.007166,[80  6] ; [98  7],[80.14659686  5.85340314] ; [97.85340314  7.14659686],0
p11,1,0.989758,0.000165,[59 27] ; [74 34],[58.95876289 27.04123711] ; [74.04123711 33.95876289],0
u2,1,0.990097,0.000154,[11  7] ; [19 12],[11.02040816  6.97959184] ; [18.97959184 12.02040816],0
r3,1,0.994321,5.1e-05,[82  4] ; [102   5],[81.98963731  4.01036269] ; [102.01036269   4.98963731],0
b4,1,0.997612,9e-06,[47 39] ; [59 49],[46.98969072 39.01030928] ; [59.01030928 48.98969072],0
