Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,92.70439,[26 61] ; [124  11],[58.78378378 28.21621622] ; [91.21621622 43.78378378],1
p11,1,2e-06,22.819727,[40 50] ; [103  33],[56.94690265 33.05309735] ; [86.05309735 49.94690265],1
r3,1,7e-06,20.272818,[61 28] ; [124  11],[73.50446429 15.49553571] ; [111.49553571  23.50446429],1
v4,1,1.9e-05,18.243243,[62 28] ; [123  12],[74. 16.] ; [111.  24.],1
p2,1,3.3e-05,17.240296,[35 55] ; [91 45],[50.17699115 39.82300885] ; [75.82300885 60.17699115],1
r4,1,8.2e-05,15.500446,[51 39] ; [110  26],[64.11504425 25.88495575] ; [96.88495575 39.11504425],1
n6,1,0.000253,13.391862,[50 40] ; [106  29],[62.4 27.6] ; [93.6 41.4],1
n2,1,0.000745,11.373433,[21 21] ; [37  7],[28.3255814 13.6744186] ; [29.6744186 14.3255814],1
s2,1,0.002221,9.357463,[19 70] ; [55 79],[29.53363229 59.46636771] ; [44.46636771 89.53363229],0
s3,1,0.003121,8.735096,[27 61] ; [68 66],[37.65765766 50.34234234] ; [57.34234234 76.65765766],0
a1,1,0.006073,7.528526,[11 79] ; [  4 132],[ 5.97345133 84.02654867] ; [  9.02654867 126.97345133],0
r2,1,0.007227,7.215767,[71 17] ; [126  10],[77.39285714 10.60714286] ; [119.60714286  16.39285714],0
s6,1,0.011859,6.331772,[31 59] ; [69 65],[40.17857143 49.82142857] ; [59.82142857 74.17857143],0
n5,1,0.014129,6.021898,[46 44] ; [91 44],[54.8 35.2] ; [82.2 52.8],0
a7,1,0.017318,5.663844,[49 40] ; [96 40],[57.35555556 31.64444444] ; [87.64444444 48.35555556],0
s8,1,0.021568,5.280292,[15 75] ; [41 95],[22.30088496 67.69911504] ; [ 33.69911504 102.30088496],0
b1,1,0.033791,4.505235,[41 49] ; [43 93],[33.45132743 56.54867257] ; [50.54867257 85.45132743],0
p8,1,0.044095,4.052936,[10 80] ; [ 29 106],[15.6 74.4] ; [ 23.4 111.6],0
v2,1,0.064008,3.430355,[29 59] ; [57 68],[35.53051643 52.46948357] ; [50.46948357 74.53051643],0
s5,1,0.064582,3.415626,[12 75] ; [31 98],[17.31944444 69.68055556] ; [ 25.68055556 103.31944444],0
s1,1,0.094285,2.799641,[ 6 83] ; [  3 131],[ 3.59192825 85.40807175] ; [  5.40807175 128.59192825],0
b3,1,0.118667,2.434824,[20 41] ; [28 32],[24.19834711 36.80165289] ; [23.80165289 36.19834711],0
b2,1,0.118667,2.434824,[20 41] ; [28 32],[24.19834711 36.80165289] ; [23.80165289 36.19834711],0
a5,1,0.118715,2.43419,[51 39] ; [91 45],[56.54867257 33.45132743] ; [85.45132743 50.54867257],0
d4,1,0.126259,2.337913,[62 27] ; [107  29],[66.84888889 22.15111111] ; [102.15111111  33.84888889],0
a8,1,0.127057,2.328096,[10 73] ; [  8 123],[ 6.98130841 76.01869159] ; [ 11.01869159 119.98130841],0
n3,1,0.136163,2.2208,[20 19] ; [29 14],[23.30487805 15.69512195] ; [25.69512195 17.30487805],0
p5,1,0.158289,1.990498,[ 1 89] ; [  6 129],[ 2.8 87.2] ; [  4.2 130.8],0
p12,1,0.192029,1.701982,[ 2 87] ; [  8 127],[ 3.97321429 85.02678571] ; [  6.02678571 128.97321429],0
b5,1,0.204979,1.606538,[50 40] ; [87 49],[54.55752212 35.44247788] ; [82.44247788 53.55752212],0
b4,1,0.219459,1.507904,[53 37] ; [91 45],[57.34513274 32.65486726] ; [86.65486726 49.34513274],0
d2,1,0.232107,1.427905,[41 47] ; [52 83],[36.69955157 51.30044843] ; [56.30044843 78.69955157],0
a4,1,0.236465,1.401546,[40 48] ; [51 85],[35.75 52.25] ; [55.25 80.75],0
p6,1,0.297196,1.086733,[ 5 83] ; [ 13 123],[ 7.07142857 80.92857143] ; [ 10.92857143 125.07142857],0
u4,1,0.339001,0.914205,[ 2 88] ; [  1 135],[ 1.19469027 88.80530973] ; [  1.80530973 134.19469027],0
d3,1,0.354638,0.856792,[48 42] ; [81 55],[51.37168142 38.62831858] ; [77.62831858 58.37168142],0
u3,1,0.355611,0.853333,[13 17] ; [27 23],[15. 15.] ; [25. 25.],0
s7,1,0.370905,0.800631,[22 60] ; [44 91],[24.94009217 57.05990783] ; [41.05990783 93.94009217],0
a6,1,0.372023,0.796895,[55 35] ; [91 45],[58.14159292 31.85840708] ; [87.85840708 48.14159292],0
