Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,27.571665,[47 20] ; [ 1 20],[36.54545455 30.45454545] ; [11.45454545  9.54545455],1
d4,1,0.003536,8.507828,[58  9] ; [12  9],[53.29545455 13.70454545] ; [16.70454545  4.29545455],0
d2,1,0.004457,8.087475,[33 34] ; [ 3 18],[27.40909091 39.59090909] ; [ 8.59090909 12.40909091],0
d3,1,0.006881,7.30388,[50 17] ; [ 9 12],[44.92045455 22.07954545] ; [14.07954545  6.92045455],0
a7,1,0.010648,6.523167,[49 18] ; [ 9 12],[44.15909091 22.84090909] ; [13.84090909  7.15909091],0
v2,1,0.028883,4.774597,[36 23] ; [ 7 14],[31.7125 27.2875] ; [11.2875  9.7125],0
a6,1,0.029967,4.711156,[49 18] ; [10 11],[44.92045455 22.07954545] ; [14.07954545  6.92045455],0
a8,1,0.047437,3.929837,[ 5 56] ; [ 5 15],[ 7.5308642 53.4691358] ; [ 2.4691358 17.5308642],0
r2,1,0.062016,3.482645,[60  6] ; [15  5],[57.55813953  8.44186047] ; [17.44186047  2.55813953],0
a4,1,0.078994,3.085473,[23 44] ; [ 3 18],[19.79545455 47.20454545] ; [ 6.20454545 14.79545455],0
r1,1,0.121061,2.403542,[52 14] ; [13  8],[49.31034483 16.68965517] ; [15.68965517  5.31034483],0
p6,1,0.123761,2.369062,[21 43] ; [ 3 17],[18.28571429 45.71428571] ; [ 5.71428571 14.28571429],0
a5,1,0.173065,1.856192,[46 21] ; [11 10],[43.39772727 23.60227273] ; [13.60227273  7.39772727],0
p4,1,0.217645,1.519829,[39 28] ; [ 9 12],[36.54545455 30.45454545] ; [11.45454545  9.54545455],0
a2,1,0.238426,1.389876,[14 53] ; [ 2 19],[12.18181818 54.81818182] ; [ 3.81818182 17.18181818],0
p10,1,0.246653,1.342164,[46 19] ; [12  9],[43.8372093 21.1627907] ; [14.1627907  6.8372093],0
u3,1,0.279044,1.171739,[18  5] ; [6 4],[16.72727273  6.27272727] ; [7.27272727 2.72727273],0
s4,1,0.290096,1.119177,[17 50] ; [ 3 18],[15.22727273 51.77272727] ; [ 4.77272727 16.22727273],0
s8,1,0.31117,1.025703,[34 33] ; [ 8 13],[31.97727273 35.02272727] ; [10.02272727 10.97727273],0
p3,1,0.32938,0.951334,[27 40] ; [11 10],[28.93181818 38.06818182] ; [ 9.06818182 11.93181818],0
s2,1,0.32938,0.951334,[40 27] ; [10 11],[38.06818182 28.93181818] ; [11.93181818  9.06818182],0
a3,1,0.332609,0.938711,[43 24] ; [11 10],[41.11363636 25.88636364] ; [12.88636364  8.11363636],0
r3,1,0.393239,0.728904,[63  3] ; [19  2],[62.20689655  3.79310345] ; [19.79310345  1.20689655],0
