Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-05,19.444555,[29 29] ; [ 3 37],[18.93877551 39.06122449] ; [13.06122449 26.93877551],1
p8,1,7e-05,15.808218,[34 24] ; [ 7 32],[24.51546392 33.48453608] ; [16.48453608 22.51546392],1
p4,1,0.002928,8.852041,[38 20] ; [14 26],[30.7755102 27.2244898] ; [21.2244898 18.7755102],0
d5,1,0.027899,4.834328,[37 20] ; [34  6],[41.72164948 15.27835052] ; [29.27835052 10.72164948],0
b3,1,0.05778,3.6,[ 7 23] ; [9 9],[10. 20.] ; [ 6. 12.],0
b2,1,0.05778,3.6,[ 7 23] ; [9 9],[10. 20.] ; [ 6. 12.],0
p11,1,0.05824,3.586812,[40 18] ; [20 20],[35.51020408 22.48979592] ; [24.48979592 15.51020408],0
d1,1,0.059041,3.564116,[25 33] ; [25 15],[29.59183673 28.40816327] ; [20.40816327 19.59183673],0
p3,1,0.09991,2.706973,[27 31] ; [12 28],[23.08163265 34.91836735] ; [15.91836735 24.08163265],0
p2,1,0.104198,2.640086,[45 13] ; [25 15],[41.42857143 16.57142857] ; [28.57142857 11.42857143],0
n5,1,0.116213,2.467624,[23 34] ; [10 30],[19.39175258 37.60824742] ; [13.60824742 26.39175258],0
n1,1,0.13821,2.197779,[ 3 14] ; [ 8 12],[ 5.05405405 11.94594595] ; [ 5.94594595 14.05405405],0
r2,1,0.13832,2.196552,[52  6] ; [39  1],[53.85714286  4.14285714] ; [37.14285714  2.85714286],0
v2,1,0.155935,2.013212,[32 23] ; [15 20],[28.72222222 26.27777778] ; [18.27777778 16.72222222],0
r1,1,0.167486,1.905298,[42 16] ; [23 16],[38.86597938 19.13402062] ; [26.13402062 12.86597938],0
n2,1,0.184414,1.761686,[12  6] ; [17  3],[13.73684211  4.26315789] ; [15.26315789  4.73684211],0
v1,1,0.219309,1.508886,[23 33] ; [21 18],[25.93684211 30.06315789] ; [18.06315789 20.93684211],0
a8,1,0.243563,1.35985,[ 5 51] ; [ 1 35],[ 3.65217391 52.34782609] ; [ 2.34782609 33.65217391],0
b5,1,0.244323,1.355479,[40 18] ; [23 17],[37.28571429 20.71428571] ; [25.71428571 14.28571429],0
b1,1,0.250768,1.319021,[24 34] ; [12 28],[21.30612245 36.69387755] ; [14.69387755 25.30612245],0
a3,1,0.263584,1.249835,[37 21] ; [21 19],[34.32653061 23.67346939] ; [23.67346939 16.32653061],0
u3,1,0.283232,1.151515,[12  7] ; [15  4],[13.5  5.5] ; [13.5  5.5],0
b4,1,0.289666,1.121175,[33 25] ; [27 13],[35.51020408 22.48979592] ; [24.48979592 15.51020408],0
n6,1,0.298599,1.080442,[38 18] ; [23 17],[35.58333333 20.41666667] ; [25.41666667 14.58333333],0
v3,1,0.323798,0.973545,[16 40] ; [ 7 29],[14. 42.] ; [ 9. 27.],0
p10,1,0.353931,0.859314,[46 12] ; [27 11],[44.10416667 13.89583333] ; [28.89583333  9.10416667],0
a5,1,0.382086,0.76398,[37 21] ; [22 18],[34.91836735 23.08163265] ; [24.08163265 15.91836735],0
a2,1,0.3947,0.724414,[11 47] ; [ 5 35],[ 9.46938776 48.53061224] ; [ 6.53061224 33.46938776],0
a6,1,0.395481,0.722024,[41 17] ; [25 15],[39.06122449 18.93877551] ; [26.93877551 13.06122449],0
s7,1,0.419476,0.651782,[27 28] ; [15 22],[25.10869565 29.89130435] ; [16.89130435 20.10869565],0
d3,1,0.42868,0.626397,[40 17] ; [25 15],[38.19587629 18.80412371] ; [26.80412371 13.19587629],0
d2,1,0.529725,0.39492,[21 37] ; [17 23],[22.48979592 35.51020408] ; [15.51020408 24.48979592],0
u2,1,0.535899,0.383193,[12  8] ; [9 9],[11.05263158  8.94736842] ; [9.94736842 8.05263158],0
d4,1,0.553038,0.351903,[45 13] ; [33  7],[46.16326531 11.83673469] ; [31.83673469  8.16326531],0
s8,1,0.562622,0.335185,[31 27] ; [19 21],[29.59183673 28.40816327] ; [20.40816327 19.59183673],0
u1,1,0.573432,0.316974,[ 8 50] ; [ 4 36],[ 7.10204082 50.89795918] ; [ 4.89795918 35.10204082],0
p1,1,0.613057,0.255747,[ 6 51] ; [ 3 37],[ 5.28865979 51.71134021] ; [ 3.71134021 36.28865979],0
n3,1,0.632487,0.228704,[13  5] ; [13  7],[12.31578947  5.68421053] ; [13.68421053  6.31578947],0
v4,1,0.636654,0.223145,[55  3] ; [37  3],[54.44897959  3.55102041] ; [37.55102041  2.44897959],0
a4,1,0.641853,0.216327,[20 38] ; [12 28],[18.93877551 39.06122449] ; [13.06122449 26.93877551],0
p5,1,0.68328,0.166458,[ 2 56] ; [ 2 37],[ 2.39175258 55.60824742] ; [ 1.60824742 37.39175258],0
a1,1,0.700309,0.148151,[ 4 54] ; [ 2 38],[ 3.55102041 54.44897959] ; [ 2.44897959 37.55102041],0
s5,1,0.722207,0.126388,[24 31] ; [18 20],[24.83870968 30.16129032] ; [17.16129032 20.83870968],0
p12,1,0.722972,0.125663,[ 4 54] ; [ 2 37],[ 3.58762887 54.41237113] ; [ 2.41237113 36.58762887],0
s4,1,0.759314,0.09387,[20 38] ; [15 25],[20.71428571 37.28571429] ; [14.28571429 25.71428571],0
r4,1,0.767951,0.087058,[48 10] ; [34  6],[48.53061224  9.46938776] ; [33.46938776  6.53061224],0
s1,1,0.788825,0.071736,[ 2 56] ; [ 1 39],[ 1.7755102 56.2244898] ; [ 1.2244898 38.7755102],0
r3,1,0.789479,0.071282,[57  1] ; [39  1],[56.81632653  1.18367347] ; [39.18367347  0.81632653],0
p9,1,0.833355,0.044268,[46 12] ; [30  7],[46.4 11.6] ; [29.6  7.4],0
a7,1,0.83642,0.042632,[41 16] ; [28 12],[40.54639175 16.45360825] ; [28.45360825 11.54639175],0
s3,1,0.853897,0.03391,[47 11] ; [33  7],[47.34693878 10.65306122] ; [32.65306122  7.34693878],0
s6,1,0.985867,0.000314,[49  9] ; [33  6],[49.03092784  8.96907216] ; [32.96907216  6.03092784],0
