Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,24.258098,[ 7 55] ; [29 25],[19.24137931 42.75862069] ; [16.75862069 37.24137931],1
a7,1,0.049482,3.858935,[39 25] ; [42 12],[43.93220339 20.06779661] ; [37.06779661 16.93220339],0
r1,1,0.053612,3.724747,[48 16] ; [48  6],[52.06779661 11.93220339] ; [43.93220339 10.06779661],0
a5,1,0.069839,3.286808,[43 21] ; [45 10],[47.32773109 16.67226891] ; [40.67226891 14.32773109],0
d5,1,0.087573,2.918439,[45 19] ; [46  9],[48.94117647 15.05882353] ; [42.05882353 12.94117647],0
u1,1,0.112109,2.524242,[ 8 56] ; [13 42],[11.29411765 52.70588235] ; [ 9.70588235 45.29411765],0
r3,1,0.141144,2.165446,[56  7] ; [51  2],[58.11206897  4.88793103] ; [48.88793103  4.11206897],0
b4,1,0.157962,1.993626,[43 21] ; [30 25],[39.2605042 24.7394958] ; [33.7394958 21.2605042],0
s4,1,0.162453,1.951247,[22 40] ; [13 42],[18.54700855 43.45299145] ; [16.45299145 38.54700855],0
s3,1,0.263846,1.248465,[42 22] ; [30 24],[39.05084746 24.94915254] ; [32.94915254 21.05084746],0
a2,1,0.269712,1.218211,[11 53] ; [14 41],[13.44537815 50.55462185] ; [11.55462185 43.44537815],0
p2,1,0.285894,1.138856,[54  9] ; [43 12],[51.78813559 11.21186441] ; [45.21186441  9.78813559],0
p12,1,0.374957,0.787171,[ 4 59] ; [ 6 49],[ 5.33898305 57.66101695] ; [ 4.66101695 50.33898305],0
p7,1,0.379631,0.771895,[37 24] ; [37 17],[39.25217391 21.74782609] ; [34.74782609 19.25217391],0
n5,1,0.410184,0.678268,[46 18] ; [35 19],[43.93220339 20.06779661] ; [37.06779661 16.93220339],0
a3,1,0.427598,0.629338,[41 23] ; [39 16],[43.02521008 20.97478992] ; [36.97478992 18.02521008],0
d2,1,0.440778,0.594256,[31 33] ; [30 24],[33.08474576 30.91525424] ; [27.91525424 26.08474576],0
p11,1,0.48359,0.490757,[49 15] ; [39 16],[47.32773109 16.67226891] ; [40.67226891 14.32773109],0
p9,1,0.492807,0.470393,[49 12] ; [46  8],[50.39130435 10.60869565] ; [44.60869565  9.39130435],0
p1,1,0.512536,0.428886,[ 8 54] ; [ 5 50],[ 6.88888889 55.11111111] ; [ 6.11111111 48.88888889],0
a8,1,0.530161,0.394082,[ 7 51] ; [ 4 44],[ 6.01886792 51.98113208] ; [ 4.98113208 43.01886792],0
p4,1,0.555182,0.348116,[40 23] ; [32 23],[38.44067797 24.55932203] ; [33.55932203 21.44067797],0
s7,1,0.557177,0.344615,[36 24] ; [34 18],[37.5 22.5] ; [32.5 19.5],0
a4,1,0.560146,0.339451,[28 36] ; [27 28],[29.57983193 34.42016807] ; [25.42016807 29.57983193],0
u2,1,0.58239,0.302386,[12 11] ; [6 8],[11.18918919 11.81081081] ; [6.81081081 7.18918919],0
p6,1,0.610814,0.258991,[25 39] ; [19 36],[23.66386555 40.33613445] ; [20.33613445 34.66386555],0
a6,1,0.610814,0.258991,[39 25] ; [36 19],[40.33613445 23.66386555] ; [34.66386555 20.33613445],0
s6,1,0.62268,0.242118,[54  7] ; [47  8],[53.11206897  7.88793103] ; [47.88793103  7.11206897],0
b1,1,0.648653,0.207602,[23 41] ; [22 33],[24.20168067 39.79831933] ; [20.79831933 34.20168067],0
s8,1,0.680267,0.169825,[24 39] ; [23 32],[25.09322034 37.90677966] ; [21.90677966 33.09322034],0
d3,1,0.684435,0.165176,[43 21] ; [35 20],[41.94957983 22.05042017] ; [36.05042017 18.94957983],0
u3,1,0.687788,0.161491,[13 10] ; [8 8],[12.38461538 10.61538462] ; [8.61538462 7.38461538],0
n4,1,0.739649,0.110436,[46 18] ; [38 17],[45.17647059 18.82352941] ; [38.82352941 16.17647059],0
s2,1,0.740028,0.110102,[38 26] ; [31 24],[37.1092437 26.8907563] ; [31.8907563 23.1092437],0
p8,1,0.745174,0.105631,[29 34] ; [26 27],[29.87068966 33.12931034] ; [25.12931034 27.87068966],0
n1,1,0.754725,0.097603,[ 7 10] ; [7 8],[7.4375 9.5625] ; [6.5625 8.4375],0
n6,1,0.755909,0.096633,[58  6] ; [48  6],[57.49152542  6.50847458] ; [48.50847458  5.49152542],0
n2,1,0.766735,0.088,[14  4] ; [11  4],[13.63636364  4.36363636] ; [11.36363636  3.63636364],0
v4,1,0.79863,0.065087,[58  5] ; [49  5],[57.61538462  5.38461538] ; [49.38461538  4.61538462],0
d4,1,0.800328,0.06397,[51 13] ; [42 12],[50.44067797 13.55932203] ; [42.55932203 11.44067797],0
a1,1,0.824216,0.04934,[ 4 60] ; [ 4 51],[ 4.30252101 59.69747899] ; [ 3.69747899 51.30252101],0
p3,1,0.899091,0.016081,[33 31] ; [29 26],[33.34453782 30.65546218] ; [28.65546218 26.34453782],0
p10,1,0.930161,0.007681,[50 12] ; [44 11],[49.81196581 12.18803419] ; [44.18803419 10.81196581],0
p5,1,0.942336,0.005232,[10 53] ; [ 9 46],[10.1440678 52.8559322] ; [ 8.8559322 46.1440678],0
n3,1,0.957035,0.002902,[14  4] ; [11  3],[14.0625  3.9375] ; [10.9375  3.0625],0
