Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,22.238676,[142  17] ; [28 19],[131.21359223  27.78640777] ; [38.78640777  8.21359223],1
p11,1,1e-05,19.42483,[117  43] ; [18 29],[104.34782609  55.65217391] ; [30.65217391 16.34782609],1
v4,1,1.5e-05,18.753356,[146  14] ; [31 16],[136.8115942  23.1884058] ; [40.1884058  6.8115942],1
p10,1,2.4e-05,17.852181,[113  44] ; [18 29],[100.81862745  56.18137255] ; [30.18137255 16.81862745],1
r4,1,3.1e-05,17.378314,[130  30] ; [24 23],[119.03381643  40.96618357] ; [34.96618357 12.03381643],1
n5,1,8.2e-05,15.506549,[114  45] ; [19 28],[102.65533981  56.34466019] ; [30.34466019 16.65533981],1
p8,1,0.000827,11.17975,[77 81] ; [10 37],[67.05365854 90.94634146] ; [19.94634146 27.05365854],1
p9,1,0.001402,10.202927,[117  38] ; [24 23],[108.19306931  46.80693069] ; [32.80693069 14.19306931],0
p2,1,0.004327,8.141419,[118  41] ; [24 22],[110.13658537  48.86341463] ; [31.86341463 14.13658537],0
p7,1,0.006111,7.517315,[83 75] ; [14 33],[74.76097561 83.23902439] ; [22.23902439 24.76097561],0
p4,1,0.006705,7.350455,[76 83] ; [12 35],[67.9223301 91.0776699] ; [20.0776699 26.9223301],0
p3,1,0.011905,6.325028,[62 97] ; [ 9 38],[ 54.80097087 104.19902913] ; [16.19902913 30.80097087],0
s6,1,0.014487,5.97778,[67 88] ; [11 36],[59.85148515 95.14851485] ; [18.14851485 28.85148515],0
b1,1,0.018486,5.549503,[61 99] ; [27 20],[68.01932367 91.98067633] ; [19.98067633 27.01932367],0
n2,1,0.018552,5.543283,[34 16] ; [ 7 12],[29.71014493 20.28985507] ; [11.28985507  7.71014493],0
p6,1,0.019002,5.501376,[ 48 110] ; [ 6 40],[ 41.82352941 116.17647059] ; [12.17647059 33.82352941],0
s1,1,0.028431,4.80174,[  3 155] ; [ 4 43],[  5.39512195 152.60487805] ; [ 1.60487805 45.39512195],0
a1,1,0.034687,4.460496,[  5 155] ; [ 5 42],[  7.7294686 152.2705314] ; [ 2.2705314 44.7294686],0
a5,1,0.039303,4.247704,[108  52] ; [24 23],[102.02898551  57.97101449] ; [29.97101449 17.02898551],0
s7,1,0.039585,4.235573,[ 40 113] ; [ 5 39],[ 34.94923858 118.05076142] ; [10.05076142 33.94923858],0
d4,1,0.049271,3.86611,[119  41] ; [28 19],[113.62318841  46.37681159] ; [33.37681159 13.62318841],0
r2,1,0.058795,3.571059,[139  20] ; [35 11],[134.95609756  24.04390244] ; [39.04390244  6.95609756],0
a2,1,0.065498,3.392391,[ 20 140] ; [11 36],[ 23.96135266 136.03864734] ; [ 7.03864734 39.96135266],0
s2,1,0.070296,3.276106,[ 22 136] ; [ 2 45],[ 18.49756098 139.50243902] ; [ 5.50243902 41.49756098],0
s5,1,0.073207,3.209614,[ 32 124] ; [ 4 41],[ 27.94029851 128.05970149] ; [ 8.05970149 36.94029851],0
r1,1,0.124498,2.359807,[101  58] ; [24 23],[96.48058252 62.51941748] ; [28.51941748 18.48058252],0
n4,1,0.146141,2.112072,[107  53] ; [26 21],[102.80193237  57.19806763] ; [30.19806763 16.80193237],0
p5,1,0.147765,2.095173,[ 13 146] ; [ 1 46],[ 10.80582524 148.19417476] ; [ 3.19417476 43.80582524],0
d2,1,0.212719,1.552821,[ 58 100] ; [22 25],[61.65853659 96.34146341] ; [18.34146341 28.65853659],0
s4,1,0.236306,1.402497,[ 24 133] ; [ 4 43],[ 21.54901961 135.45098039] ; [ 6.45098039 40.54901961],0
n3,1,0.280203,1.166106,[31 17] ; [9 9],[29.09090909 18.90909091] ; [10.90909091  7.09090909],0
a4,1,0.280813,1.163152,[ 54 105] ; [20 27],[ 57.11650485 101.88349515] ; [16.88349515 30.11650485],0
d1,1,0.317147,1.000675,[71 89] ; [17 30],[68.01932367 91.98067633] ; [19.98067633 27.01932367],0
d3,1,0.38456,0.756073,[91 68] ; [23 23],[88.4195122 70.5804878] ; [25.5804878 20.4195122],0
a8,1,0.395897,0.720753,[ 13 135] ; [ 6 40],[ 14.49484536 133.50515464] ; [ 4.50515464 41.49484536],0
d5,1,0.398454,0.712988,[115  44] ; [31 16],[112.68932039  46.31067961] ; [33.31067961 13.68932039],0
u1,1,0.522161,0.409622,[ 15 145] ; [ 3 44],[ 13.91304348 146.08695652] ; [ 4.08695652 42.91304348],0
s8,1,0.560887,0.33817,[ 33 125] ; [ 8 39],[ 31.6 126.4] ; [ 9.4 37.6],0
a6,1,0.583017,0.301383,[95 65] ; [30 17],[96.61835749 63.38164251] ; [28.38164251 18.61835749],0
b5,1,0.602575,0.27113,[102  58] ; [28 19],[100.48309179  59.51690821] ; [29.51690821 17.48309179],0
v1,1,0.687356,0.161963,[ 52 106] ; [14 33],[ 50.86829268 107.13170732] ; [15.13170732 31.86829268],0
v3,1,0.689002,0.160168,[ 29 131] ; [ 7 38],[ 28.09756098 131.90243902] ; [ 7.90243902 37.09756098],0
b2,1,0.689762,0.159344,[33 53] ; [11 21],[32.06779661 53.93220339] ; [11.93220339 20.06779661],0
b3,1,0.689762,0.159344,[33 53] ; [11 21],[32.06779661 53.93220339] ; [11.93220339 20.06779661],0
a3,1,0.752793,0.099199,[94 65] ; [26 20],[93.07317073 65.92682927] ; [26.92682927 19.07317073],0
u2,1,0.755773,0.096744,[32 34] ; [11 10],[32.62068966 33.37931034] ; [10.37931034 10.62068966],0
b4,1,0.824912,0.048943,[89 71] ; [27 20],[89.66183575 70.33816425] ; [26.33816425 20.66183575],0
n1,1,0.890375,0.018997,[16 32] ; [ 6 13],[15.76119403 32.23880597] ; [ 6.23880597 12.76119403],0
u3,1,0.897788,0.016501,[33 32] ; [11 10],[33.25581395 31.74418605] ; [10.74418605 10.25581395],0
a7,1,0.944568,0.004834,[104  55] ; [31 16],[104.19902913  54.80097087] ; [30.80097087 16.19902913],0
p1,1,0.990822,0.000132,[ 14 146] ; [ 4 42],[ 13.98058252 146.01941748] ; [ 4.01941748 41.98058252],0
