Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.007855,7.066273,[13 16] ; [27  8],[18.125 10.875] ; [21.875 13.125],0
n6,1,0.038449,4.285051,[13 16] ; [24 10],[17.03174603 11.96825397] ; [19.96825397 14.03174603],0
d3,1,0.047003,3.945294,[18 11] ; [13 22],[14.046875 14.953125] ; [16.953125 18.046875],0
n1,1,0.055205,3.675897,[ 2 13] ; [6 7],[ 4.28571429 10.71428571] ; [3.71428571 9.28571429],0
s6,1,0.073327,3.206937,[ 7 22] ; [16 19],[10.421875 18.578125] ; [12.578125 22.421875],0
v2,1,0.073555,3.201849,[ 7 21] ; [16 18],[10.38709677 17.61290323] ; [12.61290323 21.38709677],0
s4,1,0.080023,3.064433,[ 2 27] ; [ 8 27],[ 4.53125 24.46875] ; [ 5.46875 29.53125],0
s8,1,0.154552,2.026742,[ 4 25] ; [10 25],[ 6.34375 22.65625] ; [ 7.65625 27.34375],0
s2,1,0.169616,1.886333,[ 5 24] ; [11 23],[ 7.36507937 21.63492063] ; [ 8.63492063 25.36507937],0
v4,1,0.173715,1.85059,[19 10] ; [17 18],[16.3125 12.6875] ; [19.6875 15.3125],0
b1,1,0.204992,1.606444,[21  8] ; [20 15],[18.578125 10.421875] ; [22.421875 12.578125],0
a7,1,0.209287,1.576355,[17 12] ; [15 20],[14.5 14.5] ; [17.5 17.5],0
p3,1,0.218809,1.512168,[ 5 23] ; [11 24],[ 7.11111111 20.88888889] ; [ 8.88888889 26.11111111],0
d5,1,0.225967,1.466072,[13 16] ; [21 14],[15.40625 13.59375] ; [18.59375 16.40625],0
a1,1,0.236328,1.402368,[ 1 28] ; [ 4 31],[ 2.265625 26.734375] ; [ 2.734375 32.265625],0
v3,1,0.237996,1.392423,[ 4 25] ; [ 9 26],[ 5.890625 23.109375] ; [ 7.109375 27.890625],0
a3,1,0.25111,1.317116,[17 12] ; [15 19],[14.73015873 14.26984127] ; [17.26984127 16.73015873],0
s3,1,0.297471,1.085499,[ 7 22] ; [12 21],[ 8.88709677 20.11290323] ; [10.11290323 22.88709677],0
a8,1,0.35665,0.849654,[ 3 25] ; [ 6 25],[ 4.27118644 23.72881356] ; [ 4.72881356 26.27118644],0
n2,1,0.39033,0.737913,[8 7] ; [9 4],[9.10714286 5.89285714] ; [7.89285714 5.10714286],0
u3,1,0.399075,0.711111,[ 2 10] ; [ 6 14],[3. 9.] ; [ 5. 15.],0
p12,1,0.399308,0.710411,[ 1 28] ; [ 3 32],[ 1.8125 27.1875] ; [ 2.1875 32.8125],0
s7,1,0.408213,0.684,[ 4 21] ; [ 8 24],[ 5.26315789 19.73684211] ; [ 6.73684211 25.26315789],0
a4,1,0.444688,0.584155,[10 19] ; [ 9 26],[ 8.609375 20.390625] ; [10.390625 24.609375],0
a5,1,0.451259,0.567488,[16 13] ; [16 19],[14.5 14.5] ; [17.5 17.5],0
u2,1,0.465209,0.533333,[7 5] ; [ 9 11],[6. 6.] ; [10. 10.],0
b4,1,0.479182,0.500724,[14 15] ; [20 15],[15.40625 13.59375] ; [18.59375 16.40625],0
r4,1,0.488685,0.479421,[ 7 22] ; [ 6 29],[ 5.890625 23.109375] ; [ 7.109375 27.890625],0
a2,1,0.491996,0.472158,[ 3 26] ; [ 2 33],[ 2.265625 26.734375] ; [ 2.734375 32.265625],0
p8,1,0.515662,0.422561,[11 17] ; [11 24],[ 9.77777778 18.22222222] ; [12.22222222 22.77777778],0
b5,1,0.530249,0.393915,[18 11] ; [19 16],[16.765625 12.234375] ; [20.234375 14.765625],0
p4,1,0.530249,0.393915,[11 18] ; [16 19],[12.234375 16.765625] ; [14.765625 20.234375],0
p2,1,0.533204,0.388281,[16 13] ; [22 13],[17.21875 11.78125] ; [20.78125 14.21875],0
s1,1,0.53579,0.383398,[ 2 27] ; [ 4 31],[ 2.71875 26.28125] ; [ 3.28125 31.71875],0
p9,1,0.57983,0.306509,[15 13] ; [20 13],[16.06557377 11.93442623] ; [18.93442623 14.06557377],0
r1,1,0.585608,0.297255,[11 18] ; [11 24],[ 9.96875 19.03125] ; [12.03125 22.96875],0
v1,1,0.637474,0.22206,[ 9 20] ; [ 9 26],[ 8.15625 20.84375] ; [ 9.84375 25.15625],0
d1,1,0.637474,0.22206,[ 9 20] ; [ 9 26],[ 8.15625 20.84375] ; [ 9.84375 25.15625],0
a6,1,0.664653,0.18792,[14 15] ; [15 20],[13.140625 15.859375] ; [15.859375 19.140625],0
p7,1,0.664653,0.18792,[14 15] ; [15 20],[13.140625 15.859375] ; [15.859375 19.140625],0
r3,1,0.666486,0.18574,[19 10] ; [24 10],[19.79365079  9.20634921] ; [23.20634921 10.79365079],0
p1,1,0.669428,0.182271,[ 1 28] ; [ 2 33],[ 1.359375 27.640625] ; [ 1.640625 33.359375],0
u1,1,0.669428,0.182271,[ 1 28] ; [ 2 33],[ 1.359375 27.640625] ; [ 1.640625 33.359375],0
p6,1,0.720255,0.128248,[ 4 24] ; [ 6 28],[ 4.51612903 23.48387097] ; [ 5.48387097 28.51612903],0
p5,1,0.817266,0.05339,[ 2 26] ; [ 2 33],[ 1.77777778 26.22222222] ; [ 2.22222222 32.77777778],0
d4,1,0.865892,0.02852,[18 11] ; [21 14],[17.671875 11.328125] ; [21.328125 13.671875],0
p11,1,0.874313,0.025022,[16 13] ; [20 15],[16.3125 12.6875] ; [19.6875 15.3125],0
b3,1,0.927151,0.008359,[ 4 11] ; [ 7 18],[ 4.125 10.875] ; [ 6.875 18.125],0
b2,1,0.927151,0.008359,[ 4 11] ; [ 7 18],[ 4.125 10.875] ; [ 6.875 18.125],0
d2,1,0.930461,0.007615,[ 8 21] ; [10 25],[ 8.15625 20.84375] ; [ 9.84375 25.15625],0
n3,1,0.933748,0.006911,[9 6] ; [8 5],[9.10714286 5.89285714] ; [7.89285714 5.10714286],0
p10,1,0.986891,0.00027,[15 14] ; [17 16],[14.96774194 14.03225806] ; [17.03225806 15.96774194],0
