Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,23.681776,[41  8] ; [69 88],[26.16504854 22.83495146] ; [83.83495146 73.16504854],1
p4,1,0.000202,13.81155,[34 17] ; [ 60 102],[22.50704225 28.49295775] ; [71.49295775 90.50704225],1
p8,1,0.000918,10.985295,[32 19] ; [ 59 103],[21.78873239 29.21126761] ; [69.21126761 92.78873239],1
s4,1,0.005207,7.806182,[21 30] ; [ 35 128],[13.34579439 37.65420561] ; [ 42.65420561 120.34579439],0
p1,1,0.008314,6.964486,[ 7 43] ; [  6 155],[ 3.08056872 46.91943128] ; [  9.91943128 151.08056872],0
b1,1,0.012329,6.26295,[24 27] ; [ 46 117],[16.68224299 34.31775701] ; [ 53.31775701 109.68224299],0
p3,1,0.012981,6.171755,[25 26] ; [ 49 114],[17.63551402 33.36448598] ; [ 56.36448598 106.63551402],0
s8,1,0.018772,5.522646,[23 27] ; [ 46 117],[16.1971831 33.8028169] ; [ 52.8028169 110.1971831],0
s7,1,0.021217,5.308864,[23 28] ; [ 43 112],[16.33980583 34.66019417] ; [ 49.66019417 105.33980583],0
s2,1,0.028945,4.770867,[30 21] ; [67 95],[23.22535211 27.77464789] ; [73.77464789 88.22535211],0
a4,1,0.029361,4.746302,[22 29] ; [ 44 119],[15.72897196 35.27102804] ; [ 50.27102804 112.72897196],0
u2,1,0.066137,3.376389,[15  6] ; [32 34],[11.34482759  9.65517241] ; [35.65517241 30.34482759],0
v3,1,0.079374,3.077673,[ 8 41] ; [ 44 108],[12.67661692 36.32338308] ; [ 39.32338308 112.67661692],0
n1,1,0.096263,2.766385,[ 9 12] ; [14 45],[ 6.0375 14.9625] ; [16.9625 42.0375],0
b5,1,0.115467,2.477752,[36 15] ; [95 68],[31.21962617 19.78037383] ; [99.78037383 63.21962617],0
s5,1,0.116013,2.47034,[19 29] ; [ 44 115],[14.60869565 33.39130435] ; [ 48.39130435 110.60869565],0
a1,1,0.127005,2.328734,[ 3 48] ; [  3 160],[ 1.42990654 49.57009346] ; [  4.57009346 158.42990654],0
p12,1,0.129227,2.301767,[ 3 48] ; [  3 159],[ 1.43661972 49.56338028] ; [  4.56338028 157.43661972],0
b3,1,0.200389,1.639535,[12 18] ; [21 56],[ 9.25233645 20.74766355] ; [23.74766355 53.25233645],0
b2,1,0.200389,1.639535,[12 18] ; [21 56],[ 9.25233645 20.74766355] ; [23.74766355 53.25233645],0
n2,1,0.202187,1.626504,[17  4] ; [39 20],[14.7  6.3] ; [41.3 17.7],0
a6,1,0.253782,1.302362,[28 23] ; [104  59],[31.45794393 19.54205607] ; [100.54205607  62.45794393],0
r1,1,0.264787,1.243553,[33 18] ; [118  44],[36.15492958 14.84507042] ; [114.84507042  47.15492958],0
s6,1,0.288638,1.125962,[32 17] ; [92 70],[28.79620853 20.20379147] ; [95.20379147 66.79620853],0
d3,1,0.324637,0.970173,[35 14] ; [104  59],[32.12735849 16.87264151] ; [106.87264151  56.12735849],0
p10,1,0.332192,0.940334,[38 13] ; [107  52],[35.21428571 15.78571429] ; [109.78571429  49.21428571],0
p9,1,0.370614,0.801604,[41 10] ; [118  41],[38.61428571 12.38571429] ; [120.38571429  38.61428571],0
