Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,0.000765,11.323787,[  9 168] ; [3 6],[ 11.41935484 165.58064516] ; [0.58064516 8.41935484],1
s7,1,0.000832,11.167708,[ 52 118] ; [7 1],[ 56.34831461 113.65168539] ; [2.65168539 5.34831461],1
p1,1,0.001485,10.096826,[ 10 167] ; [3 6],[ 12.37096774 164.62903226] ; [0.62903226 8.37096774],0
p3,1,0.003393,8.582988,[ 55 124] ; [7 2],[ 59.03191489 119.96808511] ; [2.96808511 6.03191489],0
p8,1,0.007481,7.153643,[ 53 124] ; [6 2],[ 56.44864865 120.55135135] ; [2.55135135 5.44864865],0
s5,1,0.009013,6.82032,[ 33 139] ; [5 4],[ 36.11049724 135.88950276] ; [1.88950276 7.11049724],0
p4,1,0.014611,5.96275,[ 66 112] ; [7 2],[ 69.48663102 108.51336898] ; [3.51336898 5.48663102],0
s8,1,0.020903,5.334863,[ 45 132] ; [5 3],[ 47.83783784 129.16216216] ; [2.16216216 5.83783784],0
s6,1,0.031308,4.635973,[86 91] ; [7 1],[88.97837838 88.02162162] ; [4.02162162 3.97837838],0
s2,1,0.042203,4.127058,[ 59 117] ; [6 3],[ 61.83783784 114.16216216] ; [3.16216216 5.83783784],0
v2,1,0.04645,3.965215,[78 96] ; [1 8],[75.1147541 98.8852459] ; [3.8852459 5.1147541],0
s3,1,0.047256,3.936237,[77 98] ; [7 2],[79.89130435 95.10869565] ; [4.10869565 4.89130435],0
n2,1,0.065092,3.402645,[48 21] ; [1 3],[46.31506849 22.68493151] ; [2.68493151 1.31506849],0
n3,1,0.086326,2.941593,[45 22] ; [1 3],[43.4084507 23.5915493] ; [2.5915493 1.4084507],0
a6,1,0.103254,2.654549,[108  70] ; [3 6],[105.65775401  72.34224599] ; [5.34224599 3.65775401],0
p7,1,0.151597,2.056103,[ 75 102] ; [6 3],[77.08064516 99.91935484] ; [3.91935484 5.08064516],0
p6,1,0.167169,1.908148,[ 42 133] ; [4 5],[ 43.75 131.25] ; [2.25 6.75],0
n6,1,0.182412,1.777863,[115  63] ; [7 1],[116.75268817  61.24731183] ; [5.24731183 2.75268817],0
n1,1,0.205695,1.601471,[29 39] ; [3 1],[30.22222222 37.77777778] ; [1.77777778 2.22222222],0
a7,1,0.23447,1.413537,[114  64] ; [4 5],[112.32085561  65.67914439] ; [5.67914439 3.32085561],0
d3,1,0.248852,1.329737,[104  74] ; [7 2],[105.65775401  72.34224599] ; [5.34224599 3.65775401],0
b4,1,0.25411,1.300565,[105  74] ; [7 2],[106.63829787  72.36170213] ; [5.36170213 3.63829787],0
r3,1,0.318259,0.996088,[158  20] ; [7 2],[157.05882353  20.94117647] ; [7.94117647 1.05882353],0
p9,1,0.442114,0.590788,[ 64 111] ; [4 4],[ 65.0273224 109.9726776] ; [2.9726776 5.0273224],0
a4,1,0.505388,0.443604,[79 98] ; [3 6],[78.03225806 98.96774194] ; [3.96774194 5.03225806],0
u1,1,0.526819,0.400523,[ 26 153] ; [2 7],[ 26.65957447 152.34042553] ; [1.34042553 7.65957447],0
d4,1,0.546764,0.363147,[133  43] ; [6 3],[132.23783784  43.76216216] ; [6.76216216 2.23783784],0
a1,1,0.611096,0.258582,[ 12 167] ; [1 8],[ 12.37765957 166.62234043] ; [0.62234043 8.37765957],0
b1,1,0.612952,0.255898,[84 95] ; [5 4],[84.7393617 94.2606383] ; [4.2606383 4.7393617],0
r4,1,0.628743,0.233769,[148  31] ; [8 1],[148.53191489  30.46808511] ; [7.46808511 1.53191489],0
d1,1,0.659968,0.193562,[86 93] ; [5 4],[86.64361702 92.35638298] ; [4.35638298 4.64361702],0
a3,1,0.691321,0.157659,[110  67] ; [5 4],[109.43548387  67.56451613] ; [5.56451613 3.43548387],0
d2,1,0.695296,0.153412,[90 86] ; [4 5],[89.42702703 86.57297297] ; [4.57297297 4.42702703],0
a5,1,0.723192,0.125455,[110  69] ; [5 4],[109.49468085  69.50531915] ; [5.50531915 3.49468085],0
p11,1,0.732644,0.116698,[90 89] ; [4 5],[89.5 89.5] ; [4.5 4.5],0
v1,1,0.743429,0.107136,[ 69 108] ; [4 5],[ 69.46774194 107.53225806] ; [3.53225806 5.46774194],0
p2,1,0.753529,0.098589,[110  69] ; [6 3],[110.44680851  68.55319149] ; [5.55319149 3.44680851],0
u2,1,0.766242,0.088384,[28 38] ; [2 2],[28.28571429 37.71428571] ; [1.71428571 2.28571429],0
d5,1,0.791282,0.070037,[126  52] ; [6 3],[125.64705882  52.35294118] ; [6.35294118 2.64705882],0
b5,1,0.804075,0.061542,[112  67] ; [6 3],[112.35106383  66.64893617] ; [5.64893617 3.35106383],0
u3,1,0.842908,0.039273,[38 31] ; [2 2],[37.80821918 31.19178082] ; [2.19178082 1.80821918],0
b2,1,0.84561,0.037917,[35 74] ; [2 5],[34.76724138 74.23275862] ; [2.23275862 4.76724138],0
b3,1,0.84561,0.037917,[35 74] ; [2 5],[34.76724138 74.23275862] ; [2.23275862 4.76724138],0
r1,1,0.865252,0.028795,[134  44] ; [7 2],[134.21390374  43.78609626] ; [6.78609626 2.21390374],0
v3,1,0.891819,0.018497,[ 53 117] ; [3 6],[ 53.18435754 116.81564246] ; [2.81564246 6.18435754],0
v4,1,0.911411,0.012378,[156  22] ; [8 1],[156.10695187  21.89304813] ; [7.89304813 1.10695187],0
a8,1,0.994898,4.1e-05,[ 18 143] ; [1 8],[ 17.99411765 143.00588235] ; [1.00588235 7.99411765],0
