Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,42.540182,[68  6] ; [ 9 21],[54.78846154 19.21153846] ; [22.21153846  7.78846154],1
s7,1,0.0,33.264929,[59 12] ; [ 7 23],[46.3960396 24.6039604] ; [19.6039604 10.3960396],1
s6,1,0.002935,8.847744,[64  7] ; [19 10],[58.93 12.07] ; [24.07  4.93],0
s8,1,0.007544,7.138567,[46 28] ; [10 20],[39.84615385 34.15384615] ; [16.15384615 13.84615385],0
r2,1,0.019793,5.430043,[69  4] ; [23  6],[65.84313725  7.15686275] ; [26.15686275  2.84313725],0
v3,1,0.023926,5.100012,[27 47] ; [ 4 25],[22.27184466 51.72815534] ; [ 8.72815534 20.27184466],0
a4,1,0.030433,4.684685,[42 32] ; [10 20],[37. 37.] ; [15. 15.],0
s5,1,0.032774,4.557569,[40 27] ; [10 18],[35.26315789 31.73684211] ; [14.73684211 13.26315789],0
u1,1,0.043868,4.061622,[21 53] ; [ 3 27],[17.07692308 56.92307692] ; [ 6.92307692 23.07692308],0
a3,1,0.055579,3.664621,[58 16] ; [18 12],[54.07692308 19.92307692] ; [21.92307692  8.07692308],0
a6,1,0.069492,3.29497,[51 23] ; [15 15],[46.96153846 27.03846154] ; [19.03846154 10.96153846],0
d1,1,0.093631,2.810811,[50 24] ; [15 15],[46.25 27.75] ; [18.75 11.25],0
a2,1,0.103804,2.6461,[21 53] ; [ 4 26],[17.78846154 56.21153846] ; [ 7.21153846 22.78846154],0
b5,1,0.147311,2.099874,[46 28] ; [14 16],[42.69230769 31.30769231] ; [17.30769231 12.69230769],0
p8,1,0.156412,2.008572,[44 29] ; [13 16],[40.79411765 32.20588235] ; [16.20588235 12.79411765],0
p9,1,0.213537,1.547284,[66  8] ; [24  6],[64.03846154  9.96153846] ; [25.96153846  4.03846154],0
n6,1,0.213537,1.547284,[66  8] ; [24  6],[64.03846154  9.96153846] ; [25.96153846  4.03846154],0
r4,1,0.213537,1.547284,[66  8] ; [24  6],[64.03846154  9.96153846] ; [25.96153846  4.03846154],0
d2,1,0.214073,1.543669,[42 32] ; [13 17],[39.13461538 34.86538462] ; [15.86538462 14.13461538],0
p4,1,0.234093,1.415816,[51 23] ; [17 13],[48.38461538 25.61538462] ; [19.61538462 10.38461538],0
p3,1,0.253849,1.301996,[46 28] ; [15 15],[43.40384615 30.59615385] ; [17.59615385 12.40384615],0
s1,1,0.288154,1.128228,[ 7 67] ; [ 1 29],[ 5.69230769 68.30769231] ; [ 2.30769231 27.69230769],0
p12,1,0.288154,1.128228,[ 7 67] ; [ 1 29],[ 5.69230769 68.30769231] ; [ 2.30769231 27.69230769],0
a7,1,0.292798,1.106712,[50 24] ; [17 13],[47.67307692 26.32692308] ; [19.32692308 10.67307692],0
p6,1,0.29551,1.094345,[35 38] ; [11 19],[32.60194175 40.39805825] ; [13.39805825 16.60194175],0
p5,1,0.322103,0.980389,[10 64] ; [ 2 28],[ 8.53846154 65.46153846] ; [ 3.46153846 26.53846154],0
b3,1,0.346932,0.884648,[ 7 34] ; [ 5 13],[ 8.33898305 32.66101695] ; [ 3.66101695 14.33898305],0
b2,1,0.346932,0.884648,[ 7 34] ; [ 5 13],[ 8.33898305 32.66101695] ; [ 3.66101695 14.33898305],0
a8,1,0.348949,0.877276,[ 6 62] ; [ 1 28],[ 4.90721649 63.09278351] ; [ 2.09278351 26.90721649],0
d4,1,0.38076,0.768247,[60 14] ; [22  8],[58.34615385 15.65384615] ; [23.65384615  6.34615385],0
r3,1,0.425755,0.634375,[67  6] ; [26  4],[65.91262136  7.08737864] ; [27.08737864  2.91262136],0
v2,1,0.452984,0.563175,[33 40] ; [16 14],[34.72815534 38.27184466] ; [14.27184466 15.72815534],0
a5,1,0.45339,0.562162,[57 17] ; [21  9],[55.5 18.5] ; [22.5  7.5],0
n3,1,0.464069,0.536062,[16  3] ; [2 1],[15.54545455  3.45454545] ; [2.45454545 0.54545455],0
p2,1,0.499091,0.456868,[61 13] ; [23  7],[59.76923077 14.23076923] ; [24.23076923  5.76923077],0
d5,1,0.499091,0.456868,[61 13] ; [23  7],[59.76923077 14.23076923] ; [24.23076923  5.76923077],0
u3,1,0.508332,0.4375,[10  6] ; [6 6],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
b1,1,0.537227,0.380704,[32 42] ; [11 19],[30.59615385 43.40384615] ; [12.40384615 17.59615385],0
v4,1,0.54603,0.364478,[71  3] ; [27  2],[70.40776699  3.59223301] ; [27.59223301  1.40776699],0
p1,1,0.57389,0.316216,[ 5 69] ; [ 3 27],[ 5.69230769 68.30769231] ; [ 2.30769231 27.69230769],0
v1,1,0.576943,0.311203,[39 35] ; [14 16],[37.71153846 36.28846154] ; [15.28846154 14.71153846],0
p7,1,0.612889,0.255989,[50 23] ; [19 11],[48.90291262 24.09708738] ; [20.09708738  9.90291262],0
d3,1,0.652402,0.202886,[55 19] ; [21  9],[54.07692308 19.92307692] ; [21.92307692  8.07692308],0
