Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,176.14706,[ 34 240] ; [174  78],[108.34980989 165.65019011] ; [ 99.65019011 152.34980989],1
d5,1,0.0,140.61123,[144 130] ; [249   6],[203.55765595  70.44234405] ; [189.44234405  65.55765595],1
d3,1,0.0,132.837704,[116 157] ; [230  25],[178.89772727  94.10227273] ; [167.10227273  87.89772727],1
d4,1,0.0,126.675136,[157 118] ; [249   4],[211.45833333  63.54166667] ; [194.54166667  58.45833333],1
a2,1,0.0,75.268665,[ 12 263] ; [ 86 170],[ 50.75329567 224.24670433] ; [ 47.24670433 208.75329567],1
a4,1,0.0,71.554788,[ 62 211] ; [150 105],[109.61363636 163.38636364] ; [102.38636364 152.61363636],1
a5,1,0.0,52.615788,[136 139] ; [204  52],[176.08286252  98.91713748] ; [163.91713748  92.08286252],1
u1,1,0.0,48.581304,[  6 269] ; [ 55 201],[ 31.5913371 243.4086629] ; [ 29.4086629 226.5913371],1
a3,1,0.0,40.499293,[135 137] ; [195  60],[170.32258065 101.67741935] ; [159.67741935  95.32258065],1
a6,1,3e-06,21.909424,[155 120] ; [193  62],[180.56603774  94.43396226] ; [167.43396226  87.56603774],1
v2,1,6e-06,20.346807,[103 160] ; [145 100],[128.39370079 134.60629921] ; [119.60629921 125.39370079],1
r1,1,1.1e-05,19.262057,[174 100] ; [205  49],[196.6780303  77.3219697] ; [182.3219697  71.6780303],1
a7,1,0.000146,14.422065,[173 100] ; [200  55],[192.85795455  80.14204545] ; [180.14204545  74.85795455],1
r2,1,0.000161,14.235759,[233  38] ; [240  11],[245.56130268  25.43869732] ; [227.43869732  23.56130268],1
p4,1,0.001515,10.059741,[108 165] ; [135 118],[126.11977186 146.88022814] ; [116.88022814 136.11977186],0
r4,1,0.001589,9.972753,[205  70] ; [219  37],[219.58568738  55.41431262] ; [204.41431262  51.58568738],0
r3,1,0.006137,7.509622,[233  38] ; [237  17],[242.60952381  28.39047619] ; [227.39047619  26.60952381],0
n6,1,0.010829,6.493112,[191  80] ; [205  51],[203.63567362  67.36432638] ; [192.36432638  63.63567362],0
p10,1,0.016331,5.766841,[171  98] ; [187  68],[183.78244275  85.21755725] ; [174.21755725  80.78244275],0
s7,1,0.047092,3.942087,[ 54 207] ; [ 69 175],[ 63.57029703 197.42970297] ; [ 59.42970297 184.57029703],0
