Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,43.903945,[ 30 134] ; [88 77],[ 58.82066869 105.17933131] ; [ 59.17933131 105.82066869],1
v1,1,3.4e-05,17.207653,[ 64 101] ; [100  62],[82.75229358 82.24770642] ; [81.24770642 80.75229358],1
r1,1,0.000104,15.067293,[116  50] ; [145  21],[130.5  35.5] ; [130.5  35.5],1
p10,1,0.00167,9.881035,[110  53] ; [133  28],[122.25  40.75] ; [120.75  40.25],0
p3,1,0.011621,6.367751,[ 63 104] ; [84 79],[74.39090909 92.60909091] ; [72.60909091 90.39090909],0
p6,1,0.018051,5.591223,[ 43 122] ; [ 62 100],[ 52.98165138 112.01834862] ; [ 52.01834862 109.98165138],0
s1,1,0.019727,5.435918,[ 10 154] ; [  2 160],[  6.03680982 157.96319018] ; [  5.96319018 156.03680982],0
s8,1,0.020596,5.360624,[ 47 118] ; [67 98],[ 57. 108.] ; [ 57. 108.],0
a5,1,0.024894,5.031263,[87 80] ; [106  59],[97.0813253 69.9186747] ; [95.9186747 69.0813253],0
p7,1,0.029029,4.765897,[89 74] ; [107  54],[98.60493827 64.39506173] ; [97.39506173 63.60493827],0
u1,1,0.031047,4.650342,[  2 165] ; [  9 157],[  5.51651652 161.48348348] ; [  5.48348348 160.51651652],0
d3,1,0.0397,4.230652,[ 59 107] ; [77 88],[68.20543807 97.79456193] ; [67.79456193 97.20543807],0
s7,1,0.039999,4.21791,[58 99] ; [76 81],[67. 90.] ; [67. 90.],0
p8,1,0.041376,4.160567,[68 97] ; [85 77],[77.20183486 87.79816514] ; [75.79816514 86.20183486],0
p9,1,0.045403,4.003603,[122  41] ; [135  26],[129.29320988  33.70679012] ; [127.70679012  33.29320988],0
r3,1,0.058226,3.587203,[161   6] ; [164   1],[163.47891566   3.52108434] ; [161.52108434   3.47891566],0
b5,1,0.067353,3.346385,[107  60] ; [90 76],[98.7957958 68.2042042] ; [98.2042042 67.7957958],0
n5,1,0.087859,2.913164,[110  56] ; [122  41],[117.05775076  48.94224924] ; [114.94224924  48.05775076],0
d2,1,0.088747,2.89695,[ 30 136] ; [ 19 147],[ 24.5 141.5] ; [ 24.5 141.5],0
a3,1,0.104431,2.636541,[89 77] ; [103  62],[96.29003021 69.70996979] ; [95.70996979 69.29003021],0
b1,1,0.12507,2.352658,[71 96] ; [ 57 109],[ 64.19219219 102.80780781] ; [ 63.80780781 102.19219219],0
d4,1,0.139997,2.17799,[93 74] ; [105  60],[99.59638554 67.40361446] ; [98.40361446 66.59638554],0
n1,1,0.152928,2.042803,[17 21] ; [10 25],[14.05479452 23.94520548] ; [12.94520548 22.05479452],0
n6,1,0.177261,1.820438,[132  35] ; [139  25],[136.72809668  30.27190332] ; [134.27190332  29.72809668],0
s4,1,0.19186,1.70328,[ 32 133] ; [ 23 141],[ 27.58358663 137.41641337] ; [ 27.41641337 136.58358663],0
p11,1,0.201983,1.627976,[124  43] ; [133  33],[128.88588589  38.11411411] ; [128.11411411  37.88588589],0
a4,1,0.209826,1.572627,[ 48 117] ; [ 38 127],[ 43. 122.] ; [ 43. 122.],0
a7,1,0.226209,1.46454,[106  60] ; [115  49],[111.16969697  54.83030303] ; [109.83030303  54.16969697],0
a1,1,0.235351,1.408225,[  4 163] ; [  8 158],[  6.01801802 160.98198198] ; [  5.98198198 160.01801802],0
r2,1,0.243818,1.35838,[159   8] ; [162   4],[160.98198198   6.01801802] ; [160.01801802   5.98198198],0
d5,1,0.267302,1.230541,[90 76] ; [100  66],[95. 71.] ; [95. 71.],0
b2,1,0.298861,1.079268,[27 67] ; [34 61],[30.33862434 63.66137566] ; [30.66137566 64.33862434],0
b3,1,0.298861,1.079268,[27 67] ; [34 61],[30.33862434 63.66137566] ; [30.66137566 64.33862434],0
s5,1,0.31076,1.027441,[ 45 114] ; [ 54 107],[ 49.190625 109.809375] ; [ 49.809375 111.190625],0
p4,1,0.345216,0.890965,[80 85] ; [87 75],[84.26605505 80.73394495] ; [82.73394495 79.26605505],0
u3,1,0.382308,0.763267,[46 31] ; [33 30],[43.45 33.55] ; [35.55 27.45],0
a8,1,0.398123,0.713987,[ 27 131] ; [ 21 133],[ 24.30769231 133.69230769] ; [ 23.69230769 130.30769231],0
a6,1,0.421042,0.647405,[96 71] ; [102  63],[99.59638554 67.40361446] ; [98.40361446 66.59638554],0
b4,1,0.46919,0.523883,[90 77] ; [96 70],[93.27927928 73.72072072] ; [92.72072072 73.27927928],0
s2,1,0.482625,0.492925,[70 96] ; [75 88],[73.16109422 92.83890578] ; [71.83890578 91.16109422],0
n4,1,0.489163,0.478366,[115  51] ; [120  45],[117.85498489  48.14501511] ; [117.14501511  47.85498489],0
p2,1,0.572986,0.317712,[130  37] ; [131  32],[132.08181818  34.91818182] ; [128.91818182  34.08181818],0
s6,1,0.647718,0.20879,[102  60] ; [104  55],[103.96261682  58.03738318] ; [102.03738318  56.96261682],0
a2,1,0.669633,0.182032,[ 12 155] ; [ 10 156],[ 11.03303303 155.96696697] ; [ 10.96696697 155.03303303],0
p1,1,0.705178,0.143141,[ 15 150] ; [ 13 151],[ 14.04255319 150.95744681] ; [ 13.95744681 150.04255319],0
v4,1,0.759122,0.094024,[161   5] ; [160   6],[160.5   5.5] ; [160.5   5.5],0
p12,1,0.763616,0.090442,[  8 158] ; [  9 153],[  8.60365854 157.39634146] ; [  8.39634146 153.60365854],0
p5,1,0.815459,0.05447,[ 18 148] ; [ 19 144],[ 18.66869301 147.33130699] ; [ 18.33130699 144.66869301],0
s3,1,0.861261,0.030544,[86 79] ; [86 76],[86.78899083 78.21100917] ; [85.21100917 76.78899083],0
u2,1,0.865103,0.02886,[39 38] ; [31 32],[38.5 38.5] ; [31.5 31.5],0
n2,1,0.883496,0.021474,[32  7] ; [30  6],[32.24  6.76] ; [29.76  6.24],0
n3,1,0.95453,0.003251,[30  7] ; [29  7],[29.90410959  7.09589041] ; [29.09589041  6.90410959],0
u4,1,0.996601,1.8e-05,[  1 166] ; [  1 165],[  1.003003 165.996997] ; [  0.996997 165.003003],0
