Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.2e-05,18.005984,[23 19] ; [97 15],[32.72727273  9.27272727] ; [87.27272727 24.72727273],1
p10,1,3.3e-05,17.243386,[21 23] ; [90 21],[31.50967742 12.49032258] ; [79.49032258 31.50967742],1
p2,1,0.000321,12.942456,[26 20] ; [92 18],[34.79487179 11.20512821] ; [83.20512821 26.79487179],1
p8,1,0.000755,11.347623,[10 36] ; [57 55],[19.50632911 26.49367089] ; [47.49367089 64.50632911],1
b1,1,0.001443,10.149651,[22 24] ; [25 87],[13.6835443 32.3164557] ; [33.3164557 78.6835443],0
b5,1,0.01504,5.911833,[35 11] ; [62 50],[28.24050633 17.75949367] ; [68.75949367 43.24050633],0
a6,1,0.023126,5.159046,[21 25] ; [73 39],[27.36708861 18.63291139] ; [66.63291139 45.36708861],0
p7,1,0.043713,4.067616,[20 26] ; [66 42],[25.68831169 20.31168831] ; [60.31168831 47.68831169],0
r3,1,0.054242,3.705235,[40  6] ; [107   5],[42.79746835  3.20253165] ; [104.20253165   7.79746835],0
s4,1,0.058527,3.578629,[17 29] ; [25 87],[12.2278481 33.7721519] ; [29.7721519 82.2278481],0
r1,1,0.119914,2.418438,[27 19] ; [80 32],[31.15189873 14.84810127] ; [75.84810127 36.15189873],0
n5,1,0.120456,2.411378,[14 32] ; [49 63],[18.34177215 27.65822785] ; [44.65822785 67.34177215],0
s1,1,0.148303,2.089625,[ 2 44] ; [  1 111],[ 0.87341772 45.12658228] ; [  2.12658228 109.87341772],0
v2,1,0.168756,1.893958,[17 27] ; [55 53],[20.84210526 23.15789474] ; [51.15789474 56.84210526],0
d2,1,0.214339,1.541876,[20 26] ; [37 75],[16.59493671 29.40506329] ; [40.40506329 71.59493671],0
b4,1,0.229692,1.442769,[24 22] ; [70 42],[27.36708861 18.63291139] ; [66.63291139 45.36708861],0
r4,1,0.247387,1.338,[35 11] ; [94 18],[37.55696203  8.44303797] ; [91.44303797 20.55696203],0
a8,1,0.257649,1.281344,[ 1 44] ; [ 7 96],[ 2.43243243 42.56756757] ; [ 5.56756757 97.43243243],0
v3,1,0.286395,1.136492,[ 9 36] ; [30 76],[11.62251656 33.37748344] ; [27.37748344 78.62251656],0
s2,1,0.292732,1.107015,[22 24] ; [43 68],[19.04458599 26.95541401] ; [45.95541401 65.04458599],0
u2,1,0.297471,1.085499,[ 7 12] ; [22 21],[ 8.88709677 10.11290323] ; [20.11290323 22.88709677],0
v1,1,0.323523,0.974649,[15 29] ; [47 63],[17.71428571 26.28571429] ; [44.28571429 65.71428571],0
p6,1,0.34214,0.902397,[ 8 38] ; [27 84],[10.25477707 35.74522293] ; [24.74522293 86.25477707],0
p1,1,0.427326,0.63008,[ 3 43] ; [  4 106],[ 2.06410256 43.93589744] ; [  4.93589744 105.06410256],0
d3,1,0.431961,0.617545,[28 17] ; [77 35],[30.0955414 14.9044586] ; [74.9044586 37.0955414],0
n3,1,0.463121,0.538341,[12 10] ; [25 14],[13.3442623  8.6557377] ; [23.6557377 15.3442623],0
s5,1,0.54227,0.371349,[13 32] ; [37 72],[14.61038961 30.38961039] ; [35.38961039 73.61038961],0
a7,1,0.585297,0.297749,[31 14] ; [82 30],[32.38853503 12.61146497] ; [80.61146497 31.38853503],0
a4,1,0.591437,0.288105,[12 34] ; [34 78],[13.39240506 32.60759494] ; [32.60759494 79.39240506],0
s6,1,0.599511,0.275734,[28 17] ; [64 47],[26.53846154 18.46153846] ; [65.46153846 45.53846154],0
n2,1,0.605359,0.266989,[15  7] ; [29 10],[15.86885246  6.13114754] ; [28.13114754 10.86885246],0
d4,1,0.61163,0.257809,[34 12] ; [87 25],[35.2278481 10.7721519] ; [85.7721519 26.2278481],0
v4,1,0.622445,0.242446,[44  2] ; [103   7],[43.34615385  2.65384615] ; [103.65384615   6.34615385],0
d5,1,0.645935,0.211064,[33 12] ; [78 34],[31.81528662 13.18471338] ; [79.18471338 32.81528662],0
a3,1,0.657153,0.197001,[26 19] ; [69 43],[27.22929936 17.77070064] ; [67.77070064 44.22929936],0
s8,1,0.667126,0.184983,[14 31] ; [31 81],[12.89808917 32.10191083] ; [32.10191083 79.89808917],0
p3,1,0.70969,0.138587,[15 31] ; [40 72],[16.01265823 29.98734177] ; [38.98734177 73.01265823],0
r2,1,0.718139,0.130283,[41  5] ; [101  10],[41.60509554  4.39490446] ; [100.39490446  10.60509554],0
s3,1,0.736921,0.112851,[21 25] ; [47 63],[20.05128205 25.94871795] ; [47.94871795 62.05128205],0
p4,1,0.747606,0.103554,[21 25] ; [48 64],[20.08860759 25.91139241] ; [48.91139241 63.08860759],0
a5,1,0.780495,0.077659,[26 20] ; [66 46],[26.78481013 19.21518987] ; [65.21518987 46.78481013],0
s7,1,0.831195,0.045441,[14 28] ; [35 76],[13.45098039 28.54901961] ; [35.54901961 75.45098039],0
a1,1,0.854443,0.033655,[ 1 45] ; [  3 109],[ 1.16455696 44.83544304] ; [  2.83544304 109.16455696],0
u3,1,0.878918,0.023208,[11  8] ; [24 19],[10.72580645  8.27419355] ; [24.27419355 18.72580645],0
d1,1,0.907759,0.013425,[21 25] ; [50 62],[20.67088608 25.32911392] ; [50.32911392 61.67088608],0
a2,1,0.925638,0.008711,[ 6 40] ; [14 98],[ 5.82278481 40.17721519] ; [14.17721519 97.82278481],0
b2,1,0.949395,0.004028,[ 6 14] ; [16 36],[ 6.11111111 13.88888889] ; [15.88888889 36.11111111],0
b3,1,0.949395,0.004028,[ 6 14] ; [16 36],[ 6.11111111 13.88888889] ; [15.88888889 36.11111111],0
u1,1,0.96267,0.002191,[ 4 42] ; [ 10 102],[ 4.07594937 41.92405063] ; [  9.92405063 102.07594937],0
n1,1,0.983662,0.000419,[ 5 17] ; [ 9 31],[ 4.96774194 17.03225806] ; [ 9.03225806 30.96774194],0
