Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,27.582718,[113   8] ; [4 6],[108.06870229  12.93129771] ; [8.93129771 1.06870229],1
r4,1,0.0,26.889525,[109  12] ; [3 7],[103.45038168  17.54961832] ; [8.54961832 1.45038168],1
s7,1,0.000897,11.028818,[78 39] ; [1 8],[73.35714286 43.64285714] ; [5.64285714 3.35714286],1
s8,1,0.009537,6.719375,[75 46] ; [2 8],[71.1221374 49.8778626] ; [5.8778626 4.1221374],0
v2,1,0.010922,6.477974,[65 53] ; [1 8],[61.32283465 56.67716535] ; [4.67716535 4.32283465],0
p11,1,0.021584,5.279019,[98 23] ; [5 5],[95.13740458 25.86259542] ; [7.86259542 2.13740458],0
p6,1,0.028273,4.811354,[54 64] ; [1 9],[50.703125 67.296875] ; [4.296875 5.703125],0
d5,1,0.028568,4.793445,[96 24] ; [5 5],[93.23076923 26.76923077] ; [7.76923077 2.23076923],0
r2,1,0.041164,4.169232,[109  11] ; [7 3],[107.07692308  12.92307692] ; [8.92307692 1.07692308],0
p9,1,0.042794,4.103535,[102  18] ; [6 4],[99.69230769 20.30769231] ; [8.30769231 1.69230769],0
r1,1,0.06005,3.536003,[93 28] ; [5 5],[90.51908397 30.48091603] ; [7.48091603 2.51908397],0
s6,1,0.071198,3.255186,[89 28] ; [5 5],[86.5984252 30.4015748] ; [7.4015748 2.5984252],0
p7,1,0.086822,2.932331,[90 30] ; [5 5],[87.69230769 32.30769231] ; [7.30769231 2.69230769],0
p1,1,0.098511,2.729481,[ 14 106] ; [3 7],[ 15.69230769 104.30769231] ; [1.30769231 8.69230769],0
d3,1,0.098776,2.725191,[52 69] ; [7 3],[54.49618321 66.50381679] ; [4.50381679 5.49618321],0
p8,1,0.106902,2.59943,[78 41] ; [4 6],[75.64341085 43.35658915] ; [6.35658915 3.64341085],0
a5,1,0.13492,2.234963,[97 24] ; [6 4],[95.13740458 25.86259542] ; [7.86259542 2.13740458],0
n5,1,0.21215,1.556696,[93 27] ; [6 4],[91.38461538 28.61538462] ; [7.61538462 2.38461538],0
s5,1,0.245642,1.347921,[56 58] ; [3 7],[54.24193548 59.75806452] ; [4.75806452 5.24193548],0
a6,1,0.251203,1.316599,[50 71] ; [6 4],[51.72519084 69.27480916] ; [4.27480916 5.72519084],0
s3,1,0.251709,1.313793,[77 44] ; [4 5],[75.39230769 45.60769231] ; [5.60769231 3.39230769],0
p2,1,0.288435,1.126913,[100  20] ; [7 3],[98.76923077 21.23076923] ; [8.23076923 1.76923077],0
a3,1,0.291778,1.111401,[91 30] ; [6 4],[89.59541985 31.40458015] ; [7.40458015 2.59541985],0
s2,1,0.322429,0.97907,[68 53] ; [4 6],[66.50381679 54.49618321] ; [5.49618321 4.50381679],0
a4,1,0.344351,0.894166,[55 66] ; [3 7],[53.57251908 67.42748092] ; [4.42748092 5.57251908],0
d4,1,0.368449,0.808889,[98 22] ; [7 3],[96.92307692 23.07692308] ; [8.07692308 1.92307692],0
b3,1,0.370101,0.803326,[41 48] ; [2 5],[39.86458333 49.13541667] ; [3.13541667 3.86458333],0
b2,1,0.370101,0.803326,[41 48] ; [2 5],[39.86458333 49.13541667] ; [3.13541667 3.86458333],0
v1,1,0.37097,0.800412,[64 53] ; [4 6],[62.64566929 54.35433071] ; [5.35433071 4.64566929],0
d1,1,0.40367,0.697367,[65 56] ; [4 6],[63.73282443 57.26717557] ; [5.26717557 4.73282443],0
v3,1,0.440848,0.594074,[55 63] ; [3 6],[53.88976378 64.11023622] ; [4.11023622 4.88976378],0
p10,1,0.453878,0.560949,[96 24] ; [7 3],[95.07692308 24.92307692] ; [7.92307692 2.07692308],0
p5,1,0.479109,0.500892,[23 98] ; [1 9],[22.16793893 98.83206107] ; [1.83206107 8.16793893],0
s1,1,0.495707,0.464115,[  6 115] ; [1 9],[  6.46564885 114.53435115] ; [0.53435115 9.46564885],0
n1,1,0.495947,0.463599,[13 11] ; [1 2],[12.44444444 11.55555556] ; [1.55555556 1.44444444],0
s4,1,0.669562,0.182115,[29 92] ; [3 7],[29.55725191 91.44274809] ; [2.44274809 7.55725191],0
p12,1,0.702142,0.146253,[  8 110] ; [1 9],[  8.296875 109.703125] ; [0.703125 9.296875],0
b5,1,0.7045,0.143833,[53 68] ; [5 5],[53.57251908 67.42748092] ; [4.42748092 5.57251908],0
n6,1,0.787087,0.072952,[100  20] ; [8 2],[99.69230769 20.30769231] ; [8.30769231 1.69230769],0
n4,1,0.787087,0.072952,[100  20] ; [8 2],[99.69230769 20.30769231] ; [8.30769231 1.69230769],0
b1,1,0.820742,0.051343,[65 56] ; [5 5],[64.65648855 56.34351145] ; [5.34351145 4.65648855],0
b4,1,0.820742,0.051343,[65 56] ; [5 5],[64.65648855 56.34351145] ; [5.34351145 4.65648855],0
p4,1,0.852703,0.034474,[88 33] ; [7 3],[87.7480916 33.2519084] ; [7.2519084 2.7480916],0
d2,1,0.879129,0.023126,[63 57] ; [5 5],[62.76923077 57.23076923] ; [5.23076923 4.76923077],0
u2,1,0.900158,0.015741,[16 14] ; [2 2],[15.88235294 14.11764706] ; [2.11764706 1.88235294],0
n3,1,1.0,0.0,[16  8] ; [2 1],[16.  8.] ; [2. 1.],0
