Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,9e-06,19.697635,[ 2 30] ; [21 16],[10.66666667 21.33333333] ; [12.33333333 24.66666667],1
d4,1,0.00013,14.648773,[11 20] ; [30  7],[18.69117647 12.30882353] ; [22.30882353 14.69117647],1
p6,1,0.001876,9.666668,[ 2 29] ; [13 20],[ 7.265625 23.734375] ; [ 7.734375 25.265625],0
d2,1,0.003983,8.291476,[ 8 24] ; [22 15],[13.91304348 18.08695652] ; [16.08695652 20.91304348],0
v2,1,0.006102,7.520004,[ 6 23] ; [19 16],[11.328125 17.671875] ; [13.671875 21.328125],0
d3,1,0.036301,4.382918,[ 7 25] ; [17 20],[11.13043478 20.86956522] ; [12.86956522 24.13043478],0
a5,1,0.037511,4.327069,[11 21] ; [22 15],[15.30434783 16.69565217] ; [17.69565217 19.30434783],0
r3,1,0.044661,4.031399,[20 12] ; [31  6],[23.65217391  8.34782609] ; [27.34782609  9.65217391],0
b1,1,0.049842,3.846769,[17 15] ; [28  9],[20.86956522 11.13043478] ; [24.13043478 12.86956522],0
v4,1,0.064302,3.422809,[19 11] ; [30  6],[22.27272727  7.72727273] ; [26.72727273  9.27272727],0
p8,1,0.068881,3.309491,[ 6 26] ; [14 22],[ 9.41176471 22.58823529] ; [10.58823529 25.41176471],0
s4,1,0.083566,2.994144,[ 4 28] ; [11 26],[ 6.95652174 25.04347826] ; [ 8.04347826 28.95652174],0
a4,1,0.097089,2.752716,[ 7 25] ; [15 22],[10.20289855 21.79710145] ; [11.79710145 25.20289855],0
r4,1,0.138347,2.196252,[16 16] ; [25 12],[19.01449275 12.98550725] ; [21.98550725 15.01449275],0
p4,1,0.142074,2.155353,[10 21] ; [18 18],[12.95522388 18.04477612] ; [15.04477612 20.95522388],0
a3,1,0.202991,1.620725,[15 17] ; [23 14],[17.62318841 14.37681159] ; [20.37681159 16.62318841],0
b4,1,0.202991,1.620725,[15 17] ; [23 14],[17.62318841 14.37681159] ; [20.37681159 16.62318841],0
p10,1,0.205727,1.601245,[12 19] ; [19 16],[14.56060606 16.43939394] ; [16.43939394 18.56060606],0
s5,1,0.228661,1.449173,[ 5 26] ; [10 25],[ 7.04545455 23.95454545] ; [ 7.95454545 27.04545455],0
u2,1,0.24179,1.370128,[10  7] ; [11  3],[11.51612903  5.48387097] ; [9.48387097 4.51612903],0
n1,1,0.269023,1.221719,[5 8] ; [10  7],[6.5 6.5] ; [8.5 8.5],0
s8,1,0.291188,1.11412,[ 6 26] ; [11 26],[ 7.88405797 24.11594203] ; [ 9.11594203 27.88405797],0
n4,1,0.295864,1.092743,[15 17] ; [22 15],[17.15942029 14.84057971] ; [19.84057971 17.15942029],0
a1,1,0.296951,1.087838,[ 4 28] ; [ 2 35],[ 2.7826087 29.2173913] ; [ 3.2173913 33.7826087],0
s7,1,0.297471,1.085499,[ 7 22] ; [12 21],[ 8.88709677 20.11290323] ; [10.11290323 22.88709677],0
s6,1,0.300115,1.073684,[12 20] ; [18 18],[14.11764706 17.88235294] ; [15.88235294 20.11764706],0
r1,1,0.309491,1.032848,[16 16] ; [23 14],[18.08695652 13.91304348] ; [20.91304348 16.08695652],0
r2,1,0.358884,0.841796,[23  8] ; [30  6],[24.52238806  6.47761194] ; [28.47761194  7.52238806],0
s1,1,0.36225,0.830078,[ 1 31] ; [ 3 33],[ 1.88235294 30.11764706] ; [ 2.11764706 33.88235294],0
p7,1,0.375675,0.784808,[13 18] ; [19 17],[14.80597015 16.19402985] ; [17.19402985 18.80597015],0
a2,1,0.377068,0.78024,[ 1 31] ; [ 3 34],[ 1.85507246 30.14492754] ; [ 2.14492754 34.85507246],0
a6,1,0.423332,0.641047,[10 22] ; [15 22],[11.5942029 20.4057971] ; [13.4057971 23.5942029],0
s2,1,0.423332,0.641047,[10 22] ; [15 22],[11.5942029 20.4057971] ; [13.4057971 23.5942029],0
