Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,9.5e-05,15.229501,[ 5 18] ; [24  8],[12.12727273 10.87272727] ; [16.87272727 15.12727273],1
s2,1,0.000257,13.359582,[ 3 21] ; [20 13],[ 9.68421053 14.31578947] ; [13.31578947 19.68421053],1
s7,1,0.00112,10.618687,[ 3 19] ; [19 14],[ 8.8 13.2] ; [13.2 19.8],0
r3,1,0.012632,6.219949,[16  7] ; [32  2],[19.36842105  3.63157895] ; [28.63157895  5.36842105],0
s5,1,0.026993,4.891266,[ 2 20] ; [12 22],[ 5.5 16.5] ; [ 8.5 25.5],0
r1,1,0.043824,4.063317,[14 10] ; [28  6],[17.37931034  6.62068966] ; [24.62068966  9.37931034],0
a2,1,0.050873,3.812449,[ 3 21] ; [12 22],[ 6.20689655 17.79310345] ; [ 8.79310345 25.20689655],0
n2,1,0.088676,2.898254,[9 1] ; [5 4],[7.36842105 2.63157895] ; [6.63157895 2.36842105],0
n1,1,0.092133,2.836706,[5 3] ; [2 7],[3.29411765 4.70588235] ; [3.70588235 5.29411765],0
r4,1,0.093844,2.807173,[16  8] ; [29  5],[18.62068966  5.37931034] ; [26.37931034  7.62068966],0
s8,1,0.135686,2.226209,[ 6 18] ; [15 19],[ 8.68965517 15.31034483] ; [12.31034483 21.68965517],0
n6,1,0.155822,2.014312,[15  9] ; [27  7],[17.37931034  6.62068966] ; [24.62068966  9.37931034],0
b1,1,0.197806,1.658497,[14 10] ; [14 20],[11.5862069 12.4137931] ; [16.4137931 17.5862069],0
u2,1,0.198982,1.649832,[3 5] ; [8 4],[4.4 3.6] ; [6.6 5.4],0
a8,1,0.254558,1.298116,[ 2 21] ; [ 6 24],[ 3.47169811 19.52830189] ; [ 4.52830189 25.47169811],0
p4,1,0.256003,1.290245,[ 8 15] ; [17 17],[10.0877193 12.9122807] ; [14.9122807 19.0877193],0
n3,1,0.256839,1.285714,[8 1] ; [6 3],[7. 2.] ; [7. 2.],0
n5,1,0.262728,1.254325,[12 12] ; [22 12],[14.06896552  9.93103448] ; [19.93103448 14.06896552],0
v1,1,0.268905,1.222324,[11 13] ; [20 13],[13.05263158 10.94736842] ; [17.94736842 15.05263158],0
a7,1,0.274957,1.19185,[13 10] ; [24 10],[14.92982456  8.07017544] ; [22.07017544 11.92982456],0
b3,1,0.319837,0.989611,[4 9] ; [ 4 20],[ 2.81081081 10.18918919] ; [ 5.18918919 18.81081081],0
b2,1,0.319837,0.989611,[4 9] ; [ 4 20],[ 2.81081081 10.18918919] ; [ 5.18918919 18.81081081],0
b5,1,0.333504,0.935243,[14 10] ; [24 10],[15.72413793  8.27586207] ; [22.27586207 11.72413793],0
s1,1,0.339816,0.911125,[ 2 21] ; [ 1 33],[ 1.21052632 21.78947368] ; [ 1.78947368 32.21052632],0
d1,1,0.345797,0.888822,[ 9 15] ; [17 17],[10.75862069 13.24137931] ; [15.24137931 18.75862069],0
a1,1,0.37649,0.782131,[ 3 21] ; [ 2 32],[ 2.06896552 21.93103448] ; [ 2.93103448 31.06896552],0
n4,1,0.377873,0.77761,[20  4] ; [25  9],[18.62068966  5.37931034] ; [26.37931034  7.62068966],0
p6,1,0.391251,0.735051,[ 6 16] ; [ 6 28],[ 4.71428571 17.28571429] ; [ 7.28571429 26.71428571],0
d4,1,0.39684,0.717882,[16  7] ; [27  7],[17.35087719  5.64912281] ; [25.64912281  8.35087719],0
a5,1,0.419028,0.653039,[13 11] ; [22 12],[14.48275862  9.51724138] ; [20.51724138 13.48275862],0
p11,1,0.45067,0.568966,[11 13] ; [19 15],[12.4137931 11.5862069] ; [17.5862069 16.4137931],0
s4,1,0.463111,0.538364,[ 2 22] ; [ 5 29],[ 2.89655172 21.10344828] ; [ 4.10344828 29.89655172],0
p3,1,0.544579,0.36712,[ 6 18] ; [11 23],[ 7.03448276 16.96551724] ; [ 9.96551724 24.03448276],0
v4,1,0.593888,0.284314,[20  4] ; [30  4],[20.68965517  3.31034483] ; [29.31034483  4.68965517],0
u3,1,0.603848,0.269231,[4 4] ; [8 5],[4.57142857 3.42857143] ; [7.42857143 5.57142857],0
d5,1,0.629175,0.233181,[17  7] ; [26  8],[17.79310345  6.20689655] ; [25.20689655  8.79310345],0
p7,1,0.638018,0.221344,[ 9 15] ; [14 18],[ 9.85714286 14.14285714] ; [13.14285714 18.85714286],0
p8,1,0.644793,0.212528,[ 7 16] ; [12 21],[ 7.80357143 15.19642857] ; [11.19642857 21.80357143],0
p2,1,0.684238,0.165394,[14 10] ; [18 16],[13.24137931 10.75862069] ; [18.75862069 15.24137931],0
a6,1,0.684615,0.164977,[15  9] ; [23 11],[15.72413793  8.27586207] ; [22.27586207 11.72413793],0
d3,1,0.684615,0.164977,[15  9] ; [23 11],[15.72413793  8.27586207] ; [22.27586207 11.72413793],0
a3,1,0.702034,0.146365,[16  8] ; [21 13],[15.31034483  8.68965517] ; [21.68965517 12.31034483],0
d2,1,0.704703,0.143626,[12 11] ; [16 18],[11.29824561 11.70175439] ; [16.70175439 17.29824561],0
v2,1,0.805306,0.060755,[14  9] ; [19 14],[13.55357143  9.44642857] ; [19.44642857 13.55357143],0
a4,1,0.897041,0.016744,[11 13] ; [15 19],[10.75862069 13.24137931] ; [15.24137931 18.75862069],0
p9,1,0.935064,0.006638,[ 8 16] ; [11 21],[ 8.14285714 15.85714286] ; [10.85714286 21.14285714],0
b4,1,0.983886,0.000408,[17  7] ; [24 10],[16.96551724  7.03448276] ; [24.03448276  9.96551724],0
