Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4e-06,21.222243,[242 133] ; [71  7],[259.10596026 115.89403974] ; [53.89403974 24.10596026],1
s2,1,3.9e-05,16.898065,[196 181] ; [61 18],[212.47587719 164.52412281] ; [44.52412281 34.47587719],1
s5,1,5.7e-05,16.202823,[125 244] ; [43 30],[140.25339367 228.74660633] ; [27.74660633 45.25339367],1
s3,1,0.003058,8.772343,[207 167] ; [58 21],[218.78587196 155.21412804] ; [46.21412804 32.78587196],0
n4,1,0.007557,7.135569,[330  51] ; [59 20],[322.19347826  58.80652174] ; [66.80652174 12.19347826],0
p6,1,0.011946,6.31894,[145 232] ; [42 36],[154.94285714 222.05714286] ; [32.05714286 45.94285714],0
a8,1,0.014995,5.917053,[ 55 281] ; [ 4 70],[ 48.35121951 287.64878049] ; [10.64878049 63.35121951],0
s8,1,0.020297,5.386146,[185 193] ; [50 29],[194.37636761 183.62363239] ; [40.62363239 38.37636761],0
s1,1,0.023947,5.098479,[  7 370] ; [ 5 74],[  9.92105263 367.07894737] ; [ 2.07894737 76.92105263],0
s7,1,0.032486,4.572646,[192 171] ; [51 26],[200.475 162.525] ; [42.525 34.475],0
v3,1,0.034043,4.492563,[173 189] ; [27 51],[164.54545455 197.45454545] ; [35.45454545 42.54545455],0
p4,1,0.056085,3.649532,[245 133] ; [60 19],[252.27571116 125.72428884] ; [52.72428884 26.27571116],0
b3,1,0.06739,3.345474,[106 142] ; [12 31],[100.56357388 147.43642612] ; [17.43642612 25.56357388],0
b2,1,0.06739,3.345474,[106 142] ; [12 31],[100.56357388 147.43642612] ; [17.43642612 25.56357388],0
n5,1,0.076327,3.141417,[316  64] ; [59 20],[310.45751634  69.54248366] ; [64.54248366 14.45751634],0
v2,1,0.078054,3.104954,[236 133] ; [41 36],[229.17713004 139.82286996] ; [47.82286996 29.17713004],0
p11,1,0.085306,2.960795,[316  65] ; [59 20],[310.59782609  70.40217391] ; [64.40217391 14.59782609],0
a5,1,0.103213,2.655188,[320  61] ; [72  7],[324.67826087  56.32173913] ; [67.32173913 11.67826087],0
r3,1,0.167998,1.900719,[367  12] ; [73  5],[364.90153173  14.09846827] ; [75.09846827  2.90153173],0
b5,1,0.170357,1.879801,[224 157] ; [53 26],[229.42826087 151.57173913] ; [47.57173913 31.42826087],0
p10,1,0.191815,1.703622,[318  60] ; [71  8],[321.75492341  56.24507659] ; [67.24507659 11.75492341],0
d3,1,0.208615,1.581015,[333  48] ; [73  6],[336.27391304  44.72608696] ; [69.72608696  9.27391304],0
n1,1,0.212522,1.55416,[30 48] ; [ 5 16],[27.57575758 50.42424242] ; [ 7.42424242 13.57575758],0
v4,1,0.237079,1.397881,[365  15] ; [78  1],[366.75381264  13.24618736] ; [76.24618736  2.75381264],0
u4,1,0.238297,1.390641,[ 15 366] ; [ 1 78],[ 13.25217391 367.74782609] ; [ 2.74782609 76.25217391],0
u2,1,0.250127,1.322593,[44 30] ; [6 8],[42.04545455 31.95454545] ; [7.95454545 6.04545455],0
r2,1,0.270968,1.21184,[361  14] ; [77  1],[362.58278146  12.41721854] ; [75.41721854  2.58278146],0
v1,1,0.308297,1.037956,[214 154] ; [41 38],[209.93288591 158.06711409] ; [45.06711409 33.93288591],0
r4,1,0.348452,0.879088,[350  31] ; [75  4],[352.01086957  28.98913043] ; [72.98913043  6.01086957],0
p9,1,0.351859,0.86674,[326  47] ; [72  7],[328.4380531  44.5619469] ; [69.5619469  9.4380531],0
p7,1,0.433437,0.613597,[238 133] ; [53 24],[240.984375 130.015625] ; [50.015625 26.984375],0
p3,1,0.448812,0.573649,[203 176] ; [46 33],[206.05021834 172.94978166] ; [42.94978166 36.05021834],0
a7,1,0.449857,0.571012,[294  86] ; [58 21],[291.416122  88.583878] ; [60.583878 18.416122],0
n3,1,0.465712,0.532131,[53 25] ; [16  5],[54.36363636 23.63636364] ; [14.63636364  6.36363636],0
a1,1,0.480592,0.49752,[ 22 359] ; [ 3 76],[ 20.70652174 360.29347826] ; [ 4.29347826 74.70652174],0
