Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,3e-06,21.946985,[57  4] ; [10 11],[49.84146341 11.15853659] ; [17.15853659  3.84146341],1
a6,1,0.000121,14.772113,[46 15] ; [ 6 15],[38.68292683 22.31707317] ; [13.31707317  7.68292683],1
d3,1,0.002184,9.388499,[50 11] ; [10 11],[44.63414634 16.36585366] ; [15.36585366  5.63414634],0
n1,1,0.00368,8.435212,[ 3 14] ; [5 1],[ 5.91304348 11.08695652] ; [2.08695652 3.91304348],0
u1,1,0.047976,3.910824,[15 46] ; [ 1 20],[11.90243902 49.09756098] ; [ 4.09756098 16.90243902],0
n6,1,0.065589,3.390091,[42 18] ; [10 11],[38.51851852 21.48148148] ; [13.48148148  7.51851852],0
p9,1,0.09161,2.84585,[54  6] ; [15  5],[51.75  8.25] ; [17.25  2.75],0
s6,1,0.094086,2.803035,[48 13] ; [19  1],[50.45679012 10.54320988] ; [16.54320988  3.45679012],0
a2,1,0.141845,2.157829,[15 46] ; [ 2 19],[12.64634146 48.35365854] ; [ 4.35365854 16.64634146],0
p7,1,0.150072,2.071523,[38 20] ; [10 11],[35.24050633 22.75949367] ; [12.75949367  8.24050633],0
p10,1,0.209459,1.575165,[49 10] ; [14  6],[47.05063291 11.94936709] ; [15.94936709  4.05063291],0
b1,1,0.223569,1.481315,[20 41] ; [10 11],[22.31707317 38.68292683] ; [ 7.68292683 13.31707317],0
d5,1,0.224528,1.475197,[51 10] ; [15  6],[49.09756098 11.90243902] ; [16.90243902  4.09756098],0
v1,1,0.237336,1.396348,[24 33] ; [12  9],[26.30769231 30.69230769] ; [ 9.69230769 11.30769231],0
p1,1,0.278029,1.1767,[ 6 54] ; [ 4 17],[ 7.40740741 52.59259259] ; [ 2.59259259 18.40740741],0
d4,1,0.341503,0.904782,[52  9] ; [16  5],[50.58536585 10.41463415] ; [17.41463415  3.58536585],0
s2,1,0.3767,0.781445,[37 24] ; [15  6],[38.68292683 22.31707317] ; [13.31707317  7.68292683],0
n3,1,0.423206,0.641394,[14  3] ; [4 2],[13.30434783  3.69565217] ; [4.69565217 1.30434783],0
a8,1,0.423546,0.640454,[10 47] ; [ 2 18],[ 8.88311688 48.11688312] ; [ 3.11688312 16.88311688],0
p11,1,0.435424,0.608313,[46 15] ; [14  7],[44.63414634 16.36585366] ; [15.36585366  5.63414634],0
a3,1,0.465779,0.531972,[43 18] ; [13  8],[41.65853659 19.34146341] ; [14.34146341  6.65853659],0
b5,1,0.48905,0.478616,[40 21] ; [12  9],[38.68292683 22.31707317] ; [13.31707317  7.68292683],0
r1,1,0.496446,0.462526,[48 13] ; [15  6],[46.86585366 14.13414634] ; [16.13414634  4.86585366],0
d1,1,0.506778,0.440713,[37 24] ; [11 10],[35.70731707 25.29268293] ; [12.29268293  8.70731707],0
a4,1,0.506778,0.440713,[24 37] ; [10 11],[25.29268293 35.70731707] ; [ 8.70731707 12.29268293],0
d2,1,0.528944,0.39642,[30 31] ; [12  9],[31.24390244 29.75609756] ; [10.75609756 10.24390244],0
r4,1,0.602145,0.271772,[56  5] ; [20  1],[56.53658537  4.46341463] ; [19.46341463  1.53658537],0
s4,1,0.604937,0.267614,[14 47] ; [ 6 15],[14.87804878 46.12195122] ; [ 5.12195122 15.87804878],0
p4,1,0.608095,0.262959,[33 28] ; [10 11],[31.98780488 29.01219512] ; [11.01219512  9.98780488],0
u3,1,0.618757,0.247619,[15  3] ; [6 2],[14.53846154  3.46153846] ; [6.46153846 1.53846154],0
v2,1,0.663555,0.189234,[31 26] ; [12  8],[31.83116883 25.16883117] ; [11.16883117  8.83116883],0
u2,1,0.668108,0.183824,[14  3] ; [6 2],[13.6  3.4] ; [6.4 1.6],0
s7,1,0.707387,0.140901,[37 22] ; [11  8],[36.30769231 22.69230769] ; [11.69230769  7.30769231],0
a5,1,0.742599,0.107855,[43 18] ; [14  7],[42.40243902 18.59756098] ; [14.59756098  6.40243902],0
a1,1,0.766793,0.087955,[ 4 57] ; [ 1 20],[ 3.7195122 57.2804878] ; [ 1.2804878 19.7195122],0
p3,1,0.800263,0.064012,[30 31] ; [11 10],[30.5 30.5] ; [10.5 10.5],0
v3,1,0.816312,0.053959,[20 38] ; [ 6 13],[19.58441558 38.41558442] ; [ 6.41558442 12.58441558],0
s5,1,0.836736,0.042465,[21 37] ; [ 7 11],[21.36842105 36.63157895] ; [ 6.63157895 11.36842105],0
p6,1,0.852084,0.034767,[21 38] ; [ 7 14],[20.65 38.35] ; [ 7.35 13.65],0
b2,1,0.859993,0.031111,[14 26] ; [ 6 10],[14.28571429 25.71428571] ; [ 5.71428571 10.28571429],0
b3,1,0.859993,0.031111,[14 26] ; [ 6 10],[14.28571429 25.71428571] ; [ 5.71428571 10.28571429],0
b4,1,0.867725,0.027739,[39 22] ; [13  8],[38.68292683 22.31707317] ; [13.31707317  7.68292683],0
r2,1,0.883818,0.021354,[54  5] ; [19  2],[53.8375  5.1625] ; [19.1625  1.8375],0
s3,1,0.927419,0.008298,[40 21] ; [14  7],[40.17073171 20.82926829] ; [13.82926829  7.17073171],0
n2,1,0.930912,0.007516,[11  6] ; [4 2],[11.08695652  5.91304348] ; [3.91304348 2.08695652],0
s1,1,0.977146,0.000821,[ 3 58] ; [ 1 20],[ 2.97560976 58.02439024] ; [ 1.02439024 19.97560976],0
p8,1,0.985069,0.00035,[26 35] ; [ 9 12],[26.03658537 34.96341463] ; [ 8.96341463 12.03658537],0
p12,1,0.988286,0.000216,[ 3 58] ; [ 1 19],[ 3.01234568 57.98765432] ; [ 0.98765432 19.01234568],0
n4,1,0.99507,3.8e-05,[29 32] ; [10 11],[29.01219512 31.98780488] ; [ 9.98780488 11.01219512],0
