Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,35.037433,[ 2 17] ; [83 22],[13.02419355  5.97580645] ; [71.97580645 33.02419355],1
d1,1,1e-06,24.786588,[ 1 18] ; [70 35],[10.87903226  8.12096774] ; [60.12096774 44.87903226],1
d5,1,0.000398,12.543309,[ 9 10] ; [88 17],[14.86290323  4.13709677] ; [82.13709677 22.86290323],1
a5,1,0.018291,5.568092,[ 9 10] ; [78 27],[13.33064516  5.66935484] ; [73.66935484 31.33064516],0
s1,1,0.062774,3.462545,[ 3 15] ; [ 5 98],[ 1.19008264 16.80991736] ; [ 6.80991736 96.19008264],0
r4,1,0.068375,3.321614,[15  4] ; [97  8],[17.16129032  1.83870968] ; [94.83870968 10.16129032],0
p9,1,0.069273,3.300166,[13  5] ; [91 12],[15.47107438  2.52892562] ; [88.52892562 14.47107438],0
r3,1,0.071118,3.25703,[15  4] ; [96  8],[17.14634146  1.85365854] ; [93.85365854 10.14634146],0
n5,1,0.072853,3.217537,[17  2] ; [73 32],[13.79032258  5.20967742] ; [76.20967742 28.79032258],0
a3,1,0.07396,3.192866,[10  9] ; [76 28],[13.28455285  5.71544715] ; [72.71544715 31.28455285],0
d2,1,0.080955,3.045614,[ 6 13] ; [56 49],[9.5 9.5] ; [52.5 52.5],0
p10,1,0.093776,2.808326,[12  5] ; [90 14],[14.33057851  2.66942149] ; [87.66942149 16.33057851],0
v1,1,0.129446,2.299135,[ 6 13] ; [52 51],[9.03278689 9.96721311] ; [48.96721311 54.03278689],0
u2,1,0.184414,1.761686,[3 6] ; [17 12],[4.73684211 4.26315789] ; [15.26315789 13.73684211],0
p3,1,0.185795,1.750654,[ 7 12] ; [56 49],[9.65322581 9.34677419] ; [53.34677419 51.65322581],0
u1,1,0.18588,1.749978,[ 1 18] ; [18 87],[ 2.91129032 16.08870968] ; [16.08870968 88.91129032],0
b3,1,0.210371,1.568868,[2 7] ; [30 38],[3.74025974 5.25974026] ; [28.25974026 39.74025974],0
b2,1,0.210371,1.568868,[2 7] ; [30 38],[3.74025974 5.25974026] ; [28.25974026 39.74025974],0
s7,1,0.229699,1.442726,[12  5] ; [55 45],[9.73504274 7.26495726] ; [57.26495726 42.73504274],0
a4,1,0.24188,1.369602,[ 7 12] ; [54 51],[9.34677419 9.65322581] ; [51.65322581 53.34677419],0
s4,1,0.261649,1.260009,[ 8 11] ; [30 73],[ 5.91803279 13.08196721] ; [32.08196721 70.91803279],0
p2,1,0.26366,1.249437,[14  4] ; [92 13],[15.51219512  2.48780488] ; [90.48780488 14.51219512],0
p5,1,0.284985,1.143161,[ 5 13] ; [18 87],[ 3.36585366 14.63414634] ; [19.63414634 85.36585366],0
p4,1,0.288589,1.126191,[10  9] ; [68 36],[12.04878049  6.95121951] ; [65.95121951 38.04878049],0
a6,1,0.30453,1.054251,[ 9 10] ; [63 42],[11.03225806  7.96774194] ; [60.96774194 44.03225806],0
p6,1,0.366509,0.815465,[ 7 12] ; [50 54],[ 8.80487805 10.19512195] ; [48.19512195 55.80487805],0
v3,1,0.399226,0.710656,[ 2 16] ; [20 83],[ 3.27272727 14.72727273] ; [18.72727273 84.27272727],0
n3,1,0.407016,0.6875,[7 2] ; [15  9],[6. 3.] ; [16.  8.],0
r1,1,0.455224,0.557613,[13  5] ; [84 21],[14.19512195  3.80487805] ; [82.80487805 22.19512195],0
p8,1,0.485519,0.486441,[ 8 10] ; [56 49],[9.36585366 8.63414634] ; [54.63414634 50.36585366],0
a8,1,0.530474,0.393484,[ 3 14] ; [12 87],[ 2.19827586 14.80172414] ; [12.80172414 86.19827586],0
n2,1,0.548624,0.359788,[8 1] ; [20  5],[7.41176471 1.58823529] ; [20.58823529  4.41176471],0
n6,1,0.591606,0.287843,[17  2] ; [89 16],[16.24193548  2.75806452] ; [89.75806452 15.24193548],0
n1,1,0.618698,0.247702,[4 5] ; [13 11],[4.63636364 4.36363636] ; [12.36363636 11.63636364],0
a7,1,0.623336,0.241207,[11  8] ; [67 38],[11.9516129  7.0483871] ; [66.0483871 38.9516129],0
n4,1,0.633029,0.227975,[14  4] ; [76 29],[13.17073171  4.82926829] ; [76.82926829 28.17073171],0
p11,1,0.665874,0.186466,[15  4] ; [78 27],[14.25  4.75] ; [78.75 26.25],0
b5,1,0.687447,0.161863,[ 9 10] ; [55 50],[9.80645161 9.19354839] ; [54.19354839 50.80645161],0
s8,1,0.690384,0.15867,[ 8 10] ; [52 53],[8.7804878 9.2195122] ; [51.2195122 53.7804878],0
s3,1,0.699945,0.148529,[12  6] ; [74 30],[12.68852459  5.31147541] ; [73.31147541 30.68852459],0
p1,1,0.716947,0.131437,[ 3 15] ; [14 90],[ 2.50819672 15.49180328] ; [14.49180328 89.50819672],0
r2,1,0.818751,0.052511,[18  1] ; [98  7],[17.77419355  1.22580645] ; [98.22580645  6.77419355],0
a1,1,0.818751,0.052511,[ 1 18] ; [ 7 98],[ 1.22580645 17.77419355] ; [ 6.77419355 98.22580645],0
s6,1,0.857632,0.032181,[16  2] ; [90 13],[15.76859504  2.23140496] ; [90.23140496 12.76859504],0
u3,1,0.870754,0.026472,[5 4] ; [17 12],[5.21052632 3.78947368] ; [16.78947368 12.21052632],0
p7,1,0.872251,0.025856,[12  6] ; [66 36],[11.7  6.3] ; [66.3 35.7],0
b4,1,0.917482,0.010734,[12  7] ; [65 40],[11.7983871  7.2016129] ; [65.2016129 39.7983871],0
s2,1,0.924108,0.009075,[13  6] ; [70 34],[12.82113821  6.17886179] ; [70.17886179 33.82113821],0
b1,1,0.951389,0.003716,[ 8 11] ; [45 60],[ 8.12096774 10.87903226] ; [44.87903226 60.12096774],0
