Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.003578,8.48658,[ 6 16] ; [24 12],[11.37931034 10.62068966] ; [18.62068966 17.37931034],0
p9,1,0.016152,5.786219,[ 7 15] ; [22 12],[11.39285714 10.60714286] ; [17.60714286 16.39285714],0
p10,1,0.018809,5.519141,[ 5 17] ; [19 16],[ 9.26315789 12.73684211] ; [14.73684211 20.26315789],0
d4,1,0.025556,4.98583,[18  4] ; [19 17],[14.03448276  7.96551724] ; [22.96551724 13.03448276],0
s4,1,0.045393,4.003977,[ 1 21] ; [ 9 27],[ 3.79310345 18.20689655] ; [ 6.20689655 29.79310345],0
r4,1,0.057164,3.617802,[ 2 20] ; [11 25],[ 4.93103448 17.06896552] ; [ 8.06896552 27.93103448],0
n6,1,0.066165,3.375677,[ 9 13] ; [23 12],[12.35087719  9.64912281] ; [19.64912281 15.35087719],0
p11,1,0.087729,2.915562,[ 9 13] ; [23 13],[12.13793103  9.86206897] ; [19.86206897 16.13793103],0
p5,1,0.101987,2.674188,[ 1 21] ; [ 7 28],[ 3.0877193 18.9122807] ; [ 4.9122807 30.0877193],0
n3,1,0.133348,2.253089,[7 3] ; [5 8],[5.2173913 4.7826087] ; [6.7826087 6.2173913],0
d3,1,0.134495,2.239842,[13  9] ; [14 22],[10.24137931 11.75862069] ; [16.75862069 19.24137931],0
d2,1,0.145521,2.118589,[ 4 18] ; [13 23],[ 6.44827586 15.55172414] ; [10.55172414 25.44827586],0
a8,1,0.152359,2.048474,[ 1 20] ; [ 6 27],[ 2.72222222 18.27777778] ; [ 4.27777778 28.72222222],0
b4,1,0.223987,1.478645,[14  8] ; [17 19],[11.75862069 10.24137931] ; [19.24137931 16.75862069],0
v2,1,0.288918,1.124658,[ 6 16] ; [14 20],[ 7.85714286 14.14285714] ; [12.14285714 21.85714286],0
b5,1,0.310944,1.026661,[14  8] ; [18 18],[12.13793103  9.86206897] ; [19.86206897 16.13793103],0
p1,1,0.38735,0.747246,[ 1 21] ; [ 4 32],[ 1.89655172 20.10344828] ; [ 3.10344828 32.89655172],0
r3,1,0.404606,0.694594,[15  7] ; [20 15],[13.50877193  8.49122807] ; [21.49122807 13.50877193],0
s5,1,0.416881,0.659091,[ 2 20] ; [ 6 30],[ 3.03448276 18.96551724] ; [ 4.96551724 31.03448276],0
