Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,98.569807,[15 44] ; [230  35],[44.61419753 14.38580247] ; [200.38580247  64.61419753],1
n6,1,0.0,32.108074,[37 21] ; [243  22],[50.27863777  7.72136223] ; [229.72136223  35.27863777],1
p10,1,0.000239,13.496747,[39 18] ; [232  32],[48.12149533  8.87850467] ; [222.87850467  41.12149533],1
s8,1,0.000566,11.88347,[18 41] ; [145 117],[29.95950156 29.04049844] ; [133.04049844 128.95950156],1
d2,1,0.000914,10.995148,[34 25] ; [207  57],[44.02167183 14.97832817] ; [196.97832817  67.02167183],1
s7,1,0.001007,10.815011,[20 36] ; [152 102],[31.07096774 24.92903226] ; [140.92903226 113.07096774],0
p11,1,0.00129,10.356141,[39 20] ; [225  42],[47.7791411 11.2208589] ; [216.2208589  50.7791411],0
p9,1,0.002492,9.14641,[43 14] ; [236  26],[49.85266458  7.14733542] ; [229.14733542  32.85266458],0
r4,1,0.002683,9.011105,[47 12] ; [247  20],[53.20858896  5.79141104] ; [240.79141104  26.20858896],0
v3,1,0.022017,5.244429,[25 30] ; [161  98],[32.57961783 22.42038217] ; [153.42038217 105.57961783],0
p7,1,0.029761,4.723072,[31 26] ; [179  79],[38. 19.] ; [172.  86.],0
p6,1,0.033594,4.515255,[15 41] ; [109 150],[22.04444444 33.95555556] ; [101.95555556 157.04444444],0
p4,1,0.036374,4.379461,[32 26] ; [182  80],[38.7875 19.2125] ; [175.2125  86.7875],0
a4,1,0.037746,4.316417,[27 32] ; [161 105],[34.12923077 24.87076923] ; [153.87076923 112.12923077],0
n3,1,0.042783,4.103967,[11  9] ; [32  8],[14.33333333  5.66666667] ; [28.66666667 11.33333333],0
p3,1,0.055944,3.65372,[25 32] ; [153 112],[31.50931677 25.49068323] ; [146.49068323 118.50931677],0
s2,1,0.057504,3.607952,[27 32] ; [156 107],[33.5310559 25.4689441] ; [149.4689441 113.5310559],0
a5,1,0.065709,3.387096,[46 13] ; [233  34],[50.49386503  8.50613497] ; [228.50613497  38.49386503],0
