Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,92.244629,[ 3 43] ; [211  59],[31.15189873 14.84810127] ; [182.84810127  87.15189873],1
d5,1,0.0,53.622363,[24 22] ; [249  21],[39.74050633  6.25949367] ; [233.25949367  36.74050633],1
d3,1,0.0,47.579448,[16 30] ; [222  48],[34.64556962 11.35443038] ; [203.35443038  66.64556962],1
u1,1,0.000201,13.825637,[ 1 45] ; [ 74 196],[10.91772152 35.08227848] ; [ 64.08227848 205.91772152],1
d2,1,0.000442,12.347792,[14 32] ; [157 112],[24.97142857 21.02857143] ; [146.02857143 122.97142857],1
s6,1,0.000929,10.963504,[23 20] ; [205  60],[31.83116883 11.16883117] ; [196.16883117  68.83116883],1
s5,1,0.000965,10.893329,[ 8 35] ; [118 142],[17.88118812 25.11881188] ; [108.11881188 151.88118812],1
s2,1,0.001941,9.604574,[16 28] ; [163 103],[25.40645161 18.59354839] ; [153.59354839 112.40645161],0
p8,1,0.004415,8.104758,[23 22] ; [193  74],[31.15384615 13.84615385] ; [184.84615385  82.15384615],0
a3,1,0.006011,7.546865,[27 19] ; [209  60],[34.46349206 11.53650794] ; [201.53650794  67.46349206],0
p1,1,0.007184,7.226341,[10 36] ; [ 23 245],[ 4.8343949 41.1656051] ; [ 28.1656051 239.8343949],0
a5,1,0.007985,7.036761,[30 16] ; [222  48],[36.6835443  9.3164557] ; [215.3164557  54.6835443],0
a6,1,0.009063,6.810342,[24 22] ; [193  77],[31.58860759 14.41139241] ; [185.41139241  84.58860759],0
p9,1,0.021307,5.3015,[38  8] ; [249  19],[42.04458599  3.95541401] ; [244.95541401  23.04458599],0
a2,1,0.031058,4.649739,[ 7 39] ; [ 83 187],[13.10126582 32.89873418] ; [ 76.89873418 193.10126582],0
u3,1,0.031908,4.603438,[ 9 10] ; [45 16],[12.825  6.175] ; [41.175 19.825],0
v4,1,0.033754,4.507117,[41  4] ; [262   7],[43.42356688  1.57643312] ; [259.57643312   9.42356688],0
a4,1,0.036282,4.383808,[16 29] ; [141 128],[22.5 22.5] ; [134.5 134.5],0
p11,1,0.039056,4.258449,[34 12] ; [232  38],[38.72151899  7.27848101] ; [227.27848101  42.72151899],0
s8,1,0.043977,4.057446,[19 27] ; [153 114],[25.27795527 20.72204473] ; [146.72204473 120.27795527],0
p3,1,0.054621,3.693618,[26 20] ; [191  79],[31.58860759 14.41139241] ; [185.41139241  84.58860759],0
s7,1,0.054725,3.690454,[19 24] ; [152 102],[24.75757576 18.24242424] ; [146.24242424 107.75757576],0
s1,1,0.055648,3.662572,[ 3 41] ; [  5 261],[ 1.13548387 42.86451613] ; [  6.86451613 259.13548387],0
p10,1,0.075123,3.167371,[36  8] ; [244  25],[39.36102236  4.63897764] ; [240.63897764  28.36102236],0
v3,1,0.086268,2.942663,[19 27] ; [143 117],[24.35294118 21.64705882] ; [137.64705882 122.35294118],0
p12,1,0.102384,2.668016,[ 2 44] ; [ 34 235],[ 5.25714286 40.74285714] ; [ 30.74285714 238.25714286],0
a7,1,0.129453,2.299049,[31 15] ; [209  60],[35.04761905 10.95238095] ; [204.95238095  64.04761905],0
s3,1,0.144373,2.130716,[21 24] ; [154 110],[25.48543689 19.51456311] ; [149.51456311 114.48543689],0
p6,1,0.14489,2.125236,[20 26] ; [146 119],[24.55305466 21.44694534] ; [141.44694534 123.55305466],0
n5,1,0.158415,1.989291,[36  9] ; [236  33],[38.98089172  6.01910828] ; [233.01910828  35.98089172],0
b2,1,0.167761,1.902835,[10 25] ; [ 75 108],[13.64678899 21.35321101] ; [ 71.35321101 111.64678899],0
b3,1,0.167761,1.902835,[10 25] ; [ 75 108],[13.64678899 21.35321101] ; [ 71.35321101 111.64678899],0
n6,1,0.188372,1.730308,[39  7] ; [244  24],[41.45859873  4.54140127] ; [241.54140127  26.45859873],0
r1,1,0.212167,1.556578,[35 10] ; [229  40],[37.8343949  7.1656051] ; [226.1656051  42.8343949],0
r4,1,0.213384,1.548321,[41  5] ; [254  16],[42.94303797  3.05696203] ; [252.05696203  17.94303797],0
n2,1,0.218258,1.515789,[11  1] ; [27  9],[9.5 2.5] ; [28.5  7.5],0
p2,1,0.241013,1.374657,[40  6] ; [248  21],[42.05714286  3.94285714] ; [245.94285714  23.05714286],0
u2,1,0.243676,1.359199,[ 8 11] ; [35 26],[10.2125  8.7875] ; [32.7875 28.2125],0
p7,1,0.246079,1.345428,[32 14] ; [206  60],[35.08974359 10.91025641] ; [202.91025641  63.08974359],0
a1,1,0.264814,1.243417,[ 1 45] ; [ 17 253],[ 2.62025316 43.37974684] ; [ 15.37974684 254.62025316],0
b4,1,0.295802,1.093024,[24 22] ; [163 107],[27.22151899 18.77848101] ; [159.77848101 110.22151899],0
v2,1,0.314345,1.012332,[29 17] ; [186  78],[31.90322581 14.09677419] ; [183.09677419  80.90322581],0
b1,1,0.38651,0.749894,[21 25] ; [105 165],[18.34177215 27.65822785] ; [107.65822785 162.34177215],0
n1,1,0.404248,0.695652,[7 5] ; [16 20],[5.75 6.25] ; [17.25 18.75],0
p5,1,0.434754,0.61009,[ 7 39] ; [ 54 214],[ 8.93630573 37.06369427] ; [ 52.06369427 215.93630573],0
n4,1,0.469633,0.52284,[37  8] ; [233  37],[38.57142857  6.42857143] ; [231.42857143  38.57142857],0
u4,1,0.600816,0.273766,[ 1 45] ; [ 10 260],[ 1.60126582 44.39873418] ; [  9.39873418 260.60126582],0
r3,1,0.61992,0.245981,[44  2] ; [262   8],[44.5443038  1.4556962] ; [261.4556962   8.5443038],0
r2,1,0.752248,0.099652,[43  2] ; [253  15],[42.55591054  2.44408946] ; [253.44408946  14.55591054],0
s4,1,0.784507,0.074775,[ 8 38] ; [ 42 224],[ 7.37179487 38.62820513] ; [ 42.62820513 223.37179487],0
b5,1,0.840344,0.040583,[29 17] ; [166 104],[28.38607595 17.61392405] ; [166.61392405 103.38607595],0
a8,1,0.953112,0.003457,[ 6 34] ; [ 35 204],[ 5.8781362 34.1218638] ; [ 35.1218638 203.8781362],0
