Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,164.238091,[230  84] ; [ 57 221],[152.22635135 161.77364865] ; [134.77364865 143.22635135],1
s2,1,0.0,130.151092,[242  74] ; [ 81 192],[173.29032258 142.70967742] ; [149.70967742 123.29032258],1
s3,1,0.0,81.840276,[243  70] ; [112 161],[189.61604096 123.38395904] ; [165.38395904 107.61604096],1
s6,1,0.0,80.916716,[274  37] ; [149 123],[225.6483705  85.3516295] ; [197.3516295  74.6483705],1
s5,1,0.0,35.083504,[147 158] ; [ 65 203],[112.84467714 192.15532286] ; [ 99.15532286 168.84467714],1
a3,1,0.0,28.574311,[262  53] ; [177 100],[233.58952703  81.41047297] ; [205.41047297  71.58952703],1
p6,1,1e-05,19.484097,[152 161] ; [ 84 190],[125.83986371 187.16013629] ; [110.16013629 163.83986371],1
u1,1,1.9e-05,18.269807,[ 86 231] ; [ 36 242],[ 64.99831933 252.00168067] ; [ 57.00168067 220.99831933],1
p4,1,3e-05,17.407617,[228  87] ; [155 122],[203.79222973 111.20777027] ; [179.20777027  97.79222973],1
v3,1,3.8e-05,16.970678,[158 149] ; [ 91 174],[133.64160839 173.35839161] ; [115.35839161 149.64160839],1
p3,1,4.7e-05,16.553583,[192 123] ; [123 155],[167.32715008 147.67284992] ; [147.67284992 130.32715008],1
p5,1,6.6e-05,15.920506,[ 59 254] ; [ 21 256],[ 42.44067797 270.55932203] ; [ 37.55932203 239.44067797],1
p7,1,0.001827,9.715998,[223  82] ; [167 107],[205.44041451  99.55958549] ; [184.55958549  89.44041451],0
s1,1,0.002296,9.296446,[ 16 296] ; [  2 268],[  9.64948454 302.35051546] ; [  8.35051546 261.64948454],0
p9,1,0.002341,9.260781,[289  25] ; [230  44],[277.15306122  36.84693878] ; [241.84693878  32.15306122],0
d2,1,0.00512,7.836599,[179 136] ; [125 151],[162.03045685 152.96954315] ; [141.96954315 134.03045685],0
