Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.5e-05,17.742131,[123  13] ; [71 32],[110.39330544  25.60669456] ; [83.60669456 19.39330544],1
p8,1,6.8e-05,15.856922,[104  31] ; [54 49],[89.62184874 45.37815126] ; [68.37815126 34.62184874],1
p4,1,0.005999,7.550607,[123  14] ; [79 24],[115.30833333  21.69166667] ; [86.69166667 16.30833333],0
s5,1,0.014434,5.98424,[71 56] ; [40 61],[61.82894737 65.17105263] ; [49.17105263 51.82894737],0
p5,1,0.014642,5.959031,[39 98] ; [15 85],[ 31.21518987 105.78481013] ; [22.78481013 77.21518987],0
p12,1,0.018485,5.549611,[ 25 111] ; [ 8 95],[ 18.77824268 117.22175732] ; [14.22175732 88.77824268],0
p1,1,0.060356,3.527574,[ 25 111] ; [10 93],[ 19.91631799 116.08368201] ; [15.08368201 87.91631799],0
s4,1,0.086764,2.933417,[ 35 101] ; [17 86],[ 29.58995816 106.41004184] ; [22.41004184 80.58995816],0
s2,1,0.087988,2.910802,[105  32] ; [68 34],[99.16736402 37.83263598] ; [73.83263598 28.16736402],0
a1,1,0.09385,2.807066,[ 13 124] ; [ 4 99],[  9.70416667 127.29583333] ; [ 7.29583333 95.70416667],0
d1,1,0.123954,2.366633,[98 39] ; [64 39],[92.475 44.525] ; [69.525 33.475],0
a4,1,0.150563,2.066539,[76 61] ; [47 55],[70.50627615 66.49372385] ; [52.49372385 49.50627615],0
p9,1,0.172074,1.864781,[130   6] ; [94  9],[127.46443515   8.53556485] ; [96.53556485  6.46443515],0
b2,1,0.190688,1.712295,[49 49] ; [30 45],[44.75144509 53.24855491] ; [34.24855491 40.75144509],0
b3,1,0.190688,1.712295,[49 49] ; [30 45],[44.75144509 53.24855491] ; [34.24855491 40.75144509],0
a6,1,0.198562,1.652922,[87 49] ; [74 29],[91.61506276 44.38493724] ; [69.38493724 33.61506276],0
v1,1,0.247686,1.33631,[90 46] ; [57 40],[85.80257511 50.19742489] ; [61.19742489 35.80257511],0
b5,1,0.250967,1.31791,[75 62] ; [64 39],[79.34583333 57.65416667] ; [59.65416667 43.34583333],0
v2,1,0.28366,1.149469,[89 47] ; [58 41],[85.07234043 50.92765957] ; [61.92765957 37.07234043],0
a7,1,0.326344,0.963351,[96 41] ; [66 37],[92.475 44.525] ; [69.525 33.475],0
n6,1,0.355692,0.853047,[126  10] ; [91 11],[124.  12.] ; [93.  9.],0
n4,1,0.368204,0.809716,[121  16] ; [86 16],[118.65690377  18.34309623] ; [88.34309623 13.65690377],0
n3,1,0.41629,0.660764,[20  9] ; [9 2],[21.025  7.975] ; [7.975 3.025],0
v4,1,0.436424,0.605667,[132   5] ; [101   2],[133.00416667   3.99583333] ; [99.99583333  3.00416667],0
r4,1,0.438648,0.599816,[127  10] ; [98  5],[128.4375   8.5625] ; [96.5625  6.4375],0
s8,1,0.439907,0.596525,[99 38] ; [69 33],[96.30125523 40.69874477] ; [71.69874477 30.30125523],0
r1,1,0.44833,0.574871,[112  25] ; [88 15],[114.16666667  22.83333333] ; [85.83333333 17.16666667],0
s3,1,0.46291,0.538849,[99 38] ; [78 24],[101.46025105  35.53974895] ; [75.53974895 26.46025105],0
d3,1,0.513813,0.426295,[101  36] ; [72 31],[98.75416667 38.24583333] ; [74.24583333 28.75416667],0
b4,1,0.53787,0.379502,[73 64] ; [59 44],[75.35 61.65] ; [56.65 46.35],0
n5,1,0.565653,0.33001,[117  19] ; [85 17],[115.42857143  20.57142857] ; [86.57142857 15.42857143],0
p2,1,0.616887,0.250268,[125  12] ; [92 11],[123.87083333  13.12916667] ; [93.12916667  9.87083333],0
a8,1,0.625542,0.238155,[ 18 108] ; [16 80],[ 19.2972973 106.7027027] ; [14.7027027 81.2972973],0
n1,1,0.62873,0.233787,[16 13] ; [7 4],[16.675 12.325] ; [6.325 4.675],0
u4,1,0.653049,0.202077,[  7 130] ; [ 4 99],[  6.27916667 130.72083333] ; [ 4.72083333 98.27916667],0
p11,1,0.683081,0.166678,[113  24] ; [87 16],[114.16666667  22.83333333] ; [85.83333333 17.16666667],0
n2,1,0.687098,0.162245,[22  7] ; [9 2],[22.475  6.525] ; [8.525 2.475],0
r2,1,0.688359,0.160867,[132   4] ; [99  4],[131.44769874   4.55230126] ; [99.55230126  3.44769874],0
d2,1,0.68865,0.160551,[82 55] ; [59 44],[80.4875 56.5125] ; [60.5125 42.4875],0
r3,1,0.72258,0.126034,[134   3] ; [100   3],[133.575   3.425] ; [100.425   2.575],0
u2,1,0.725944,0.122868,[14  6] ; [9 5],[13.52941176  6.47058824] ; [9.47058824 4.52941176],0
b1,1,0.75103,0.100668,[60 77] ; [43 60],[58.79583333 78.20416667] ; [44.20416667 58.79583333],0
v3,1,0.765331,0.089095,[68 65] ; [51 45],[69.11353712 63.88646288] ; [49.88646288 46.11353712],0
p10,1,0.775271,0.081503,[123  13] ; [92 11],[122.34309623  13.65690377] ; [92.65690377 10.34309623],0
a3,1,0.785624,0.073983,[117  18] ; [88 15],[116.28151261  18.71848739] ; [88.71848739 14.28151261],0
a5,1,0.794311,0.067973,[114  23] ; [87 16],[114.7375  22.2625] ; [86.2625 16.7375],0
u3,1,0.833497,0.044192,[14  6] ; [10  5],[13.71428571  6.28571429] ; [10.28571429  4.71428571],0
d4,1,0.842121,0.039673,[119  17] ; [91 12],[119.49790795  16.50209205] ; [90.50209205 12.49790795],0
s6,1,0.879591,0.022949,[112  22] ; [86 16],[112.42372881  21.57627119] ; [85.57627119 16.42372881],0
s1,1,0.90114,0.015431,[  5 132] ; [ 4 97],[  5.18067227 131.81932773] ; [ 3.81932773 97.18067227],0
u1,1,0.924375,0.009011,[38 99] ; [28 75],[37.675 99.325] ; [28.325 74.675],0
a2,1,0.945589,0.004658,[42 95] ; [32 71],[42.24166667 94.75833333] ; [31.75833333 71.24166667],0
d5,1,0.975336,0.000956,[116  20] ; [88 15],[116.08368201  19.91631799] ; [87.91631799 15.08368201],0
