Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.3e-05,17.935228,[25 17] ; [ 9 43],[15.19148936 26.80851064] ; [18.80851064 33.19148936],1
s8,1,0.0025,9.140628,[16 26] ; [ 6 46],[ 9.82978723 32.17021277] ; [12.17021277 39.82978723],0
s7,1,0.003065,8.768654,[23 17] ; [13 36],[16.17977528 23.82022472] ; [19.82022472 29.17977528],0
s6,1,0.010135,6.610989,[24 18] ; [16 36],[17.87234043 24.12765957] ; [22.12765957 29.87234043],0
n1,1,0.016625,5.735538,[9 9] ; [ 4 21],[ 5.44186047 12.55813953] ; [ 7.55813953 17.44186047],0
p7,1,0.022596,5.199333,[20 20] ; [13 36],[14.83146067 25.16853933] ; [18.16853933 30.83146067],0
a6,1,0.029948,4.712255,[28 14] ; [23 29],[22.78723404 19.21276596] ; [28.21276596 23.78723404],0
r3,1,0.030486,4.68167,[31 10] ; [28 24],[26.01075269 14.98924731] ; [32.98924731 19.01075269],0
r2,1,0.048433,3.894914,[27 11] ; [24 24],[22.53488372 15.46511628] ; [28.46511628 19.53488372],0
n6,1,0.066919,3.357012,[21 20] ; [35 15],[25.23076923 15.76923077] ; [30.76923077 19.23076923],0
u2,1,0.119358,2.425726,[7 5] ; [ 5 12],[4.96551724 7.03448276] ; [7.03448276 9.96551724],0
s5,1,0.123859,2.367834,[10 28] ; [ 7 45],[ 7.17777778 30.82222222] ; [ 9.82222222 42.17777778],0
p4,1,0.126729,2.332124,[12 30] ; [22 28],[15.52173913 26.47826087] ; [18.47826087 31.52173913],0
p11,1,0.128123,2.315098,[26 16] ; [24 28],[22.34042553 19.65957447] ; [27.65957447 24.34042553],0
p9,1,0.14073,2.169962,[29 13] ; [27 23],[25.56521739 16.43478261] ; [30.43478261 19.56521739],0
p6,1,0.185245,1.755036,[10 30] ; [ 7 43],[ 7.55555556 32.44444444] ; [ 9.44444444 40.55555556],0
s4,1,0.195005,1.679393,[10 32] ; [ 7 45],[ 7.59574468 34.40425532] ; [ 9.40425532 42.59574468],0
p2,1,0.202396,1.625,[27 15] ; [25 24],[24. 18.] ; [28. 21.],0
a5,1,0.29461,1.098436,[23 19] ; [34 18],[25.46808511 16.53191489] ; [31.53191489 20.46808511],0
b1,1,0.309883,1.031174,[19 23] ; [29 23],[21.44680851 20.55319149] ; [26.55319149 25.44680851],0
v1,1,0.355568,0.853487,[17 22] ; [17 33],[14.8988764 24.1011236] ; [19.1011236 30.8988764],0
b4,1,0.371979,0.797042,[22 20] ; [32 20],[24.12765957 17.87234043] ; [29.87234043 22.12765957],0
d2,1,0.374255,0.789487,[22 20] ; [22 29],[19.87096774 22.12903226] ; [24.12903226 26.87096774],0
v3,1,0.412233,0.672351,[ 9 33] ; [15 37],[10.72340426 31.27659574] ; [13.27659574 38.72340426],0
v2,1,0.428006,0.628227,[19 21] ; [20 31],[17.14285714 22.85714286] ; [21.85714286 29.14285714],0
p12,1,0.457515,0.551967,[ 2 40] ; [ 1 49],[ 1.36956522 40.63043478] ; [ 1.63043478 48.36956522],0
v4,1,0.46026,0.545263,[29 12] ; [33 19],[27.33333333 13.66666667] ; [34.66666667 17.33333333],0
r1,1,0.477583,0.504378,[15 27] ; [15 37],[13.40425532 28.59574468] ; [16.59574468 35.40425532],0
n2,1,0.480336,0.4981,[12  6] ; [14 11],[10.88372093  7.11627907] ; [15.11627907  9.88372093],0
a8,1,0.486019,0.485327,[ 3 37] ; [ 2 47],[ 2.24719101 37.75280899] ; [ 2.75280899 46.24719101],0
a1,1,0.490149,0.4762,[ 5 37] ; [ 4 48],[ 4.0212766 37.9787234] ; [ 4.9787234 47.0212766],0
s1,1,0.4906,0.47521,[ 4 38] ; [ 3 49],[ 3.12765957 38.87234043] ; [ 3.87234043 48.12765957],0
u3,1,0.547403,0.361991,[6 7] ; [ 6 11],[5.2 7.8] ; [ 6.8 10.2],0
p1,1,0.563378,0.333888,[ 2 40] ; [ 4 48],[ 2.68085106 39.31914894] ; [ 3.31914894 48.68085106],0
n3,1,0.569022,0.324321,[9 8] ; [11 14],[8.0952381 8.9047619] ; [11.9047619 13.0952381],0
b2,1,0.582778,0.301765,[ 9 18] ; [ 8 22],[ 8.05263158 18.94736842] ; [ 8.94736842 21.05263158],0
b3,1,0.582778,0.301765,[ 9 18] ; [ 8 22],[ 8.05263158 18.94736842] ; [ 8.94736842 21.05263158],0
a3,1,0.583916,0.299946,[29 12] ; [34 18],[27.77419355 13.22580645] ; [35.22580645 16.77419355],0
n5,1,0.619389,0.246728,[22 19] ; [30 21],[23.17391304 17.82608696] ; [28.82608696 22.17391304],0
a2,1,0.627046,0.236088,[ 5 37] ; [ 8 44],[ 5.80851064 36.19148936] ; [ 7.19148936 44.80851064],0
p10,1,0.664418,0.188202,[24 17] ; [27 23],[22.97802198 18.02197802] ; [28.02197802 21.97802198],0
n4,1,0.714338,0.133983,[25 17] ; [29 23],[24.12765957 17.87234043] ; [29.87234043 22.12765957],0
p5,1,0.744829,0.105928,[ 5 37] ; [ 5 46],[ 4.51612903 37.48387097] ; [ 5.48387097 45.51612903],0
d5,1,0.84872,0.036386,[33  9] ; [40 12],[32.61702128  9.38297872] ; [40.38297872 11.61702128],0
p3,1,0.853811,0.033951,[14 27] ; [18 32],[14.41758242 26.58241758] ; [17.58241758 32.41758242],0
d1,1,0.893786,0.017826,[24 18] ; [29 23],[23.68085106 18.31914894] ; [29.31914894 22.68085106],0
u1,1,0.919645,0.010177,[ 3 39] ; [ 4 48],[ 3.12765957 38.87234043] ; [ 3.87234043 48.12765957],0
a4,1,0.933657,0.00693,[16 26] ; [19 32],[15.80645161 26.19354839] ; [19.19354839 31.80645161],0
d3,1,0.934107,0.006836,[27 15] ; [33 19],[26.80851064 15.19148936] ; [33.19148936 18.80851064],0
p8,1,0.946878,0.004439,[11 30] ; [14 37],[11.14130435 29.85869565] ; [13.85869565 37.14130435],0
a7,1,0.957281,0.002869,[24 18] ; [30 22],[24.12765957 17.87234043] ; [29.87234043 22.12765957],0
b5,1,0.992823,8.1e-05,[25 17] ; [31 21],[25.0212766 16.9787234] ; [30.9787234 21.0212766],0
