Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,23.566248,[29  7] ; [20 46],[17.29411765 18.70588235] ; [31.70588235 34.29411765],1
s6,1,5e-06,20.777778,[29  7] ; [22 44],[18. 18.] ; [33. 33.],1
s7,1,7e-06,20.063964,[21 13] ; [11 53],[11.10204082 22.89795918] ; [20.89795918 43.10204082],1
s8,1,6.9e-05,15.825455,[18 18] ; [ 9 57],[ 9.52941176 26.47058824] ; [17.47058824 48.52941176],1
r3,1,0.0029,8.869075,[33  3] ; [42 23],[26.73267327  9.26732673] ; [48.26732673 16.73267327],0
p2,1,0.006172,7.49949,[26 10] ; [29 37],[19.41176471 16.58823529] ; [35.58823529 30.41176471],0
r1,1,0.016187,5.782497,[31  5] ; [42 24],[25.76470588 10.23529412] ; [47.23529412 18.76470588],0
r4,1,0.018079,5.588474,[30  6] ; [40 26],[24.70588235 11.29411765] ; [45.29411765 20.70588235],0
p11,1,0.019257,5.478042,[24 12] ; [28 38],[18.35294118 17.64705882] ; [33.64705882 32.35294118],0
p6,1,0.020084,5.404537,[11 24] ; [ 8 57],[ 6.65 28.35] ; [12.35 52.65],0
a3,1,0.025212,5.009261,[26 10] ; [32 33],[20.67326733 15.32673267] ; [37.32673267 27.67326733],0
p8,1,0.025752,4.972626,[16 20] ; [15 50],[11.04950495 24.95049505] ; [19.95049505 45.04950495],0
v4,1,0.031363,4.633003,[33  3] ; [48 17],[28.87128713  7.12871287] ; [52.12871287 12.87128713],0
a6,1,0.070957,3.260739,[18 18] ; [45 21],[22.23529412 13.76470588] ; [40.76470588 25.23529412],0
u2,1,0.071488,3.248513,[7 3] ; [12 20],[4.52380952 5.47619048] ; [14.47619048 17.52380952],0
n6,1,0.082743,3.01018,[31  5] ; [46 19],[27.44554455  8.55445545] ; [49.55445545 15.44554455],0
p7,1,0.101957,2.674659,[20 14] ; [27 38],[16.14141414 17.85858586] ; [30.85858586 34.14141414],0
d3,1,0.105222,2.624561,[24 12] ; [33 33],[20.11764706 15.88235294] ; [36.88235294 29.11764706],0
p10,1,0.145729,2.116402,[14 22] ; [16 48],[10.8 25.2] ; [19.2 44.8],0
n1,1,0.171301,1.871521,[3 8] ; [12 11],[4.85294118 6.14705882] ; [10.14705882 12.85294118],0
n2,1,0.182227,1.779364,[9 3] ; [13 12],[7.13513514 4.86486486] ; [14.86486486 10.13513514],0
v1,1,0.187312,1.738636,[15 21] ; [19 47],[12. 24.] ; [22. 44.],0
d4,1,0.201949,1.628223,[27  9] ; [40 24],[24.12 11.88] ; [42.88 21.12],0
p5,1,0.218296,1.515538,[ 4 32] ; [ 3 62],[ 2.4950495 33.5049505] ; [ 4.5049505 60.4950495],0
v3,1,0.226946,1.459903,[14 22] ; [18 48],[11.29411765 24.70588235] ; [20.70588235 45.29411765],0
v2,1,0.246068,1.345491,[15 19] ; [21 44],[12.36363636 21.63636364] ; [23.63636364 41.36363636],0
p3,1,0.283268,1.151342,[12 23] ; [16 50],[ 9.7029703 25.2970297] ; [18.2970297 47.7029703],0
a1,1,0.28659,1.135573,[ 2 34] ; [ 8 58],[ 3.52941176 32.47058824] ; [ 6.47058824 59.52941176],0
s5,1,0.294507,1.098901,[ 9 26] ; [11 54],[ 7. 28.] ; [13. 52.],0
d1,1,0.316105,1.004994,[19 17] ; [28 38],[16.58823529 19.41176471] ; [30.41176471 35.58823529],0
p4,1,0.319362,0.991558,[16 20] ; [22 42],[13.68 22.32] ; [24.32 39.68],0
s1,1,0.389746,0.739734,[ 4 32] ; [ 4 60],[ 2.88 33.12] ; [ 5.12 58.88],0
r2,1,0.41217,0.672533,[33  3] ; [56  9],[31.72277228  4.27722772] ; [57.27722772  7.72277228],0
a5,1,0.4442,0.585409,[19 17] ; [40 26],[20.82352941 15.17647059] ; [38.17647059 27.82352941],0
s4,1,0.450614,0.569107,[ 6 28] ; [ 8 58],[ 4.76 29.24] ; [ 9.24 56.76],0
d5,1,0.465717,0.53212,[26 10] ; [43 23],[24.35294118 11.64705882] ; [44.64705882 21.35294118],0
a4,1,0.484642,0.4884,[11 25] ; [24 40],[12.6 23.4] ; [22.4 41.6],0
a2,1,0.578239,0.309091,[ 5 31] ; [12 54],[ 6. 30.] ; [11. 55.],0
b5,1,0.606994,0.264575,[21 15] ; [35 31],[19.76470588 16.23529412] ; [36.23529412 29.76470588],0
a8,1,0.676073,0.17458,[ 5 28] ; [ 7 51],[ 4.35164835 28.64835165] ; [ 7.64835165 50.35164835],0
u1,1,0.679639,0.170533,[ 6 30] ; [ 9 57],[ 5.29411765 30.70588235] ; [ 9.70588235 56.29411765],0
b1,1,0.712729,0.135566,[21 15] ; [36 30],[20.11764706 15.88235294] ; [36.88235294 29.11764706],0
u3,1,0.742613,0.107843,[5 5] ; [15 19],[4.54545455 5.45454545] ; [15.45454545 18.54545455],0
