Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,5.5e-05,16.265983,[102  25] ; [1 6],[97.61940299 29.38059701] ; [5.38059701 1.61940299],1
r3,1,9.4e-05,15.25448,[120   6] ; [4 3],[117.47368421   8.52631579] ; [6.52631579 0.47368421],1
v4,1,0.001545,10.024407,[123   4] ; [5 2],[121.31343284   5.68656716] ; [6.68656716 0.31343284],0
s1,1,0.009916,6.65,[  6 120] ; [2 5],[  7.57894737 118.42105263] ; [0.42105263 6.57894737],0
d1,1,0.015511,5.857534,[77 50] ; [1 6],[73.92537313 53.07462687] ; [4.07462687 2.92537313],0
a3,1,0.018855,5.51495,[90 37] ; [2 5],[87.19402985 39.80597015] ; [4.80597015 2.19402985],0
s6,1,0.023245,5.15012,[107  15] ; [4 3],[104.97674419  17.02325581] ; [6.02325581 0.97674419],0
b1,1,0.038418,4.28642,[42 85] ; [5 2],[44.54477612 82.45522388] ; [2.45522388 4.54477612],0
a5,1,0.054946,3.683713,[96 31] ; [3 4],[93.82835821 33.17164179] ; [5.17164179 1.82835821],0
d3,1,0.057048,3.621202,[95 31] ; [3 4],[92.84210526 33.15789474] ; [5.15789474 1.84210526],0
b4,1,0.084561,2.974986,[78 49] ; [2 5],[75.82089552 51.17910448] ; [4.17910448 2.82089552],0
s2,1,0.11615,2.468481,[88 36] ; [3 4],[86.13740458 37.86259542] ; [4.86259542 2.13740458],0
s3,1,0.125411,2.348414,[88 37] ; [3 4],[86.17424242 38.82575758] ; [4.82575758 2.17424242],0
a1,1,0.130175,2.290413,[  4 123] ; [1 6],[  4.73880597 122.26119403] ; [0.26119403 6.73880597],0
d5,1,0.145993,2.113624,[101  25] ; [4 3],[99.47368421 26.52631579] ; [5.52631579 1.47368421],0
d4,1,0.182033,1.780947,[100  27] ; [4 3],[98.56716418 28.43283582] ; [5.43283582 1.56716418],0
p6,1,0.190853,1.711017,[49 77] ; [1 6],[47.36842105 78.63157895] ; [2.63157895 4.36842105],0
p2,1,0.203699,1.615651,[99 28] ; [4 3],[97.61940299 29.38059701] ; [5.38059701 1.61940299],0
p9,1,0.232123,1.427805,[110  16] ; [5 2],[108.94736842  17.05263158] ; [6.05263158 0.94736842],0
v1,1,0.278329,1.175233,[63 64] ; [2 5],[61.60447761 65.39552239] ; [3.39552239 3.60447761],0
s8,1,0.278329,1.175233,[63 64] ; [2 5],[61.60447761 65.39552239] ; [3.39552239 3.60447761],0
u2,1,0.28255,1.154782,[13 24] ; [3 2],[14.0952381 22.9047619] ; [1.9047619 3.0952381],0
d2,1,0.296447,1.090109,[62 65] ; [2 5],[60.65671642 66.34328358] ; [3.34328358 3.65671642],0
p10,1,0.297994,1.083149,[109  18] ; [5 2],[108.04477612  18.95522388] ; [5.95522388 1.04477612],0
a6,1,0.30648,1.045786,[79 48] ; [3 4],[77.71641791 49.28358209] ; [4.28358209 2.71641791],0
p8,1,0.316211,1.004556,[65 60] ; [5 2],[66.28787879 58.71212121] ; [3.71212121 3.28787879],0
n4,1,0.317642,0.998633,[86 41] ; [6 1],[87.19402985 39.80597015] ; [4.80597015 2.19402985],0
n3,1,0.346484,0.886293,[26  7] ; [1 1],[25.45714286  7.54285714] ; [1.54285714 0.45714286],0
s7,1,0.379075,0.7737,[74 50] ; [3 4],[72.88549618 51.11450382] ; [4.11450382 2.88549618],0
n2,1,0.41835,0.654947,[25  8] ; [1 1],[24.51428571  8.48571429] ; [1.48571429 0.51428571],0
a7,1,0.448662,0.574029,[89 37] ; [4 3],[88.10526316 37.89473684] ; [4.89473684 2.10526316],0
n1,1,0.48966,0.477273,[ 9 24] ; [1 1],[ 9.42857143 23.57142857] ; [0.57142857 1.42857143],0
p1,1,0.611915,0.257396,[ 11 116] ; [1 6],[ 11.37313433 115.62686567] ; [0.62686567 6.37313433],0
p7,1,0.659134,0.194577,[81 43] ; [4 3],[80.45801527 43.54198473] ; [4.54198473 2.45801527],0
p3,1,0.728052,0.120907,[64 63] ; [4 3],[64.44776119 62.55223881] ; [3.55223881 3.44776119],0
b5,1,0.788293,0.072107,[79 48] ; [4 3],[78.6641791 48.3358209] ; [4.3358209 2.6641791],0
p4,1,0.788293,0.072107,[79 48] ; [4 3],[78.6641791 48.3358209] ; [4.3358209 2.6641791],0
v2,1,0.792309,0.069334,[59 64] ; [3 4],[58.66153846 64.33846154] ; [3.33846154 3.66153846],0
p11,1,0.841677,0.039899,[95 32] ; [5 2],[94.7761194 32.2238806] ; [5.2238806 1.7761194],0
b3,1,0.844333,0.038555,[13 52] ; [1 5],[12.81690141 52.18309859] ; [1.18309859 4.81690141],0
b2,1,0.844333,0.038555,[13 52] ; [1 5],[12.81690141 52.18309859] ; [1.18309859 4.81690141],0
u3,1,0.981561,0.000534,[22 15] ; [3 2],[22.02380952 14.97619048] ; [2.97619048 2.02380952],0
a4,1,0.985973,0.000309,[54 73] ; [3 4],[54.02238806 72.97761194] ; [2.97761194 4.02238806],0
