Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,42.779623,[83  9] ; [117 112],[57.32087227 34.67912773] ; [142.67912773  86.32087227],1
s2,1,0.0,40.978388,[67 25] ; [ 76 151],[41.24137931 50.75862069] ; [101.75862069 125.24137931],1
s3,1,0.0,31.726901,[65 22] ; [ 89 138],[42.66878981 44.33121019] ; [111.33121019 115.66878981],1
s8,1,0.0,26.125761,[54 38] ; [ 65 165],[34. 58.] ; [ 85. 145.],1
p12,1,3.1e-05,17.336537,[12 81] ; [  4 224],[ 4.63551402 88.36448598] ; [ 11.36448598 216.63551402],1
s7,1,0.000132,14.61342,[55 37] ; [ 79 139],[39.76774194 52.23225806] ; [ 94.23225806 123.76774194],1
s4,1,0.000172,14.115612,[23 68] ; [ 21 207],[12.55172414 78.44827586] ; [ 31.44827586 196.55172414],1
p5,1,0.000845,11.138686,[11 82] ; [  6 222],[ 4.92523364 88.07476636] ; [ 12.07476636 215.92523364],1
n6,1,0.002403,9.213117,[83  8] ; [174  54],[73.31347962 17.68652038] ; [183.68652038  44.31347962],0
p10,1,0.005036,7.866383,[77 14] ; [158  70],[67.03761755 23.96238245] ; [167.96238245  60.03761755],0
p7,1,0.009813,6.668546,[53 35] ; [ 99 126],[42.73482428 45.26517572] ; [109.26517572 115.73482428],0
p6,1,0.012964,6.174049,[28 63] ; [ 41 186],[19.74528302 71.25471698] ; [ 49.25471698 177.74528302],0
r2,1,0.022407,5.213918,[88  2] ; [203  22],[83.14285714  6.85714286] ; [207.85714286  17.14285714],0
v1,1,0.033267,4.531966,[53 39] ; [100 125],[44.40378549 47.59621451] ; [108.59621451 116.40378549],0
r4,1,0.036401,4.378237,[85  8] ; [189  41],[78.89164087 14.10835913] ; [195.10835913  34.89164087],0
p9,1,0.038834,4.268122,[78 13] ; [169  56],[71.12974684 19.87025316] ; [175.87025316  49.12974684],0
b3,1,0.043081,4.092214,[28 30] ; [43 88],[21.78835979 36.21164021] ; [49.21164021 81.78835979],0
b2,1,0.043081,4.092214,[28 30] ; [43 88],[21.78835979 36.21164021] ; [49.21164021 81.78835979],0
d4,1,0.078419,3.097372,[83 10] ; [186  43],[77.69254658 15.30745342] ; [191.30745342  37.69254658],0
a6,1,0.083486,2.995705,[61 32] ; [172  57],[67.29503106 25.70496894] ; [165.70496894  63.29503106],0
d2,1,0.089748,2.878884,[58 34] ; [120 108],[51.175 40.825] ; [126.825 101.175],0
r1,1,0.104523,2.63514,[79 12] ; [180  48],[73.88401254 17.11598746] ; [185.11598746  42.88401254],0
n5,1,0.105259,2.623996,[72 19] ; [160  68],[66.18181818 24.81818182] ; [165.81818182  62.18181818],0
p4,1,0.110605,2.545556,[43 48] ; [ 86 143],[36.684375 54.315625] ; [ 92.315625 136.684375],0
v4,1,0.127042,2.328285,[86  4] ; [206  22],[82.64150943  7.35849057] ; [209.35849057  18.64150943],0
u2,1,0.133612,2.250023,[ 6 11] ; [33 26],[8.72368421 8.27631579] ; [30.27631579 28.72368421],0
n3,1,0.163325,1.943169,[21  6] ; [46 27],[18.09  8.91] ; [48.91 24.09],0
b5,1,0.206293,1.597252,[52 41] ; [146  84],[57.00928793 35.99071207] ; [140.99071207  89.00928793],0
a4,1,0.214483,1.540909,[54 39] ; [115 113],[48.96261682 44.03738318] ; [120.03738318 107.96261682],0
v3,1,0.221908,1.491987,[35 55] ; [ 69 149],[30.38961039 59.61038961] ; [ 73.61038961 144.38961039],0
d1,1,0.247119,1.33952,[63 30] ; [140  90],[58.44891641 34.55108359] ; [144.55108359  85.44891641],0
v2,1,0.2744,1.194619,[50 39] ; [109 112],[45.6483871 43.3516129] ; [113.3516129 107.6483871],0
p1,1,0.334994,0.929496,[ 7 86] ; [ 11 218],[ 5.19875776 87.80124224] ; [ 12.80124224 216.19875776],0
a3,1,0.35044,0.871865,[74 19] ; [171  58],[70.76086957 22.23913043] ; [174.23913043  54.76086957],0
d3,1,0.350711,0.870883,[63 30] ; [167  62],[66.42857143 26.57142857] ; [163.57142857  65.42857143],0
n4,1,0.419207,0.652537,[73 19] ; [172  57],[70.21806854 21.78193146] ; [174.78193146  54.21806854],0
d5,1,0.444186,0.585446,[80 13] ; [189  40],[77.69254658 15.30745342] ; [191.30745342  37.69254658],0
a2,1,0.494213,0.467341,[29 64] ; [ 63 167],[26.48916409 66.51083591] ; [ 65.51083591 164.48916409],0
r3,1,0.5049,0.444622,[86  6] ; [208  20],[84.525  7.475] ; [209.475  18.525],0
p8,1,0.68502,0.16453,[35 55] ; [ 82 143],[33.42857143 56.57142857] ; [ 83.57142857 141.42857143],0
p11,1,0.712015,0.136273,[69 24] ; [166  64],[67.6625387 25.3374613] ; [167.3374613  62.6625387],0
u3,1,0.741711,0.108628,[ 9 10] ; [30 28],[9.62337662 9.37662338] ; [29.37662338 28.62337662],0
a8,1,0.743243,0.107296,[11 70] ; [ 32 180],[11.88737201 69.11262799] ; [ 31.11262799 180.88737201],0
u1,1,0.776102,0.080885,[17 76] ; [ 39 191],[16.12383901 76.87616099] ; [ 39.87616099 190.12383901],0
s1,1,0.780067,0.07797,[ 3 87] ; [  9 216],[ 3.42857143 86.57142857] ; [  8.57142857 216.42857143],0
a7,1,0.784654,0.074671,[70 23] ; [169  60],[69.02795031 23.97204969] ; [169.97204969  59.02795031],0
n2,1,0.788415,0.072022,[21  7] ; [55 21],[20.46153846  7.53846154] ; [55.53846154 20.46153846],0
p2,1,0.815448,0.054477,[71 22] ; [172  57],[70.18322981 22.81677019] ; [172.81677019  56.18322981],0
b4,1,0.833986,0.043929,[53 40] ; [134  96],[53.84210526 39.15789474] ; [133.15789474  96.84210526],0
n1,1,0.88779,0.019909,[11 16] ; [29 45],[10.69306931 16.30693069] ; [29.30693069 44.69306931],0
a1,1,0.953806,0.003356,[ 5 88] ; [ 12 218],[ 4.89473684 88.10526316] ; [ 12.10526316 217.89473684],0
b1,1,0.963806,0.002059,[33 60] ; [ 81 149],[32.82352941 60.17647059] ; [ 81.17647059 148.82352941],0
u4,1,0.989577,0.000171,[ 2 91] ; [  5 225],[ 2.01547988 90.98452012] ; [  4.98452012 225.01547988],0
