Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,285.532416,[295  47] ; [ 95 301],[180.73170732 161.26829268] ; [209.26829268 186.73170732],1
s6,1,0.0,132.207736,[288  52] ; [172 223],[212.78911565 127.21088435] ; [247.21088435 147.78911565],1
s7,1,0.0,123.650789,[226 104] ; [101 277],[152.41525424 177.58474576] ; [174.58474576 203.41525424],1
s8,1,0.0,108.540617,[215 129] ; [ 98 300],[145.11051213 198.88948787] ; [167.88948787 230.11051213],1
s5,1,0.0,60.829701,[144 188] ; [ 66 324],[ 96.56509695 235.43490305] ; [113.43490305 276.56509695],1
p12,1,1.8e-05,18.398861,[ 42 300] ; [ 15 379],[ 26.48641304 315.51358696] ; [ 30.51358696 363.48641304],1
p10,1,4.2e-05,16.782018,[291  49] ; [287 105],[268.46994536  71.53005464] ; [309.53005464  82.46994536],1
p4,1,7.6e-05,15.647712,[224 117] ; [203 193],[197.56716418 143.43283582] ; [229.43283582 166.56716418],1
d4,1,0.00017,14.132169,[301  41] ; [309  90],[281.53846154  60.46153846] ; [328.46153846  70.53846154],1
n5,1,0.00018,14.03073,[272  70] ; [267 130],[249.44248985  92.55751015] ; [289.55751015 107.44248985],1
v3,1,0.000224,13.617171,[157 169] ; [134 254],[132.86554622 193.13445378] ; [158.13445378 229.86554622],1
d1,1,0.000359,12.733742,[223 123] ; [206 194],[198.97319035 147.02680965] ; [230.02680965 169.97319035],1
v1,1,0.000719,11.440663,[201 131] ; [187 203],[178.41551247 153.58448753] ; [209.58448753 180.41551247],1
p6,1,0.00072,11.436877,[139 200] ; [113 276],[117.34615385 221.65384615] ; [134.65384615 254.34615385],1
u4,1,0.001461,10.127736,[ 15 331] ; [  3 397],[  8.34852547 337.65147453] ; [  9.65147453 390.34852547],0
p9,1,0.001476,10.10873,[297  42] ; [311  84],[280.80653951  58.19346049] ; [327.19346049  67.80653951],0
u1,1,0.002255,9.329436,[ 73 273] ; [ 51 349],[ 57.51206434 288.48793566] ; [ 66.48793566 333.51206434],0
a3,1,0.00396,8.301924,[259  85] ; [261 137],[241.07816712 102.92183288] ; [278.92183288 119.07816712],0
p3,1,0.007216,7.218381,[182 159] ; [173 225],[163.80920162 177.19079838] ; [191.19079838 206.80920162],0
a2,1,0.007957,7.043137,[ 95 251] ; [ 77 323],[ 79.77479893 266.22520107] ; [ 92.22520107 307.77479893],0
d2,1,0.008341,6.958703,[182 161] ; [173 226],[164.10377358 178.89622642] ; [190.89622642 208.10377358],0
a1,1,0.012355,6.25916,[ 24 322] ; [ 12 388],[ 16.69705094 329.30294906] ; [ 19.30294906 380.69705094],0
n4,1,0.01721,5.674854,[279  65] ; [295 105],[265.39784946  78.60215054] ; [308.60215054  91.39784946],0
a5,1,0.018036,5.592626,[264  81] ; [275 125],[249.60402685  95.39597315] ; [289.39597315 110.60402685],0
r1,1,0.021173,5.312472,[287  56] ; [306  92],[274.4925776  68.5074224] ; [318.5074224  79.4925776],0
r2,1,0.026573,4.918318,[330  13] ; [363  30],[322.96059783  20.03940217] ; [370.03940217  22.96059783],0
v2,1,0.02664,4.913979,[208 122] ; [210 173],[193.46423562 136.53576438] ; [224.53576438 158.46423562],0
a6,1,0.034493,4.470083,[217 125] ; [283 117],[230.45822102 111.54177898] ; [269.54177898 130.45822102],0
p5,1,0.03537,4.427218,[ 47 290] ; [ 36 363],[ 38.00407609 298.99592391] ; [ 44.99592391 354.00407609],0
a8,1,0.037085,4.346523,[ 61 257] ; [ 48 313],[ 51.04860088 266.95139912] ; [ 57.95139912 303.04860088],0
u3,1,0.041047,4.174058,[55 30] ; [70 68],[47.64573991 37.35426009] ; [77.35426009 60.64573991],0
p7,1,0.058465,3.580392,[220 111] ; [235 159],[207.73103448 123.26896552] ; [247.26896552 146.73103448],0
n6,1,0.067332,3.346885,[291  49] ; [322  78],[281.64864865  58.35135135] ; [331.35135135  68.64864865],0
s1,1,0.070445,3.272625,[ 16 325] ; [  9 387],[ 11.56716418 329.43283582] ; [ 13.43283582 382.56716418],0
n1,1,0.078111,3.103785,[30 37] ; [30 66],[24.66257669 42.33742331] ; [35.33742331 60.66257669],0
v4,1,0.095499,2.779144,[330  13] ; [372  26],[324.94736842  18.05263158] ; [377.05263158  20.94736842],0
d3,1,0.115129,2.482365,[238 105] ; [255 144],[227.89622642 115.10377358] ; [265.10377358 133.89622642],0
n2,1,0.115437,2.478169,[54 14] ; [67 31],[49.56626506 18.43373494] ; [71.43373494 26.56626506],0
d5,1,0.140491,2.172576,[284  59] ; [314  86],[276.06191117  66.93808883] ; [321.93808883  78.06191117],0
u2,1,0.163109,1.945159,[54 31] ; [74 63],[49.00900901 35.99099099] ; [78.99099099 58.00900901],0
a4,1,0.230192,1.439677,[159 186] ; [166 232],[150.90847914 194.09152086] ; [174.09152086 223.90847914],0
b2,1,0.258937,1.27443,[ 95 129] ; [ 86 145],[ 89.10769231 134.89230769] ; [ 91.89230769 139.10769231],0
b3,1,0.258937,1.27443,[ 95 129] ; [ 86 145],[ 89.10769231 134.89230769] ; [ 91.89230769 139.10769231],0
