Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,110.628822,[ 26 119] ; [136  41],[72.95031056 72.04968944] ; [89.04968944 87.95031056],1
d3,1,0.0,105.560718,[49 96] ; [159  20],[93.08641975 51.91358025] ; [114.91358025  64.08641975],1
d5,1,0.0,102.245771,[76 70] ; [177   2],[113.65538462  32.34461538] ; [139.34461538  39.65538462],1
d4,1,0.0,83.110342,[80 65] ; [173   5],[113.57585139  31.42414861] ; [139.42414861  38.57585139],1
a2,1,0.0,55.790406,[  6 140] ; [ 71 109],[ 34.48466258 111.51533742] ; [ 42.51533742 137.48466258],1
a4,1,0.0,42.603317,[ 38 107] ; [112  67],[67.12962963 77.87037037] ; [82.87037037 96.12962963],1
u1,1,0.0,39.178438,[  3 143] ; [ 50 130],[ 23.73619632 122.26380368] ; [ 29.26380368 150.73619632],1
a3,1,0.0,28.512,[78 66] ; [147  33],[100.  44.] ; [125.  55.],1
a5,1,1e-06,23.306439,[86 59] ; [150  30],[105.29230769  39.70769231] ; [130.70769231  49.29230769],1
s8,1,1e-05,19.42854,[ 33 112] ; [83 96],[51.91358025 93.08641975] ; [ 64.08641975 114.91358025],1
r2,1,5.6e-05,16.248869,[120  24] ; [169   6],[130.45768025  13.54231975] ; [158.54231975  16.45768025],1
r1,1,0.001631,9.924542,[98 48] ; [148  32],[110.17177914  35.82822086] ; [135.82822086  44.17177914],0
a6,1,0.002872,8.887309,[86 59] ; [134  45],[98.45679012 46.54320988] ; [121.54320988  57.45679012],0
a7,1,0.008585,6.907117,[87 58] ; [132  47],[98.00925926 46.99074074] ; [120.99074074  58.00925926],0
s7,1,0.009753,6.679468,[53 83] ; [93 80],[64.25889968 71.74110032] ; [81.74110032 91.25889968],0
n6,1,0.012375,6.256337,[113  32] ; [158  21],[121.2808642  23.7191358] ; [149.7191358  29.2808642],0
r4,1,0.012821,6.193683,[113  33] ; [158  22],[121.36809816  24.63190184] ; [149.63190184  30.36809816],0
p9,1,0.022707,5.190751,[99 41] ; [146  33],[107.52351097  32.47648903] ; [137.47648903  41.52351097],0
s2,1,0.024487,5.059776,[54 91] ; [89 90],[63.99691358 81.00308642] ; [79.00308642 99.99691358],0
v2,1,0.025063,5.019561,[47 91] ; [82 94],[56.69426752 81.30573248] ; [ 72.30573248 103.69426752],0
p4,1,0.028165,4.817949,[64 80] ; [101  77],[73.78881988 70.21118012] ; [91.21118012 86.78881988],0
p10,1,0.028232,4.813858,[96 45] ; [142  38],[104.54205607  36.45794393] ; [133.45794393  46.54205607],0
u3,1,0.076055,3.147257,[26 41] ; [19 14],[30.15 36.85] ; [14.85 18.15],0
r3,1,0.08872,2.897442,[124  21] ; [162  15],[128.78881988  16.21118012] ; [157.21118012  19.78881988],0
s3,1,0.11296,2.512313,[70 72] ; [103  74],[77.00940439 64.99059561] ; [95.99059561 81.00940439],0
u2,1,0.130687,2.284323,[31 36] ; [20 12],[34.51515152 32.48484848] ; [16.48484848 15.51515152],0
v4,1,0.167748,1.902953,[126  19] ; [164  15],[129.78395062  15.21604938] ; [160.21604938  18.78395062],0
b1,1,0.168811,1.893469,[67 79] ; [ 69 111],[60.90797546 85.09202454] ; [ 75.09202454 104.90797546],0
p11,1,0.204703,1.608501,[102  44] ; [137  43],[107.03680982  38.96319018] ; [131.96319018  48.03680982],0
b5,1,0.221455,1.494919,[72 74] ; [101  79],[77.47852761 68.52147239] ; [95.52147239 84.47852761],0
p6,1,0.24225,1.367453,[ 39 104] ; [ 59 118],[43.79375 99.20625] ; [ 54.20625 122.79375],0
a1,1,0.314799,1.010433,[  6 140] ; [ 12 168],[  8.06134969 137.93865031] ; [  9.93865031 170.06134969],0
s1,1,0.351032,0.869725,[  5 140] ; [ 10 167],[  6.75465839 138.24534161] ; [  8.24534161 168.75465839],0
p5,1,0.40835,0.6836,[ 15 129] ; [ 14 166],[ 12.88888889 131.11111111] ; [ 16.11111111 163.88888889],0
v3,1,0.421879,0.645075,[ 39 102] ; [ 56 120],[42.2555205 98.7444795] ; [ 52.7444795 123.2555205],0
p7,1,0.4359,0.607051,[77 66] ; [103  74],[80.4375 62.5625] ; [99.5625 77.4375],0
n1,1,0.49225,0.471605,[18 25] ; [16 30],[16.42696629 26.57303371] ; [17.57303371 28.42696629],0
b4,1,0.498838,0.457408,[83 63] ; [109  71],[85.98773006 60.01226994] ; [106.01226994  73.98773006],0
b2,1,0.507956,0.438275,[24 54] ; [41 75],[26.13402062 51.86597938] ; [38.86597938 77.13402062],0
b3,1,0.507956,0.438275,[24 54] ; [41 75],[26.13402062 51.86597938] ; [38.86597938 77.13402062],0
s6,1,0.547212,0.362336,[83 60] ; [108  68],[85.62068966 57.37931034] ; [105.37931034  70.62068966],0
p2,1,0.668616,0.183225,[108  37] ; [137  42],[109.64506173  35.35493827] ; [135.35493827  43.64506173],0
a8,1,0.675038,0.175766,[ 18 120] ; [ 24 139],[ 19.25581395 118.74418605] ; [ 22.74418605 140.25581395],0
n2,1,0.675587,0.175136,[32 12] ; [33 15],[31.08695652 12.91304348] ; [33.91304348 14.08695652],0
n5,1,0.699263,0.14924,[115  29] ; [146  33],[116.35913313  27.64086687] ; [144.64086687  34.35913313],0
