Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,1.1e-05,19.299911,[ 11 116] ; [8 9],[ 16.75694444 110.24305556] ; [ 2.24305556 14.75694444],1
s5,1,0.000138,14.533232,[ 24 101] ; [10  6],[30.14184397 94.85815603] ; [ 3.85815603 12.14184397],1
p6,1,0.000993,10.839963,[32 93] ; [11  6],[37.85211268 87.14788732] ; [ 5.14788732 11.85211268],1
p3,1,0.015793,5.825804,[50 76] ; [12  5],[54.62937063 71.37062937] ; [7.37062937 9.62937063],0
p4,1,0.017054,5.690782,[58 69] ; [13  4],[62.61805556 64.38194444] ; [8.38194444 8.61805556],0
s1,1,0.023736,5.113836,[  5 118] ; [ 3 14],[  7.02857143 115.97142857] ; [ 0.97142857 16.02857143],0
p8,1,0.028852,4.776447,[50 75] ; [11  5],[54.07801418 70.92198582] ; [6.92198582 9.07801418],0
s7,1,0.029081,4.76282,[44 74] ; [10  5],[47.90977444 70.09022556] ; [6.09022556 8.90977444],0
p12,1,0.03872,4.273089,[  6 121] ; [ 3 14],[  7.9375 119.0625] ; [ 1.0625 15.9375],0
s6,1,0.051361,3.796472,[67 58] ; [12  3],[70.53571429 54.46428571] ; [8.46428571 6.53571429],0
r4,1,0.066836,3.35906,[94 33] ; [16  1],[97.01388889 29.98611111] ; [12.98611111  4.01388889],0
r1,1,0.083516,2.995122,[76 49] ; [14  3],[79.22535211 45.77464789] ; [10.77464789  6.22535211],0
n6,1,0.132459,2.263445,[100  27] ; [16  1],[102.30555556  24.69444444] ; [13.69444444  3.30555556],0
s4,1,0.144584,2.128477,[ 26 100] ; [ 1 16],[ 23.79020979 102.20979021] ; [ 3.20979021 13.79020979],0
p7,1,0.185908,1.749751,[67 58] ; [12  5],[69.54225352 55.45774648] ; [9.45774648 7.54225352],0
v3,1,0.19233,1.699682,[39 86] ; [8 9],[41.37323944 83.62676056] ; [ 5.62676056 11.37323944],0
b2,1,0.200018,1.642245,[20 55] ; [5 6],[21.80232558 53.19767442] ; [3.19767442 7.80232558],0
b3,1,0.200018,1.642245,[20 55] ; [5 6],[21.80232558 53.19767442] ; [3.19767442 7.80232558],0
n1,1,0.249014,1.328828,[17 21] ; [3 1],[18.0952381 19.9047619] ; [1.9047619 2.0952381],0
d5,1,0.267291,1.230599,[63 64] ; [ 6 11],[60.85416667 66.14583333] ; [8.14583333 8.85416667],0
p11,1,0.292272,1.109125,[89 38] ; [14  3],[90.84027778 36.15972222] ; [12.15972222  4.84027778],0
