Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,24.328929,[ 7 47] ; [18  9],[16.66666667 37.33333333] ; [ 8.33333333 18.66666667],1
s2,1,3e-06,21.686825,[ 8 45] ; [18  9],[17.225 35.775] ; [ 8.775 18.225],1
s6,1,2.3e-05,17.904579,[18 35] ; [22  4],[26.83544304 26.16455696] ; [13.16455696 12.83544304],1
s3,1,0.000247,13.43681,[16 36] ; [20  7],[23.69620253 28.30379747] ; [12.30379747 14.69620253],1
a3,1,0.001225,10.451613,[14 40] ; [17 10],[20.66666667 33.33333333] ; [10.33333333 16.66666667],0
s5,1,0.001392,10.216562,[ 4 47] ; [10 17],[ 9.15384615 41.84615385] ; [ 4.84615385 22.15384615],0
d5,1,0.0027,9.0,[12 42] ; [15 12],[18. 36.] ; [ 9. 18.],0
p10,1,0.004413,8.105524,[23 29] ; [21  6],[28.96202532 23.03797468] ; [15.03797468 11.96202532],0
n4,1,0.006502,7.405714,[32 22] ; [24  3],[37.33333333 16.66666667] ; [18.66666667  8.33333333],0
a4,1,0.006546,7.393431,[ 6 47] ; [10 17],[10.6 42.4] ; [ 5.4 21.6],0
a5,1,0.014668,5.955882,[15 39] ; [15 12],[20. 34.] ; [10. 17.],0
r2,1,0.017795,5.616188,[40 14] ; [25  1],[43.875 10.125] ; [21.125  4.875],0
s4,1,0.029952,4.712019,[ 7 47] ; [ 9 18],[10.66666667 43.33333333] ; [ 5.33333333 21.66666667],0
r1,1,0.041061,4.173476,[23 31] ; [18  9],[27.33333333 26.66666667] ; [13.66666667 13.33333333],0
n5,1,0.045049,4.016803,[37 17] ; [24  3],[40.66666667 13.33333333] ; [20.33333333  6.66666667],0
v3,1,0.051647,3.787169,[ 9 43] ; [10 17],[12.50632911 39.49367089] ; [ 6.49367089 20.50632911],0
p4,1,0.055009,3.681818,[18 36] ; [15 12],[22. 32.] ; [11. 16.],0
a2,1,0.069816,3.287338,[ 1 53] ; [ 3 24],[ 2.66666667 51.33333333] ; [ 1.33333333 25.66666667],0
v1,1,0.070414,3.27335,[14 40] ; [12 14],[17.55 36.45] ; [ 8.45 17.55],0
r4,1,0.071438,3.249668,[31 23] ; [21  6],[34.66666667 19.33333333] ; [17.33333333  9.66666667],0
d2,1,0.081437,3.035982,[12 42] ; [11 16],[15.33333333 38.66666667] ; [ 7.66666667 19.33333333],0
r3,1,0.106623,2.603571,[37 17] ; [23  4],[40. 14.] ; [20.  7.],0
p7,1,0.115406,2.47858,[22 32] ; [16 11],[25.33333333 28.66666667] ; [12.66666667 14.33333333],0
u2,1,0.148915,2.083333,[14 26] ; [6 4],[16. 24.] ; [4. 6.],0
p6,1,0.150533,2.066844,[10 43] ; [ 9 18],[12.5875 40.4125] ; [ 6.4125 20.5875],0
p3,1,0.173617,1.851429,[14 40] ; [11 16],[16.66666667 37.33333333] ; [ 8.33333333 18.66666667],0
p9,1,0.207448,1.58915,[29 23] ; [19  8],[31.59493671 20.40506329] ; [16.40506329 10.59493671],0
d3,1,0.224916,1.472727,[ 8 46] ; [ 7 20],[10. 44.] ; [ 5. 22.],0
v4,1,0.225721,1.467621,[44 10] ; [23  2],[45.79746835  8.20253165] ; [21.20253165  3.79746835],0
p1,1,0.292171,1.109589,[ 4 50] ; [ 4 23],[ 5.33333333 48.66666667] ; [ 2.66666667 24.33333333],0
p5,1,0.292171,1.109589,[ 4 50] ; [ 4 23],[ 5.33333333 48.66666667] ; [ 2.66666667 24.33333333],0
v2,1,0.326198,0.963932,[12 38] ; [ 9 17],[13.81578947 36.18421053] ; [ 7.18421053 18.81578947],0
b4,1,0.342782,0.9,[32 22] ; [13 14],[30. 24.] ; [15. 12.],0
s1,1,0.395287,0.722617,[ 3 49] ; [ 3 24],[ 3.94936709 48.05063291] ; [ 2.05063291 24.94936709],0
a6,1,0.430331,0.621929,[23 31] ; [14 13],[24.66666667 29.33333333] ; [12.33333333 14.66666667],0
n2,1,0.463956,0.536333,[15  8] ; [10  3],[15.97222222  7.02777778] ; [9.02777778 3.97222222],0
b3,1,0.475042,0.510224,[ 8 23] ; [ 8 15],[ 9.18518519 21.81481481] ; [ 6.81481481 16.18518519],0
b2,1,0.475042,0.510224,[ 8 23] ; [ 8 15],[ 9.18518519 21.81481481] ; [ 6.81481481 16.18518519],0
n6,1,0.496292,0.462857,[36 18] ; [20  7],[37.33333333 16.66666667] ; [18.66666667  8.33333333],0
n1,1,0.537371,0.380435,[ 9 14] ; [6 6],[ 9.85714286 13.14285714] ; [5.14285714 6.85714286],0
a8,1,0.55385,0.350464,[ 8 40] ; [ 3 23],[ 7.13513514 40.86486486] ; [ 3.86486486 22.13513514],0
p11,1,0.605725,0.266447,[37 17] ; [20  7],[38. 16.] ; [19.  8.],0
p2,1,0.625484,0.238235,[33 21] ; [18  9],[34. 20.] ; [17. 10.],0
p8,1,0.625484,0.238235,[19 35] ; [11 16],[20. 34.] ; [10. 17.],0
b1,1,0.637121,0.222527,[27 27] ; [12 15],[26. 28.] ; [13. 14.],0
u3,1,0.65429,0.200535,[13 27] ; [4 6],[13.6 26.4] ; [3.4 6.6],0
b5,1,0.753298,0.09878,[26 28] ; [14 13],[26.66666667 27.33333333] ; [13.33333333 13.66666667],0
n3,1,0.9485,0.004172,[15  7] ; [9 4],[15.08571429  6.91428571] ; [8.91428571 4.08571429],0
p12,1,1.0,0.0,[ 4 50] ; [ 2 25],[ 4. 50.] ; [ 2. 25.],0
