Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,50.067637,[ 9 32] ; [68 10],[26.52941176 14.47058824] ; [50.47058824 27.52941176],1
r3,1,0.0,26.570696,[21 20] ; [72  6],[32.04201681  8.95798319] ; [60.95798319 17.04201681],1
r2,1,0.000182,14.007174,[26 14] ; [72  6],[33.22033898  6.77966102] ; [64.77966102 13.22033898],1
b4,1,0.001464,10.123452,[16 25] ; [54 24],[24.11764706 16.88235294] ; [45.88235294 32.11764706],0
v4,1,0.003864,8.346659,[25 16] ; [66 12],[31.35294118  9.64705882] ; [59.64705882 18.35294118],0
d4,1,0.005602,7.674096,[22 19] ; [61 17],[28.59663866 12.40336134] ; [54.40336134 23.59663866],0
d5,1,0.006993,7.274715,[21 20] ; [59 19],[27.56302521 13.43697479] ; [52.43697479 25.56302521],0
s6,1,0.009672,6.694316,[ 9 32] ; [36 42],[15.50420168 25.49579832] ; [29.49579832 48.50420168],0
a7,1,0.013008,6.167968,[20 21] ; [56 22],[26.18487395 14.81512605] ; [49.81512605 28.18487395],0
v2,1,0.014849,5.934242,[ 9 30] ; [34 39],[14.97321429 24.02678571] ; [28.02678571 44.97321429],0
n5,1,0.015502,5.858539,[25 16] ; [29 48],[18.76271186 22.23728814] ; [35.23728814 41.76271186],0
d3,1,0.019113,5.491164,[15 25] ; [47 31],[21.01694915 18.98305085] ; [40.98305085 37.01694915],0
u2,1,0.028239,4.813413,[ 7 12] ; [20  9],[10.6875  8.3125] ; [16.3125 12.6875],0
d1,1,0.029439,4.741762,[11 30] ; [37 41],[16.53781513 24.46218487] ; [31.46218487 46.53781513],0
a1,1,0.032524,4.570659,[ 7 34] ; [ 4 74],[ 3.78991597 37.21008403] ; [ 7.21008403 70.78991597],0
p2,1,0.043846,4.0625,[19 20] ; [53 25],[24. 15.] ; [48. 30.],0
b1,1,0.054463,3.698453,[26 15] ; [35 43],[21.01680672 19.98319328] ; [39.98319328 38.01680672],0
