Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000183,13.99373,[17 70] ; [45 54],[29. 58.] ; [33. 66.],1
v1,1,0.000725,11.423894,[32 55] ; [61 38],[43.5 43.5] ; [49.5 49.5],1
a5,1,0.001922,9.622216,[58 33] ; [85 17],[67.42487047 23.57512953] ; [75.57512953 26.42487047],0
d1,1,0.004308,8.149193,[45 46] ; [71 31],[54.69430052 36.30569948] ; [61.30569948 40.69430052],0
d5,1,0.00538,7.747141,[71 20] ; [94  8],[77.79792746 13.20207254] ; [87.20207254 14.79792746],0
a7,1,0.015027,5.91327,[59 32] ; [82 20],[66.48186528 24.51813472] ; [74.51813472 27.48186528],0
p12,1,0.015655,5.841212,[ 1 90] ; [ 9 93],[ 4.71502591 86.28497409] ; [ 5.28497409 96.71502591],0
r3,1,0.019536,5.452933,[84  7] ; [101   1],[87.22797927  3.77202073] ; [97.77202073  4.22797927],0
s6,1,0.026117,4.94827,[59 32] ; [80 21],[65.88020833 25.11979167] ; [73.11979167 27.88020833],0
a6,1,0.036108,4.392016,[58 33] ; [79 23],[64.59585492 26.40414508] ; [72.40414508 29.59585492],0
r1,1,0.048849,3.880545,[62 28] ; [82 19],[67.85340314 22.14659686] ; [76.14659686 24.85340314],0
u1,1,0.066518,3.366931,[18 73] ; [32 70],[23.57512953 67.42487047] ; [26.42487047 75.57512953],0
d4,1,0.070945,3.261014,[65 26] ; [84 18],[70.25388601 20.74611399] ; [78.74611399 23.25388601],0
p6,1,0.071381,3.250969,[24 66] ; [39 61],[29.84210526 60.15789474] ; [33.15789474 66.84210526],0
s1,1,0.075816,3.152382,[ 8 80] ; [ 3 97],[ 5.14893617 82.85106383] ; [ 5.85106383 94.14893617],0
p10,1,0.08476,2.971185,[64 25] ; [84 18],[68.96335079 20.03664921] ; [79.03664921 22.96335079],0
d2,1,0.094125,2.802368,[44 47] ; [61 40],[49.765625 41.234375] ; [55.234375 45.765625],0
b1,1,0.122244,2.388337,[43 48] ; [37 65],[37.72020725 53.27979275] ; [42.27979275 59.72020725],0
r2,1,0.122794,2.381319,[79 11] ; [96  6],[82.03125  7.96875] ; [92.96875  9.03125],0
d3,1,0.144221,2.13233,[60 31] ; [77 25],[64.59585492 26.40414508] ; [72.40414508 29.59585492],0
r4,1,0.160204,1.972303,[77 14] ; [93  9],[80.15544041 10.84455959] ; [89.84455959 12.15544041],0
a2,1,0.171556,1.869295,[23 68] ; [35 67],[27.34715026 63.65284974] ; [30.65284974 71.34715026],0
s3,1,0.183069,1.77253,[57 34] ; [52 46],[52.48148148 38.51851852] ; [56.51851852 41.48148148],0
