Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,3.6e-05,17.070792,[ 4 22] ; [17  6],[11.14285714 14.85714286] ; [ 9.85714286 13.14285714],1
r3,1,0.006918,7.294039,[10 16] ; [17  5],[14.625 11.375] ; [12.375  9.625],0
p10,1,0.012592,6.225542,[ 4 21] ; [11 11],[ 7.9787234 17.0212766] ; [ 7.0212766 14.9787234],0
n5,1,0.021333,5.299349,[12 14] ; [18  5],[15.91836735 10.08163265] ; [14.08163265  8.91836735],0
b4,1,0.032138,4.591112,[14 12] ; [19  4],[17.51020408  8.48979592] ; [15.48979592  7.51020408],0
p2,1,0.033153,4.537882,[ 5 21] ; [11 12],[ 8.48979592 17.51020408] ; [ 7.51020408 15.48979592],0
n3,1,0.081277,3.039183,[4 9] ; [5 2],[5.85 7.15] ; [3.15 3.85],0
s2,1,0.084743,2.971513,[ 3 23] ; [ 7 15],[ 5.41666667 20.58333333] ; [ 4.58333333 17.41666667],0
p9,1,0.09147,2.848314,[ 7 18] ; [11 10],[ 9.7826087 15.2173913] ; [ 8.2173913 12.7826087],0
a2,1,0.112719,2.515679,[ 5 21] ; [ 1 22],[ 3.18367347 22.81632653] ; [ 2.81632653 20.18367347],0
s3,1,0.117811,2.446183,[ 5 20] ; [ 9 13],[ 7.44680851 17.55319149] ; [ 6.55319149 15.44680851],0
s6,1,0.123841,2.36806,[ 5 21] ; [ 9 14],[ 7.42857143 18.57142857] ; [ 6.57142857 16.42857143],0
b3,1,0.128861,2.306174,[10  9] ; [3 9],[ 7.96774194 11.03225806] ; [5.03225806 6.96774194],0
b2,1,0.128861,2.306174,[10  9] ; [3 9],[ 7.96774194 11.03225806] ; [5.03225806 6.96774194],0
v1,1,0.159372,1.980172,[ 8 18] ; [ 3 19],[ 5.95833333 20.04166667] ; [ 5.04166667 16.95833333],0
p4,1,0.189335,1.722784,[ 3 23] ; [ 6 17],[ 4.7755102 21.2244898] ; [ 4.2244898 18.7755102],0
r2,1,0.20958,1.574323,[17  8] ; [11 11],[14.89361702 10.10638298] ; [13.10638298  8.89361702],0
d5,1,0.23386,1.417227,[15 11] ; [17  6],[16.97959184  9.02040816] ; [15.02040816  7.97959184],0
s7,1,0.284423,1.145833,[ 3 21] ; [ 5 15],[ 4.36363636 19.63636364] ; [ 3.63636364 16.36363636],0
d4,1,0.356605,0.849815,[16 10] ; [17  6],[17.51020408  8.48979592] ; [15.48979592  7.51020408],0
r4,1,0.362724,0.828441,[ 5 21] ; [ 7 16],[ 6.36734694 19.63265306] ; [ 5.63265306 17.36734694],0
v2,1,0.411872,0.673391,[ 8 17] ; [10 13],[ 9.375 15.625] ; [ 8.625 14.375],0
p6,1,0.454486,0.559441,[ 1 25] ; [ 2 20],[ 1.625 24.375] ; [ 1.375 20.625],0
n1,1,0.466394,0.530507,[7 6] ; [3 5],[6.19047619 6.80952381] ; [3.80952381 4.19047619],0
s4,1,0.475939,0.508154,[ 4 22] ; [ 2 21],[ 3.18367347 22.81632653] ; [ 2.81632653 20.18367347],0
a8,1,0.501768,0.451195,[ 2 24] ; [ 3 19],[ 2.70833333 23.29166667] ; [ 2.29166667 19.70833333],0
n4,1,0.51799,0.417893,[17  9] ; [17  6],[18.04081633  7.95918367] ; [15.95918367  7.04081633],0
b5,1,0.525131,0.403805,[ 9 17] ; [10 13],[10.08163265 15.91836735] ; [ 8.91836735 14.08163265],0
r1,1,0.589515,0.291102,[11 15] ; [ 8 15],[10.08163265 15.91836735] ; [ 8.91836735 14.08163265],0
s1,1,0.626013,0.237507,[ 2 24] ; [ 1 22],[ 1.59183673 24.40816327] ; [ 1.40816327 21.59183673],0
a4,1,0.631573,0.229933,[10 16] ; [ 7 15],[ 9.20833333 16.79166667] ; [ 7.79166667 14.20833333],0
d3,1,0.673973,0.17699,[12 14] ; [12 11],[12.73469388 13.26530612] ; [11.26530612 11.73469388],0
a7,1,0.673973,0.17699,[14 12] ; [11 12],[13.26530612 12.73469388] ; [11.73469388 11.26530612],0
d1,1,0.698322,0.150223,[11 15] ; [11 12],[11.67346939 14.32653061] ; [10.32653061 12.67346939],0
a3,1,0.732455,0.11687,[14 11] ; [14  9],[14.58333333 10.41666667] ; [13.41666667  9.58333333],0
u2,1,0.748328,0.102941,[ 2 10] ; [2 7],[2.28571429 9.71428571] ; [1.71428571 7.28571429],0
s5,1,0.795558,0.067133,[ 4 22] ; [ 4 18],[ 4.33333333 21.66666667] ; [ 3.66666667 18.33333333],0
p3,1,0.8152,0.054627,[ 4 22] ; [ 3 20],[ 3.71428571 22.28571429] ; [ 3.28571429 19.71428571],0
p1,1,0.84957,0.035974,[ 4 22] ; [ 4 19],[ 4.24489796 21.75510204] ; [ 3.75510204 19.24489796],0
a6,1,0.850939,0.035314,[12 14] ; [10 13],[11.67346939 14.32653061] ; [10.32653061 12.67346939],0
n2,1,0.863926,0.029371,[6 7] ; [4 4],[6.19047619 6.80952381] ; [3.80952381 4.19047619],0
b1,1,0.87925,0.02308,[13 13] ; [11 12],[12.73469388 13.26530612] ; [11.26530612 11.73469388],0
a5,1,0.87925,0.02308,[13 13] ; [11 12],[12.73469388 13.26530612] ; [11.26530612 11.73469388],0
v3,1,0.910817,0.012546,[ 6 20] ; [ 5 18],[ 5.83673469 20.16326531] ; [ 5.16326531 17.83673469],0
p8,1,0.913041,0.011925,[ 3 22] ; [ 3 20],[ 3.125 21.875] ; [ 2.875 20.125],0
d2,1,1.0,0.0,[13 13] ; [11 11],[13. 13.] ; [11. 11.],0
