Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,39.168828,[32 10] ; [ 35 112],[14.88888889 27.11111111] ; [52.11111111 94.88888889],1
a3,1,0.002917,8.858808,[35  9] ; [83 69],[26.48979592 17.51020408] ; [91.51020408 60.48979592],0
s8,1,0.008677,6.888171,[11 33] ; [ 15 138],[ 5.8071066 38.1928934] ; [ 20.1928934 132.8071066],0
n4,1,0.011888,6.32744,[35  9] ; [90 63],[27.91878173 16.08121827] ; [97.08121827 55.91878173],0
r2,1,0.017039,5.692357,[41  2] ; [120  30],[35.87046632  7.12953368] ; [125.12953368  24.87046632],0
n5,1,0.01722,5.673826,[33 11] ; [83 68],[26.17435897 17.82564103] ; [89.82564103 61.17435897],0
v4,1,0.029927,4.71346,[41  3] ; [120  32],[36.14285714  7.85714286] ; [124.85714286  27.14285714],0
b1,1,0.055029,3.681194,[13 31] ; [70 83],[18.53807107 25.46192893] ; [64.46192893 88.53807107],0
b3,1,0.062469,3.470584,[14 14] ; [26 59],[ 9.91150442 18.08849558] ; [30.08849558 54.91150442],0
b2,1,0.062469,3.470584,[14 14] ; [26 59],[ 9.91150442 18.08849558] ; [30.08849558 54.91150442],0
p10,1,0.066577,3.365471,[31 13] ; [83 68],[25.72307692 18.27692308] ; [88.27692308 62.72307692],0
r3,1,0.105896,2.614418,[38  5] ; [118  35],[34.2244898  8.7755102] ; [121.7755102  31.2244898],0
r1,1,0.115905,2.471805,[30 14] ; [84 69],[25.46192893 18.53807107] ; [88.53807107 64.46192893],0
r4,1,0.116738,2.460545,[34 10] ; [99 54],[29.70558376 14.29441624] ; [103.29441624  49.70558376],0
b5,1,0.134879,2.235427,[20 24] ; [89 64],[24.34517766 19.65482234] ; [84.65482234 68.34517766],0
p3,1,0.137339,2.207521,[16 28] ; [ 38 114],[12.12244898 31.87755102] ; [ 41.87755102 110.12244898],0
a5,1,0.146652,2.106734,[29 15] ; [82 71],[24.79187817 19.20812183] ; [86.20812183 66.79187817],0
s7,1,0.146801,2.105178,[11 29] ; [ 25 120],[ 7.78378378 32.21621622] ; [ 28.21621622 116.78378378],0
n2,1,0.170727,1.876551,[10  3] ; [35 27],[7.8 5.2] ; [37.2 24.8],0
p9,1,0.171998,1.865438,[31 13] ; [88 61],[27.12953368 16.87046632] ; [91.87046632 57.12953368],0
d2,1,0.180786,1.791151,[22 21] ; [60 91],[18.17525773 24.82474227] ; [63.82474227 87.17525773],0
b4,1,0.193235,1.692781,[29 15] ; [84 69],[25.23857868 18.76142132] ; [87.76142132 65.23857868],0
s5,1,0.219259,1.509216,[ 5 38] ; [  9 139],[ 3.15183246 39.84816754] ; [ 10.84816754 137.15183246],0
s2,1,0.281444,1.160103,[ 9 35] ; [ 21 131],[ 6.73469388 37.26530612] ; [ 23.26530612 128.73469388],0
a8,1,0.343072,0.898917,[ 2 38] ; [ 14 129],[ 3.49726776 36.50273224] ; [ 12.50273224 130.49726776],0
d4,1,0.369903,0.80399,[33 10] ; [106  46],[30.65128205 12.34871795] ; [108.34871795  43.65128205],0
u1,1,0.371729,0.797877,[ 5 39] ; [ 11 142],[ 3.57360406 40.42639594] ; [ 12.42639594 140.57360406],0
d1,1,0.400539,0.706707,[23 21] ; [69 84],[20.54822335 23.45177665] ; [71.45177665 81.54822335],0
p8,1,0.418236,0.655265,[17 26] ; [ 50 102],[14.77435897 28.22564103] ; [52.22564103 99.77435897],0
a7,1,0.423556,0.640428,[30 13] ; [96 56],[27.78461538 15.21538462] ; [98.21538462 53.78461538],0
n6,1,0.531115,0.392259,[32 12] ; [103  49],[30.30612245 13.69387755] ; [104.69387755  47.30612245],0
a2,1,0.536112,0.382793,[ 8 36] ; [ 22 131],[ 6.70050761 37.29949239] ; [ 23.29949239 129.70050761],0
a4,1,0.568074,0.325916,[18 26] ; [55 97],[16.3877551 27.6122449] ; [56.6122449 95.3877551],0
