Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,116.292621,[ 72 120] ; [437 113],[131.70889488  60.29110512] ; [377.29110512 172.70889488],1
d3,1,0.0,107.524852,[95 97] ; [475  76],[147.29475101  44.70524899] ; [422.70524899 128.29475101],1
a2,1,0.0,37.106735,[ 18 174] ; [175 376],[ 49.87348587 142.12651413] ; [143.12651413 407.87348587],1
u1,1,0.0,34.053132,[ 11 181] ; [140 411],[ 39.02018843 152.97981157] ; [111.97981157 439.02018843],1
b5,1,2.1e-05,18.132637,[ 92 100] ; [360 191],[116.80215343  75.19784657] ; [335.19784657 215.80215343],1
b1,1,0.001411,10.191154,[ 90 102] ; [187 364],[ 71.58008075 120.41991925] ; [205.41991925 345.58008075],0
d1,1,0.0105,6.547965,[119  73] ; [396 155],[133.0820996  58.9179004] ; [381.9179004 169.0820996],0
s5,1,0.013421,6.112704,[ 78 104] ; [173 356],[ 64.25035162 117.74964838] ; [186.74964838 342.25035162],0
v4,1,0.013562,6.09429,[176  16] ; [528  21],[182.41295547   9.58704453] ; [521.58704453  27.41295547],0
r1,1,0.014437,5.98389,[146  46] ; [460  88],[157.23243243  34.76756757] ; [448.76756757  99.23243243],0
r4,1,0.015618,5.845391,[168  24] ; [513  38],[175.97846568  16.02153432] ; [505.02153432  45.97846568],0
r2,1,0.026636,4.914256,[175  15] ; [523  21],[180.68119891   9.31880109] ; [517.31880109  26.68119891],0
s7,1,0.042078,4.132046,[104  81] ; [250 276],[92.10970464 92.89029536] ; [261.89029536 264.10970464],0
a8,1,0.042302,4.123065,[ 18 169] ; [ 77 414],[ 26.2020649 160.7979351] ; [ 68.7979351 422.2020649],0
b4,1,0.044917,4.021751,[103  89] ; [341 210],[114.73485868  77.26514132] ; [329.26514132 221.73485868],0
b3,1,0.050634,3.820344,[61 67] ; [120 199],[51.82997763 76.17002237] ; [129.17002237 189.82997763],0
b2,1,0.050634,3.820344,[61 67] ; [120 199],[51.82997763 76.17002237] ; [129.17002237 189.82997763],0
p2,1,0.050653,3.819721,[148  40] ; [466  83],[156.62415197  31.37584803] ; [457.37584803  91.62415197],0
s8,1,0.071492,3.248426,[97 94] ; [237 311],[ 86.32476319 104.67523681] ; [247.67523681 300.32476319],0
n1,1,0.078125,3.103474,[24 27] ; [38 78],[18.93413174 32.06586826] ; [43.06586826 72.93413174],0
a1,1,0.140535,2.17209,[ 14 178] ; [ 25 526],[ 10.07806191 181.92193809] ; [ 28.92193809 522.07806191],0
p4,1,0.153079,2.041295,[104  84] ; [335 212],[112.28843537  75.71156463] ; [326.71156463 220.28843537],0
d5,1,0.208357,1.582806,[163  29] ; [487  64],[167.96769852  24.03230148] ; [482.03230148  68.96769852],0
v2,1,0.211958,1.558002,[103  83] ; [320 208],[110.19327731  75.80672269] ; [312.80672269 215.19327731],0
u3,1,0.241735,1.37045,[24 21] ; [89 52],[27.33870968 17.66129032] ; [85.66129032 55.33870968],0
p12,1,0.242417,1.366485,[ 11 175] ; [ 47 500],[ 14.71759891 171.28240109] ; [ 43.28240109 503.71759891],0
p10,1,0.277939,1.17714,[147  41] ; [445  99],[152.04371585  35.95628415] ; [439.95628415 104.04371585],0
s4,1,0.362368,0.829669,[ 35 156] ; [ 84 458],[ 31.00818554 159.99181446] ; [ 87.99181446 454.00818554],0
p7,1,0.397959,0.714485,[123  64] ; [334 202],[118.20055325  68.79944675] ; [338.79944675 197.20055325],0
n2,1,0.414151,0.666852,[39 12] ; [83 35],[36.81656805 14.18343195] ; [85.18343195 32.81656805],0
s3,1,0.423239,0.641303,[113  78] ; [302 239],[108.28551913  82.71448087] ; [306.71448087 234.28551913],0
n6,1,0.424585,0.63759,[155  34] ; [463  85],[158.48303935  30.51696065] ; [459.51696065  88.48303935],0
n3,1,0.434166,0.611653,[33 17] ; [85 33],[35.11904762 14.88095238] ; [82.88095238 35.11904762],0
p8,1,0.4375,0.602831,[92 94] ; [287 257],[96.56712329 89.43287671] ; [282.43287671 261.56712329],0
a3,1,0.437632,0.602484,[147  44] ; [407 142],[142.99189189  48.00810811] ; [411.00810811 137.99189189],0
v1,1,0.449008,0.573154,[107  80] ; [289 246],[102.56509695  84.43490305] ; [293.43490305 241.56509695],0
u2,1,0.452959,0.563236,[25 19] ; [89 52],[27.11351351 16.88648649] ; [86.88648649 54.11351351],0
p3,1,0.45739,0.552273,[98 92] ; [266 283],[93.58592693 96.41407307] ; [270.41407307 278.58592693],0
n4,1,0.475711,0.508679,[150  41] ; [418 132],[146.40755735  44.59244265] ; [421.59244265 128.40755735],0
