Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,60.334285,[25 99] ; [258 174],[63.11510791 60.88489209] ; [219.88489209 212.11510791],1
a4,1,0.0,57.113296,[ 22 101] ; [245 189],[58.96050269 64.03949731] ; [208.03949731 225.96050269],1
a3,1,0.0,42.683387,[61 61] ; [345  88],[89.24684685 32.75315315] ; [316.75315315 116.24684685],1
u1,1,0.0,37.019565,[  5 119] ; [134 301],[30.83363148 93.16636852] ; [108.16636852 326.83363148],1
d1,1,0.0,27.370729,[56 68] ; [307 128],[80.52236136 43.47763864] ; [282.47763864 152.52236136],1
n4,1,1e-06,23.742185,[75 48] ; [356  79],[95.00537634 27.99462366] ; [335.99462366  99.00537634],1
p4,1,6e-06,20.58362,[55 68] ; [289 141],[76.51356239 46.48643761] ; [267.48643761 162.51356239],1
a6,1,0.000195,13.880927,[83 41] ; [356  76],[97.90647482 26.09352518] ; [341.09352518  90.90647482],1
d3,1,0.000454,12.294351,[85 39] ; [359  74],[98.8438061 25.1561939] ; [345.1561939  87.8438061],1
v1,1,0.001857,9.685968,[50 69] ; [248 179],[64.94871795 54.05128205] ; [233.05128205 193.94871795],0
v2,1,0.002601,9.068403,[58 59] ; [270 146],[72. 45.] ; [256. 160.],0
p9,1,0.003883,8.337529,[91 29] ; [371  57],[101.16788321  18.83211679] ; [360.83211679  67.16788321],0
p10,1,0.004003,8.28224,[88 33] ; [362  68],[98.82032668 22.17967332] ; [351.17967332  78.82032668],0
p12,1,0.005394,7.742424,[  3 120] ; [ 45 386],[ 10.65703971 112.34296029] ; [ 37.34296029 393.65703971],0
s7,1,0.008199,6.989507,[45 72] ; [215 196],[57.61363636 59.38636364] ; [202.38636364 208.61363636],0
s8,1,0.011057,6.456165,[42 82] ; [200 228],[54.36231884 69.63768116] ; [187.63768116 240.36231884],0
s5,1,0.012844,6.190466,[28 93] ; [147 271],[39.28571429 81.71428571] ; [135.71428571 282.28571429],0
d5,1,0.013117,6.153318,[95 29] ; [372  61],[103.96409336  20.03590664] ; [363.03590664  69.96409336],0
n5,1,0.016003,5.802495,[81 42] ; [331 101],[91.30810811 31.69189189] ; [320.69189189 111.30810811],0
b3,1,0.020899,5.335177,[13 49] ; [ 97 170],[20.72948328 41.27051672] ; [ 89.27051672 177.72948328],0
b2,1,0.020899,5.335177,[13 49] ; [ 97 170],[20.72948328 41.27051672] ; [ 89.27051672 177.72948328],0
p3,1,0.025019,5.022578,[50 74] ; [223 208],[60.99459459 63.00540541] ; [212.00540541 218.99459459],0
p8,1,0.045639,3.994878,[57 65] ; [242 183],[66.68738574 55.31261426] ; [232.31261426 192.68738574],0
p6,1,0.07891,3.08722,[36 85] ; [165 264],[44.22 76.78] ; [156.78 272.22],0
s1,1,0.079519,3.074713,[  7 114] ; [ 11 417],[  3.96721311 117.03278689] ; [ 14.03278689 413.96721311],0
d4,1,0.084672,2.972868,[100  24] ; [376  57],[105.96768402  18.03231598] ; [370.03231598  62.96768402],0
p2,1,0.101043,2.688996,[99 25] ; [371  61],[104.82014388  19.17985612] ; [365.17985612  66.82014388],0
v3,1,0.108029,2.582824,[40 77] ; [177 240],[47.54494382 69.45505618] ; [169.45505618 247.54494382],0
n6,1,0.141729,2.159088,[98 25] ; [368  64],[103.27567568  19.72432432] ; [362.72432432  69.27567568],0
p11,1,0.156781,2.005005,[90 34] ; [342  93],[95.82826476 28.17173524] ; [336.17173524  98.82826476],0
p7,1,0.161118,1.9637,[70 49] ; [277 144],[76.46851852 42.53148148] ; [270.53148148 150.46851852],0
n3,1,0.175715,1.8335,[25  5] ; [63 26],[22.18487395  7.81512605] ; [65.81512605 23.18487395],0
s6,1,0.190541,1.713431,[79 44] ; [300 126],[84.91256831 38.08743169] ; [294.08743169 131.91256831],0
p5,1,0.199159,1.64853,[ 10 113] ; [ 53 378],[ 13.98736462 109.01263538] ; [ 49.01263538 381.98736462],0
u4,1,0.291195,1.114088,[  1 123] ; [ 10 425],[  2.44007156 121.55992844] ; [  8.55992844 426.44007156],0
a1,1,0.324938,0.968968,[  3 121] ; [ 19 416],[  4.88014311 119.11985689] ; [ 17.11985689 417.88014311],0
s3,1,0.336961,0.921961,[73 48] ; [235 189],[68.38165138 52.61834862] ; [239.61834862 184.38165138],0
b5,1,0.349158,0.876516,[75 49] ; [283 152],[79.41323792 44.58676208] ; [278.58676208 156.41323792],0
b1,1,0.446719,0.578963,[41 83] ; [160 275],[44.58676208 79.41323792] ; [156.41323792 278.58676208],0
v4,1,0.474478,0.511529,[119   5] ; [420  12],[120.20863309   3.79136691] ; [418.79136691  13.20863309],0
s2,1,0.544319,0.367594,[61 62] ; [225 202],[63.96 59.04] ; [222.04 204.96],0
r3,1,0.546083,0.364381,[117   5] ; [420  13],[118.04324324   3.95675676] ; [418.95675676  14.04324324],0
r4,1,0.645326,0.211844,[118   6] ; [418  17],[118.8980322   5.1019678] ; [417.1019678  17.8980322],0
a8,1,0.657564,0.196496,[16 99] ; [ 59 319],[17.49492901 97.50507099] ; [ 57.50507099 320.49492901],0
s4,1,0.658225,0.195687,[ 17 104] ; [ 67 360],[ 18.54744526 102.45255474] ; [ 65.45255474 361.54744526],0
r2,1,0.680586,0.169466,[120   4] ; [421  11],[120.65467626   3.34532374] ; [420.34532374  11.65467626],0
u2,1,0.682127,0.167741,[37 24] ; [51 38],[35.78666667 25.21333333] ; [52.21333333 36.78666667],0
b4,1,0.850079,0.035728,[75 49] ; [259 176],[74.08944544 49.91055456] ; [259.91055456 175.08944544],0
p1,1,0.909041,0.013053,[ 11 112] ; [ 40 391],[ 11.32310469 111.67689531] ; [ 39.67689531 391.32310469],0
n1,1,0.935035,0.006644,[11 19] ; [33 55],[11.18644068 18.81355932] ; [32.81355932 55.18644068],0
u3,1,0.983367,0.000435,[41 21] ; [59 30],[41.05960265 20.94039735] ; [58.94039735 30.05960265],0
n2,1,0.984011,0.000402,[21  8] ; [65 25],[20.95798319  8.04201681] ; [65.04201681 24.95798319],0
