Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.012616,6.222222,[3 1] ; [ 4 20],[1. 3.] ; [ 6. 18.],0
s2,1,0.026407,4.929167,[3 1] ; [ 5 19],[1.14285714 2.85714286] ; [ 6.85714286 17.14285714],0
s5,1,0.069832,3.286957,[2 2] ; [ 3 21],[0.71428571 3.28571429] ; [ 4.28571429 19.71428571],0
u3,1,0.073638,3.2,[3 1] ; [3 9],[1.5 2.5] ; [4.5 7.5],0
b4,1,0.076533,3.137037,[1 3] ; [17  7],[2.57142857 1.42857143] ; [15.42857143  8.57142857],0
p12,1,0.134169,2.24359,[1 3] ; [ 1 23],[0.28571429 3.71428571] ; [ 1.71428571 22.28571429],0
p5,1,0.134169,2.24359,[1 3] ; [ 1 23],[0.28571429 3.71428571] ; [ 1.71428571 22.28571429],0
s6,1,0.160581,1.96875,[3 1] ; [ 9 15],[1.71428571 2.28571429] ; [10.28571429 13.71428571],0
r4,1,0.212317,1.555556,[2 2] ; [ 5 19],[1. 3.] ; [ 6. 18.],0
p4,1,0.215869,1.531624,[3 1] ; [10 14],[1.85714286 2.14285714] ; [11.14285714 12.85714286],0
s3,1,0.233884,1.417081,[2 2] ; [ 5 18],[1.03703704 2.96296296] ; [ 5.96296296 17.03703704],0
p11,1,0.280087,1.166667,[3 1] ; [11 13],[2. 2.] ; [12. 12.],0
a1,1,0.318388,0.995556,[1 3] ; [ 2 22],[0.42857143 3.57142857] ; [ 2.57142857 21.42857143],0
n1,1,0.371093,0.8,[1 1] ; [2 8],[0.5 1.5] ; [2.5 7.5],0
n3,1,0.371093,0.8,[1 1] ; [8 2],[1.5 0.5] ; [7.5 2.5],0
n6,1,0.435678,0.607639,[1 3] ; [11 13],[1.71428571 2.28571429] ; [10.28571429 13.71428571],0
p9,1,0.435678,0.607639,[1 3] ; [11 13],[1.71428571 2.28571429] ; [10.28571429 13.71428571],0
a5,1,0.435678,0.607639,[1 3] ; [11 13],[1.71428571 2.28571429] ; [10.28571429 13.71428571],0
v4,1,0.527458,0.399287,[3 1] ; [14 10],[2.42857143 1.57142857] ; [14.57142857  9.42857143],0
r1,1,0.527458,0.399287,[1 3] ; [10 14],[1.57142857 2.42857143] ; [ 9.42857143 14.57142857],0
u2,1,0.550985,0.355556,[3 1] ; [7 5],[2.5 1.5] ; [7.5 4.5],0
n4,1,0.629063,0.233333,[1 3] ; [ 9 15],[1.42857143 2.57142857] ; [ 8.57142857 15.42857143],0
b5,1,0.635558,0.224599,[2 2] ; [15  9],[2.42857143 1.57142857] ; [14.57142857  9.42857143],0
d3,1,0.635558,0.224599,[2 2] ; [15  9],[2.42857143 1.57142857] ; [14.57142857  9.42857143],0
s7,1,0.68658,0.162812,[1 2] ; [ 5 17],[0.72 2.28] ; [ 5.28 16.72],0
v3,1,0.687031,0.162319,[1 3] ; [ 4 20],[0.71428571 3.28571429] ; [ 4.28571429 19.71428571],0
v1,1,0.7411,0.109162,[1 3] ; [ 8 16],[1.28571429 2.71428571] ; [ 7.71428571 16.28571429],0
b1,1,0.7411,0.109162,[3 1] ; [16  8],[2.71428571 1.28571429] ; [16.28571429  7.71428571],0
a7,1,0.755189,0.097222,[2 2] ; [14 10],[2.28571429 1.71428571] ; [13.71428571 10.28571429],0
p10,1,0.755189,0.097222,[2 2] ; [10 14],[1.71428571 2.28571429] ; [10.28571429 13.71428571],0
n2,1,0.793428,0.068571,[1 1] ; [6 4],[1.16666667 0.83333333] ; [5.83333333 4.16666667],0
d4,1,0.850857,0.035354,[3 1] ; [19  5],[3.14285714 0.85714286] ; [18.85714286  5.14285714],0
v2,1,0.850857,0.035354,[1 3] ; [ 5 19],[0.85714286 3.14285714] ; [ 5.14285714 18.85714286],0
d2,1,0.850857,0.035354,[1 3] ; [ 5 19],[0.85714286 3.14285714] ; [ 5.14285714 18.85714286],0
d1,1,0.864395,0.029167,[1 3] ; [ 7 17],[1.14285714 2.85714286] ; [ 6.85714286 17.14285714],0
a6,1,0.877059,0.023932,[2 2] ; [11 13],[1.85714286 2.14285714] ; [11.14285714 12.85714286],0
d5,1,0.877059,0.023932,[2 2] ; [13 11],[2.14285714 1.85714286] ; [12.85714286 11.14285714],0
s8,1,1.0,0.0,[1 3] ; [ 6 18],[1. 3.] ; [ 6. 18.],0
