Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.575866,[ 7 24] ; [42 12],[17.87058824 13.12941176] ; [31.12941176 22.87058824],1
n6,1,0.002108,9.453195,[16 15] ; [44  9],[22.14285714  8.85714286] ; [37.85714286 15.14285714],0
s7,1,0.012023,6.307413,[ 7 22] ; [28 25],[12.37804878 16.62195122] ; [22.62195122 30.37804878],0
r1,1,0.012628,6.220423,[16 15] ; [42 12],[21.15294118  9.84705882] ; [36.84705882 17.15294118],0
u1,1,0.01798,5.598118,[ 2 29] ; [15 39],[ 6.2 24.8] ; [10.8 43.2],0
n1,1,0.030287,4.692954,[4 9] ; [12  5],[6.93333333 6.06666667] ; [9.06666667 7.93333333],0
p2,1,0.040774,4.185368,[19 12] ; [44 10],[22.97647059  8.02352941] ; [40.02352941 13.97647059],0
r4,1,0.058132,3.589896,[21 10] ; [46  8],[24.43529412  6.56470588] ; [42.56470588 11.43529412],0
p11,1,0.074652,3.177646,[11 20] ; [30 24],[14.95294118 16.04705882] ; [26.04705882 27.95294118],0
p9,1,0.087793,2.914384,[ 8 23] ; [24 30],[11.67058824 19.32941176] ; [20.32941176 33.67058824],0
d5,1,0.096749,2.758335,[21 10] ; [45  9],[24.07058824  6.92941176] ; [41.92941176 12.07058824],0
v4,1,0.099841,2.708084,[25  6] ; [50  4],[27.35294118  3.64705882] ; [47.64705882  6.35294118],0
b5,1,0.103702,2.647667,[17 14] ; [39 15],[20.42352941 10.57647059] ; [35.57647059 18.42352941],0
p6,1,0.106934,2.598961,[ 8 23] ; [23 30],[11.44047619 19.55952381] ; [19.55952381 33.44047619],0
a4,1,0.144921,2.124918,[11 20] ; [28 26],[14.22352941 16.77647059] ; [24.77647059 29.22352941],0
s8,1,0.147231,2.10071,[ 8 23] ; [22 31],[11.07142857 19.92857143] ; [18.92857143 34.07142857],0
v1,1,0.160487,1.969634,[ 9 22] ; [24 30],[12.03529412 18.96470588] ; [20.96470588 33.03529412],0
b1,1,0.169416,1.888106,[13 18] ; [31 23],[16.04705882 14.95294118] ; [27.95294118 26.04705882],0
d2,1,0.169416,1.888106,[13 18] ; [31 23],[16.04705882 14.95294118] ; [27.95294118 26.04705882],0
r2,1,0.193388,1.691614,[25  6] ; [48  5],[26.94047619  4.05952381] ; [46.05952381  6.94047619],0
b4,1,0.231731,1.430207,[16 15] ; [35 19],[18.6 12.4] ; [32.4 21.6],0
v3,1,0.237582,1.394887,[ 7 23] ; [19 34],[ 9.39759036 20.60240964] ; [16.60240964 36.39759036],0
s4,1,0.244299,1.355616,[ 8 23] ; [ 8 44],[ 5.97590361 25.02409639] ; [10.02409639 41.97590361],0
a2,1,0.290071,1.119293,[ 4 27] ; [12 42],[ 5.83529412 25.16470588] ; [10.16470588 43.83529412],0
u3,1,0.318725,0.994171,[9 4] ; [12 11],[7.58333333 5.41666667] ; [13.41666667  9.58333333],0
n2,1,0.330931,0.945251,[8 4] ; [14  3],[9.10344828 2.89655172] ; [12.89655172  4.10344828],0
s6,1,0.362782,0.828241,[18 13] ; [36 17],[19.92857143 11.07142857] ; [34.07142857 18.92857143],0
b3,1,0.396443,0.719087,[ 5 14] ; [15 25],[ 6.44067797 12.55932203] ; [13.55932203 26.44067797],0
b2,1,0.396443,0.719087,[ 5 14] ; [15 25],[ 6.44067797 12.55932203] ; [13.55932203 26.44067797],0
d1,1,0.42178,0.645349,[15 16] ; [31 23],[16.77647059 14.22352941] ; [29.22352941 24.77647059],0
p1,1,0.478841,0.501501,[ 2 29] ; [ 6 48],[ 2.91764706 28.08235294] ; [ 5.08235294 48.91764706],0
a7,1,0.498668,0.457771,[19 12] ; [37 17],[20.42352941 10.57647059] ; [35.57647059 18.42352941],0
p3,1,0.523898,0.406213,[15 16] ; [30 24],[16.41176471 14.58823529] ; [28.58823529 25.41176471],0
d3,1,0.532455,0.389703,[21 10] ; [40 14],[22.24705882  8.75294118] ; [38.75294118 15.24705882],0
s3,1,0.540073,0.375404,[16 15] ; [31 22],[17.3452381 13.6547619] ; [29.6547619 23.3452381],0
s2,1,0.586963,0.295112,[13 18] ; [25 27],[14.19277108 16.80722892] ; [23.80722892 28.19277108],0
n3,1,0.602332,0.271493,[8 5] ; [12  5],[8.66666667 4.33333333] ; [11.33333333  5.66666667],0
a5,1,0.617592,0.249267,[19 12] ; [36 18],[20.05882353 10.94117647] ; [34.94117647 19.05882353],0
a1,1,0.625387,0.238368,[ 1 30] ; [ 3 51],[ 1.45882353 29.54117647] ; [ 2.54117647 51.45882353],0
s1,1,0.714027,0.134288,[ 3 28] ; [ 4 50],[ 2.55294118 28.44705882] ; [ 4.44705882 49.55294118],0
p7,1,0.725493,0.12329,[16 15] ; [30 24],[16.77647059 14.22352941] ; [29.22352941 24.77647059],0
d4,1,0.73069,0.118479,[24  7] ; [40 14],[23.34117647  7.65882353] ; [40.65882353 13.34117647],0
a6,1,0.822311,0.050433,[18 13] ; [30 24],[17.50588235 13.49411765] ; [30.49411765 23.50588235],0
s5,1,0.827908,0.047257,[ 7 23] ; [13 38],[ 7.40740741 22.59259259] ; [12.59259259 38.40740741],0
v2,1,0.886944,0.020213,[15 16] ; [26 26],[15.31325301 15.68674699] ; [25.68674699 26.31325301],0
u2,1,0.901225,0.015404,[5 8] ; [ 8 14],[4.82857143 8.17142857] ; [ 8.17142857 13.82857143],0
r3,1,0.949326,0.004039,[28  3] ; [49  5],[28.08235294  2.91764706] ; [48.91764706  5.08235294],0
a3,1,0.952939,0.003483,[18 13] ; [31 23],[17.87058824 13.12941176] ; [31.12941176 22.87058824],0
p8,1,0.973983,0.001064,[14 16] ; [25 29],[13.92857143 16.07142857] ; [25.07142857 28.92857143],0
