Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,113.153701,[554  12] ; [82 34],[527.82404692  38.17595308] ; [108.17595308   7.82404692],1
r2,1,0.0,41.367095,[550  13] ; [92 18],[537.06686478  25.93313522] ; [104.93313522   5.06686478],1
a5,1,0.0,28.446925,[456 109] ; [67 49],[433.9133627 131.0866373] ; [89.0866373 26.9133627],1
v4,1,9e-06,19.774495,[549  16] ; [101  14],[540.07352941  24.92647059] ; [109.92647059   5.07352941],1
u1,1,3.4e-05,17.196744,[130 436] ; [  7 109],[113.69794721 452.30205279] ; [23.30205279 92.69794721],1
d1,1,0.000207,13.766492,[363 203] ; [53 63],[345.24340176 220.75659824] ; [70.75659824 45.24340176],1
a2,1,0.000346,12.801933,[164 402] ; [ 15 101],[148.5542522 417.4457478] ; [30.4457478 85.5542522],1
d3,1,0.000729,11.414904,[405 158] ; [65 51],[389.70544919 173.29455081] ; [80.29455081 35.70544919],1
d2,1,0.000912,10.997296,[306 257] ; [43 72],[289.80383481 273.19616519] ; [59.19616519 55.80383481],1
a4,1,0.003033,8.787365,[284 279] ; [41 75],[269.47717231 293.52282769] ; [55.52282769 60.47717231],0
a7,1,0.003107,8.743483,[417 147] ; [70 46],[403.92352941 160.07647059] ; [83.07647059 32.92352941],0
s5,1,0.004596,8.031895,[195 348] ; [23 83],[182.394453 360.605547] ; [35.605547 70.394453],0
u3,1,0.006479,7.411962,[89 53] ; [14 23],[81.70949721 60.29050279] ; [21.29050279 15.70949721],0
s8,1,0.009693,6.690457,[277 284] ; [42 74],[264.34121123 296.65878877] ; [54.65878877 61.34121123],0
p7,1,0.01231,6.265639,[372 179] ; [63 51],[360.42857143 190.57142857] ; [74.57142857 39.42857143],0
s6,1,0.013747,6.070294,[392 162] ; [66 46],[380.97897898 173.02102102] ; [77.02102102 34.97897898],0
s2,1,0.018804,5.519612,[302 255] ; [49 67],[290.50074294 266.49925706] ; [60.49925706 55.50074294],0
d5,1,0.023153,5.157021,[476  87] ; [88 28],[467.64653903  95.35346097] ; [96.35346097 19.64653903],0
s7,1,0.025154,5.013221,[300 238] ; [48 61],[289.37248841 248.62751159] ; [58.62751159 50.37248841],0
p4,1,0.029263,4.752046,[365 195] ; [62 52],[354.77744807 205.22255193] ; [72.22255193 41.77744807],0
a6,1,0.039437,4.241935,[394 168] ; [70 46],[384.61356932 177.38643068] ; [79.38643068 36.61356932],0
v1,1,0.04256,4.1128,[325 229] ; [53 57],[315.37951807 238.62048193] ; [62.62048193 47.37951807],0
p8,1,0.043684,4.068727,[307 246] ; [51 62],[297.25825826 255.74174174] ; [60.74174174 52.25825826],0
d4,1,0.053396,3.731489,[477  85] ; [90 26],[469.99115044  92.00884956] ; [97.00884956 18.99115044],0
a3,1,0.071435,3.249733,[424 139] ; [78 38],[416.23858616 146.76141384] ; [85.76141384 30.23858616],0
n2,1,0.107336,2.593013,[70 25] ; [28  4],[73.30708661 21.69291339] ; [24.69291339  7.30708661],0
n3,1,0.119402,2.425145,[69 24] ; [28  4],[72.168 20.832] ; [24.832  7.168],0
s3,1,0.12875,2.307514,[328 228] ; [59 56],[320.67362146 235.32637854] ; [66.32637854 48.67362146],0
v2,1,0.137508,2.205626,[329 217] ; [59 53],[321.95744681 224.04255319] ; [66.04255319 45.95744681],0
b3,1,0.146471,2.108627,[145 216] ; [22 49],[139.55324074 221.44675926] ; [27.44675926 43.55324074],0
b2,1,0.146471,2.108627,[145 216] ; [22 49],[139.55324074 221.44675926] ; [27.44675926 43.55324074],0
p2,1,0.168469,1.89651,[482  80] ; [92 22],[477.20118343  84.79881657] ; [96.79881657 17.20118343],0
b5,1,0.192303,1.699886,[334 232] ; [76 40],[340.26392962 225.73607038] ; [69.73607038 46.26392962],0
u4,1,0.216257,1.52904,[ 16 550] ; [  1 115],[ 14.1085044 551.8914956] ; [  2.8914956 113.1085044],0
p6,1,0.277591,1.178848,[228 328] ; [39 71],[222.9009009 333.0990991] ; [44.0990991 65.9009009],0
p3,1,0.298117,1.082598,[303 258] ; [56 59],[297.92751479 263.07248521] ; [61.07248521 53.92751479],0
p9,1,0.31559,1.007134,[474  83] ; [102  13],[477.42857143  79.57142857] ; [98.57142857 16.42857143],0
v3,1,0.326542,0.962561,[242 302] ; [45 69],[237.27659574 306.72340426] ; [49.72340426 64.27659574],0
u2,1,0.337712,0.919099,[81 60] ; [18 19],[78.42134831 62.57865169] ; [20.57865169 16.42134831],0
p10,1,0.358548,0.842973,[469  89] ; [91 22],[465.69299553  92.30700447] ; [94.30700447 18.69299553],0
p12,1,0.400846,0.705786,[ 53 505] ; [  8 106],[ 50.65178571 507.34821429] ; [ 10.34821429 103.65178571],0
n1,1,0.46317,0.538223,[38 55] ; [15 16],[39.75 53.25] ; [13.25 17.75],0
a1,1,0.510011,0.434044,[ 26 540] ; [  7 109],[ 27.38709677 538.61290323] ; [  5.61290323 110.38709677],0
a8,1,0.523616,0.406765,[ 87 419] ; [16 93],[ 84.74471545 421.25528455] ; [18.25528455 90.74471545],0
n5,1,0.551359,0.354887,[483  81] ; [96 19],[480.93667158  83.06332842] ; [98.06332842 16.93667158],0
s4,1,0.641661,0.216577,[ 81 474] ; [ 15 101],[ 79.40387481 475.59612519] ; [16.59612519 99.40387481],0
b1,1,0.714583,0.133743,[225 341] ; [44 72],[223.24633431 342.75366569] ; [45.75366569 70.24633431],0
b4,1,0.734011,0.115461,[327 239] ; [69 47],[328.64516129 237.35483871] ; [67.35483871 48.64516129],0
p5,1,0.764634,0.089641,[ 72 487] ; [16 99],[ 72.9851632 486.0148368] ; [15.0148368 99.9851632],0
p1,1,0.796281,0.066648,[ 49 512] ; [ 11 105],[ 49.71935007 511.28064993] ; [ 10.28064993 105.71935007],0
p11,1,0.80222,0.062738,[469  97] ; [95 21],[468.07038123  97.92961877] ; [95.92961877 20.07038123],0
s1,1,0.947515,0.004333,[ 20 535] ; [  4 111],[ 19.88059701 535.11940299] ; [  4.11940299 110.88059701],0
n6,1,0.960339,0.002473,[499  64] ; [103  13],[499.15463918  63.84536082] ; [102.84536082  13.15463918],0
