Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3e-06,21.666469,[111  24] ; [24 26],[98.51351351 36.48648649] ; [36.48648649 13.51351351],1
p9,1,0.000134,14.587576,[102  30] ; [24 26],[91.38461538 40.61538462] ; [34.61538462 15.38461538],1
v4,1,0.000423,12.427844,[120  15] ; [32 16],[112.13114754  22.86885246] ; [39.86885246  8.13114754],1
p11,1,0.000548,11.943249,[104  31] ; [26 25],[94.35483871 40.64516129] ; [35.64516129 15.35483871],1
n4,1,0.000894,11.034971,[107  28] ; [28 23],[97.98387097 37.01612903] ; [37.01612903 13.98387097],1
b1,1,0.000953,10.915977,[56 79] ; [35 16],[66.0483871 68.9516129] ; [24.9516129 26.0483871],1
s7,1,0.001486,10.096154,[61 69] ; [ 9 36],[52. 78.] ; [18. 27.],0
r3,1,0.00185,9.692412,[117  18] ; [34 17],[109.59677419  25.40322581] ; [41.40322581  9.59677419],0
p10,1,0.001902,9.641818,[93 40] ; [22 27],[84.03846154 48.96153846] ; [30.96153846 18.03846154],0
p2,1,0.002638,9.042386,[99 34] ; [25 24],[90.61538462 42.38461538] ; [33.38461538 15.61538462],0
s8,1,0.004156,8.214185,[57 78] ; [10 41],[48.62903226 86.37096774] ; [18.37096774 32.62903226],0
r4,1,0.007953,7.044034,[99 36] ; [27 24],[91.4516129 43.5483871] ; [34.5483871 16.4516129],0
s6,1,0.010999,6.465501,[70 64] ; [16 35],[62.29189189 71.70810811] ; [23.70810811 27.29189189],0
p3,1,0.020882,5.336588,[54 80] ; [11 39],[47.33695652 86.66304348] ; [17.66304348 32.33695652],0
p8,1,0.026777,4.905119,[58 74] ; [13 37],[51.49450549 80.50549451] ; [19.50549451 30.49450549],0
d5,1,0.027101,4.884334,[90 45] ; [25 26],[83.46774194 51.53225806] ; [31.53225806 19.46774194],0
v3,1,0.048715,3.885134,[52 80] ; [11 36],[46.45810056 85.54189944] ; [16.54189944 30.45810056],0
d4,1,0.091985,2.839281,[91 44] ; [27 23],[86.10810811 48.89189189] ; [31.89189189 18.10810811],0
p6,1,0.106417,2.606645,[35 97] ; [ 7 40],[ 30.97206704 101.02793296] ; [11.02793296 35.97206704],0
r1,1,0.113752,2.50131,[86 49] ; [26 25],[81.29032258 53.70967742] ; [30.70967742 20.29032258],0
u2,1,0.122084,2.390384,[18 28] ; [13  9],[20.97058824 25.02941176] ; [10.02941176 11.97058824],0
p7,1,0.136459,2.217447,[73 59] ; [21 28],[68.55248619 63.44751381] ; [25.44751381 23.55248619],0
a8,1,0.152798,2.04409,[ 14 111] ; [ 2 46],[ 11.56069364 113.43930636] ; [ 4.43930636 43.56069364],0
a5,1,0.164114,1.935908,[84 51] ; [26 25],[79.83870968 55.16129032] ; [30.16129032 20.83870968],0
u3,1,0.225327,1.470116,[14 32] ; [10 12],[16.23529412 29.76470588] ; [ 7.76470588 14.23529412],0
a1,1,0.240532,1.377473,[  5 130] ; [ 4 47],[  6.53225806 128.46774194] ; [ 2.46774194 48.53225806],0
n2,1,0.246009,1.345825,[25 17] ; [17  6],[27.13846154 14.86153846] ; [14.86153846  8.13846154],0
r2,1,0.246906,1.340725,[112  20] ; [38 11],[109.39226519  22.60773481] ; [40.60773481  8.39226519],0
a3,1,0.252222,1.310953,[89 46] ; [29 22],[85.64516129 49.35483871] ; [32.35483871 18.64516129],0
p4,1,0.270335,1.215048,[61 72] ; [18 31],[57.73076923 75.26923077] ; [21.26923077 27.73076923],0
p5,1,0.316266,1.004324,[ 11 122] ; [ 2 48],[  9.44808743 123.55191257] ; [ 3.55191257 46.44808743],0
u1,1,0.333571,0.934986,[  7 128] ; [ 1 50],[  5.80645161 129.19354839] ; [ 2.19354839 48.80645161],0
n3,1,0.350944,0.87004,[25 16] ; [16  6],[26.68253968 14.31746032] ; [14.31746032  7.68253968],0
d3,1,0.354839,0.856075,[55 80] ; [17 34],[52.25806452 82.74193548] ; [19.74193548 31.25806452],0
s2,1,0.360575,0.83589,[49 85] ; [15 36],[46.35675676 87.64324324] ; [17.64324324 33.35675676],0
v1,1,0.361377,0.833103,[59 73] ; [19 32],[56.26229508 75.73770492] ; [21.73770492 29.26229508],0
b5,1,0.392873,0.730031,[73 62] ; [24 27],[70.40322581 64.59677419] ; [26.59677419 24.40322581],0
b2,1,0.406464,0.689119,[37 54] ; [10 21],[35.05737705 55.94262295] ; [11.94262295 19.05737705],0
b3,1,0.406464,0.689119,[37 54] ; [10 21],[35.05737705 55.94262295] ; [11.94262295 19.05737705],0
n1,1,0.448111,0.575425,[15 27] ; [10 12],[16.40625 25.59375] ; [ 8.59375 13.40625],0
d1,1,0.456759,0.553826,[53 82] ; [17 34],[50.80645161 84.19354839] ; [19.19354839 31.80645161],0
v2,1,0.468996,0.524341,[56 74] ; [17 29],[53.92045455 76.07954545] ; [19.07954545 26.92045455],0
p1,1,0.472567,0.515967,[  9 125] ; [ 2 49],[  7.96756757 126.03243243] ; [ 3.03243243 47.96756757],0
a2,1,0.492996,0.469981,[  7 128] ; [ 4 47],[  7.98387097 127.01612903] ; [ 3.01612903 47.98387097],0
s3,1,0.495135,0.465348,[59 74] ; [25 25],[61.04918033 71.95081967] ; [22.95081967 27.04918033],0
s1,1,0.502032,0.450638,[  5 129] ; [ 3 47],[  5.82608696 128.17391304] ; [ 2.17391304 47.82608696],0
s4,1,0.622336,0.242598,[ 15 120] ; [ 7 44],[ 15.96774194 119.03225806] ; [ 6.03225806 44.96774194],0
a4,1,0.65691,0.197299,[49 84] ; [17 34],[47.70652174 85.29347826] ; [18.29347826 32.70652174],0
b4,1,0.7991,0.064777,[66 69] ; [26 25],[66.77419355 68.22580645] ; [25.22580645 25.77419355],0
u4,1,0.816934,0.053588,[  2 133] ; [ 1 50],[  2.17741935 132.82258065] ; [ 0.82258065 50.17741935],0
d2,1,0.868401,0.027453,[56 78] ; [22 29],[56.4972973 77.5027027] ; [21.5027027 29.4972973],0
a6,1,0.956992,0.002908,[55 80] ; [21 30],[55.16129032 79.83870968] ; [20.83870968 30.16129032],0
