Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,4e-06,21.449589,[12 29] ; [65 25],[24.09923664 16.90076336] ; [52.90076336 37.09923664],1
a6,1,0.001128,10.605409,[18 23] ; [66 24],[26.29007634 14.70992366] ; [57.70992366 32.29007634],0
d3,1,0.003034,8.786949,[25 16] ; [76 14],[31.61068702  9.38931298] ; [69.38931298 20.61068702],0
n1,1,0.00324,8.667311,[7 5] ; [ 2 18],[3.375 8.625] ; [ 5.625 14.375],0
a2,1,0.00374,8.406097,[ 2 39] ; [24 66],[ 8.13740458 32.86259542] ; [17.86259542 72.13740458],0
b1,1,0.026166,4.945009,[19 22] ; [24 66],[13.45801527 27.54198473] ; [29.54198473 60.45801527],0
u1,1,0.066693,3.362595,[ 4 37] ; [21 69],[ 7.82442748 33.17557252] ; [17.17557252 72.82442748],0
p3,1,0.075233,3.164991,[26 15] ; [42 48],[21.28244275 19.71755725] ; [46.71755725 43.28244275],0
d1,1,0.091488,2.847998,[21 20] ; [60 30],[25.35114504 15.64885496] ; [55.64885496 34.35114504],0
v2,1,0.106255,2.609053,[15 24] ; [47 40],[19.19047619 19.80952381] ; [42.80952381 44.19047619],0
d4,1,0.127853,2.318386,[30 11] ; [76 14],[33.17557252  7.82442748] ; [72.82442748 17.17557252],0
p8,1,0.13459,2.238748,[27 13] ; [47 41],[23.125 16.875] ; [50.875 37.125],0
p1,1,0.142674,2.148876,[ 6 35] ; [ 6 84],[ 3.75572519 37.24427481] ; [ 8.24427481 81.75572519],0
b4,1,0.148319,2.08945,[20 21] ; [56 34],[23.78625954 17.21374046] ; [52.21374046 37.78625954],0
n2,1,0.151191,2.06019,[11  1] ; [14  6],[9.375 2.625] ; [15.625  4.375],0
s7,1,0.156531,2.007422,[28 12] ; [50 38],[24.375 15.625] ; [53.625 34.375],0
s2,1,0.179142,1.804725,[25 15] ; [66 23],[28.21705426 11.78294574] ; [62.78294574 26.21705426],0
a1,1,0.181383,1.786254,[ 2 39] ; [ 1 89],[ 0.9389313 40.0610687] ; [ 2.0610687 87.9389313],0
a5,1,0.194646,1.682099,[27 14] ; [69 21],[30.04580153 10.95419847] ; [65.95419847 24.04580153],0
n4,1,0.204193,1.61213,[31 10] ; [58 32],[27.85496183 13.14503817] ; [61.14503817 28.85496183],0
p7,1,0.215562,1.533676,[31  9] ; [58 29],[28.03149606 11.96850394] ; [60.96850394 26.03149606],0
r2,1,0.239082,1.385996,[37  4] ; [86  4],[38.49618321  2.50381679] ; [84.50381679  5.49618321],0
s1,1,0.296013,1.09207,[ 3 37] ; [ 3 87],[ 1.84615385 38.15384615] ; [ 4.15384615 85.84615385],0
p2,1,0.296881,1.08815,[31 10] ; [75 15],[33.17557252  7.82442748] ; [72.82442748 17.17557252],0
p9,1,0.31184,1.022865,[38  3] ; [87  3],[39.1221374  1.8778626] ; [85.8778626  4.1221374],0
n6,1,0.358997,0.841398,[34  7] ; [79 10],[35.63846154  5.36153846] ; [77.36153846 11.63846154],0
p4,1,0.361823,0.831556,[23 18] ; [58 32],[25.35114504 15.64885496] ; [55.64885496 34.35114504],0
s5,1,0.371318,0.79925,[23 15] ; [43 40],[20.72727273 17.27272727] ; [45.27272727 37.72727273],0
p11,1,0.41767,0.656861,[34  7] ; [69 21],[32.23664122  8.76335878] ; [70.76335878 19.23664122],0
a8,1,0.423972,0.639279,[ 1 38] ; [ 5 80],[ 1.88709677 37.11290323] ; [ 4.11290323 80.88709677],0
n5,1,0.431848,0.617848,[31 10] ; [62 28],[29.10687023 11.89312977] ; [63.89312977 26.10687023],0
p12,1,0.536907,0.381302,[ 4 37] ; [ 6 84],[ 3.12977099 37.87022901] ; [ 6.87022901 83.12977099],0
u3,1,0.581452,0.303894,[7 6] ; [17 10],[7.8 5.2] ; [16.2 10.8],0
v4,1,0.64834,0.208,[38  2] ; [87  3],[38.46153846  1.53846154] ; [86.53846154  3.46153846],0
r4,1,0.68104,0.168958,[37  4] ; [79 11],[36.30534351  4.69465649] ; [79.69465649 10.30534351],0
