Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,2.8e-05,17.529561,[23 10] ; [218 425],[11.7647929 21.2352071] ; [229.2352071 413.7647929],1
v1,1,0.001248,10.418174,[10 23] ; [367 257],[18.93607306 14.06392694] ; [358.06392694 265.93607306],0
p2,1,0.015928,5.810781,[24  9] ; [560  81],[28.59347181  4.40652819] ; [555.40652819  85.59347181],0
s6,1,0.024295,5.073444,[18 15] ; [457 172],[23.67824773  9.32175227] ; [451.32175227 177.67824773],0
s1,1,0.035043,4.443062,[ 3 30] ; [ 17 618],[ 0.98802395 32.01197605] ; [ 19.01197605 615.98802395],0
p6,1,0.036983,4.351187,[ 7 25] ; [257 380],[12.62780269 19.37219731] ; [251.37219731 385.62780269],0
p3,1,0.050576,3.822253,[12 20] ; [354 288],[17.3768546 14.6231454] ; [348.6231454 293.3768546],0
a4,1,0.069906,3.285225,[10 23] ; [298 344],[15.05777778 17.94222222] ; [292.94222222 349.05777778],0
n6,1,0.070572,3.269668,[26  7] ; [570  70],[29.2243685  3.7756315] ; [566.7756315  73.2243685],0
b3,1,0.0757,3.154889,[ 5 18] ; [153 226],[ 9.039801 13.960199] ; [148.960199 230.039801],0
b2,1,0.0757,3.154889,[ 5 18] ; [153 226],[ 9.039801 13.960199] ; [148.960199 230.039801],0
p5,1,0.084573,2.974756,[ 1 32] ; [ 85 553],[ 4.2295082 28.7704918] ; [ 81.7704918 556.2295082],0
n1,1,0.110662,2.544742,[3 1] ; [43 77],[1.48387097 2.51612903] ; [44.51612903 75.48387097],0
p4,1,0.124122,2.364519,[17 16] ; [414 226],[21.13372957 11.86627043] ; [409.86627043 230.13372957],0
r2,1,0.185295,1.754639,[31  2] ; [624  15],[32.16517857  0.83482143] ; [622.83482143  16.16517857],0
a2,1,0.192029,1.70198,[ 5 28] ; [162 481],[ 8.15236686 24.84763314] ; [158.84763314 484.15236686],0
a1,1,0.204593,1.609283,[ 3 30] ; [ 28 615],[ 1.51331361 31.48668639] ; [ 29.48668639 613.51331361],0
s4,1,0.215626,1.533244,[ 3 29] ; [114 523],[ 5.59641256 26.40358744] ; [111.40358744 525.59641256],0
d5,1,0.232372,1.426285,[30  3] ; [531 109],[27.50817236  5.49182764] ; [533.49182764 106.50817236],0
p8,1,0.275271,1.190292,[16 17] ; [369 266],[19.01946108 13.98053892] ; [365.98053892 269.01946108],0
