Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,24.624063,[98  6] ; [7 7],[92.54237288 11.45762712] ; [12.45762712  1.54237288],1
r4,1,1e-06,24.029125,[94 12] ; [5 9],[87.45 18.55] ; [11.55  2.45],1
r2,1,0.000265,13.30339,[101   4] ; [9 4],[97.88135593  7.11864407] ; [12.11864407  0.88135593],1
p2,1,0.000319,12.953408,[80 26] ; [ 4 10],[74.2 31.8] ; [9.8 4.2],1
s6,1,0.000825,11.183942,[83 20] ; [5 8],[78.13793103 24.86206897] ; [9.86206897 3.13793103],1
r1,1,0.001597,9.96337,[85 20] ; [6 8],[80.29411765 24.70588235] ; [10.70588235  3.29411765],0
s8,1,0.00245,9.177489,[53 53] ; [ 1 13],[47.7 58.3] ; [6.3 7.7],0
s1,1,0.008321,6.963032,[ 7 97] ; [ 4 10],[ 9.69491525 94.30508475] ; [ 1.30508475 12.69491525],0
s7,1,0.011915,6.32351,[61 36] ; [3 9],[56.95412844 40.04587156] ; [7.04587156 4.95412844],0
p9,1,0.019049,5.49699,[75 27] ; [6 8],[71.22413793 30.77586207] ; [9.77586207 4.22413793],0
d5,1,0.02296,5.171523,[82 23] ; [7 7],[78.52941176 26.47058824] ; [10.47058824  3.52941176],0
n6,1,0.026742,4.907418,[75 29] ; [6 8],[71.38983051 32.61016949] ; [9.61016949 4.38983051],0
s2,1,0.035676,4.412521,[81 25] ; [7 7],[77.73333333 28.26666667] ; [10.26666667  3.73333333],0
v1,1,0.05157,3.789649,[51 53] ; [ 3 11],[47.59322034 56.40677966] ; [6.40677966 7.59322034],0
a7,1,0.068042,3.329634,[78 28] ; [7 7],[75.08333333 30.91666667] ; [9.91666667 4.08333333],0
u3,1,0.082608,3.012829,[22 14] ; [1 4],[20.19512195 15.80487805] ; [2.80487805 2.19512195],0
p10,1,0.087871,2.912948,[61 41] ; [5 9],[58.03448276 43.96551724] ; [7.96551724 6.03448276],0
p8,1,0.134937,2.234763,[38 67] ; [ 2 11],[35.59322034 69.40677966] ; [4.40677966 8.59322034],0
d3,1,0.167044,1.909272,[72 33] ; [7 7],[69.70588235 35.29411765] ; [9.29411765 4.70588235],0
n1,1,0.177875,1.815289,[18 23] ; [5 2],[19.64583333 21.35416667] ; [3.35416667 3.64583333],0
a2,1,0.179579,1.801107,[24 82] ; [ 1 13],[22.08333333 83.91666667] ; [ 2.91666667 11.08333333],0
p3,1,0.196268,1.669932,[41 64] ; [8 6],[43.23529412 61.76470588] ; [5.76470588 8.23529412],0
s5,1,0.207636,1.587835,[40 57] ; [ 3 10],[37.91818182 59.08181818] ; [5.08181818 7.91818182],0
d4,1,0.215422,1.534608,[83 22] ; [9 5],[81.17647059 23.82352941] ; [10.82352941  3.17647059],0
n2,1,0.237776,1.393728,[32  9] ; [4 3],[30.75 10.25] ; [5.25 1.75],0
d1,1,0.298205,1.082205,[61 45] ; [6 8],[59.18333333 46.81666667] ; [7.81666667 6.18333333],0
n3,1,0.329867,0.949418,[30 10] ; [4 3],[28.93617021 11.06382979] ; [5.06382979 1.93617021],0
b5,1,0.339431,0.912578,[67 39] ; [7 7],[65.36666667 40.63333333] ; [8.63333333 5.36666667],0
v2,1,0.388025,0.745123,[48 52] ; [5 9],[46.49122807 53.50877193] ; [6.50877193 7.49122807],0
a6,1,0.392037,0.732614,[65 40] ; [7 7],[63.52941176 41.47058824] ; [8.47058824 5.52941176],0
p1,1,0.416168,0.661111,[14 91] ; [ 3 11],[15. 90.] ; [ 2. 12.],0
a8,1,0.496863,0.46163,[14 83] ; [ 3 11],[14.85585586 82.14414414] ; [ 2.14414414 11.85585586],0
n4,1,0.514603,0.424695,[65 39] ; [10  4],[66.10169492 37.89830508] ; [8.89830508 5.10169492],0
d2,1,0.521456,0.411012,[58 47] ; [9 5],[59.11764706 45.88235294] ; [7.88235294 6.11764706],0
v3,1,0.620009,0.245855,[30 71] ; [ 3 10],[29.23684211 71.76315789] ; [3.76315789 9.23684211],0
s4,1,0.637239,0.222372,[29 77] ; [ 3 11],[28.26666667 77.73333333] ; [ 3.73333333 10.26666667],0
a4,1,0.678424,0.171906,[44 62] ; [5 9],[43.28333333 62.71666667] ; [5.71666667 8.28333333],0
a1,1,0.695483,0.153213,[  5 101] ; [ 1 13],[  5.3 100.7] ; [ 0.7 13.3],0
b1,1,0.711282,0.137,[55 51] ; [8 6],[55.65 50.35] ; [7.35 6.65],0
p7,1,0.713482,0.134824,[54 50] ; [8 6],[54.6440678 49.3559322] ; [7.3559322 6.6440678],0
b4,1,0.739198,0.110833,[58 48] ; [7 7],[57.41666667 48.58333333] ; [7.58333333 6.41666667],0
p5,1,0.761557,0.092074,[11 95] ; [ 1 12],[10.68907563 95.31092437] ; [ 1.31092437 11.68907563],0
p6,1,0.764582,0.089682,[33 71] ; [5 9],[33.49152542 70.50847458] ; [4.50847458 9.49152542],0
p4,1,0.842025,0.039722,[56 50] ; [7 7],[55.65 50.35] ; [7.35 6.65],0
u2,1,0.851152,0.035212,[16 20] ; [2 3],[15.80487805 20.19512195] ; [2.19512195 2.80487805],0
n5,1,0.862991,0.02978,[65 40] ; [9 5],[65.29411765 39.70588235] ; [8.70588235 5.29411765],0
a5,1,0.952459,0.003554,[69 37] ; [9 5],[68.9 37.1] ; [9.1 4.9],0
a3,1,0.972062,0.001227,[68 37] ; [9 5],[67.94117647 37.05882353] ; [9.05882353 4.94117647],0
b2,1,1.0,0.0,[15 35] ; [3 7],[15. 35.] ; [3. 7.],0
b3,1,1.0,0.0,[15 35] ; [3 7],[15. 35.] ; [3. 7.],0
