Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,6e-06,20.418262,[85  9] ; [11 11],[77.79310345 16.20689655] ; [18.20689655  3.79310345],1
p7,1,2.2e-05,17.979222,[69 25] ; [ 6 17],[60.25641026 33.74358974] ; [14.74358974  8.25641026],1
p11,1,0.001328,10.303833,[78 19] ; [11 12],[71.94166667 25.05833333] ; [17.05833333  5.94166667],0
p8,1,0.001498,10.080741,[51 43] ; [ 4 19],[44.18803419 49.81196581] ; [10.81196581 12.18803419],0
p10,1,0.00452,8.062141,[83 14] ; [13  9],[78.25210084 18.74789916] ; [17.74789916  4.25210084],0
v4,1,0.010271,6.587295,[91  5] ; [18  5],[87.93277311  8.06722689] ; [21.06722689  1.93277311],0
s2,1,0.01083,6.492924,[62 35] ; [ 8 15],[56.58333333 40.41666667] ; [13.41666667  9.58333333],0
s3,1,0.01486,5.933,[64 32] ; [ 9 14],[58.8907563 37.1092437] ; [14.1092437  8.8907563],0
b1,1,0.017707,5.624897,[33 64] ; [14  9],[37.99166667 59.00833333] ; [ 9.00833333 13.99166667],0
p12,1,0.02125,5.306201,[ 6 90] ; [ 5 18],[ 8.87394958 87.12605042] ; [ 2.12605042 20.87394958],0
p3,1,0.023429,5.136381,[55 42] ; [ 7 16],[50.11666667 46.88333333] ; [11.88333333 11.11666667],0
r1,1,0.036631,4.367466,[81 15] ; [15  8],[77.44537815 18.55462185] ; [18.55462185  4.44537815],0
p4,1,0.0373,4.336675,[63 34] ; [ 9 13],[58.68907563 38.31092437] ; [13.31092437  8.68907563],0
n5,1,0.041071,4.173087,[71 25] ; [12 11],[66.95798319 29.04201681] ; [16.04201681  6.95798319],0
u3,1,0.04448,4.038253,[20 11] ; [2 6],[17.48717949 13.51282051] ; [4.51282051 3.48717949],0
n3,1,0.050802,3.8148,[21  4] ; [4 4],[18.93939394  6.06060606] ; [6.06060606 1.93939394],0
p6,1,0.082462,3.015688,[40 57] ; [ 5 18],[36.375 60.625] ; [ 8.625 14.375],0
n4,1,0.093044,2.820908,[72 25] ; [13 10],[68.70833333 28.29166667] ; [16.29166667  6.70833333],0
s1,1,0.1008,2.692845,[ 4 93] ; [ 3 20],[ 5.65833333 91.34166667] ; [ 1.34166667 21.65833333],0
s6,1,0.107145,2.595831,[85  9] ; [18  5],[82.75213675 11.24786325] ; [20.24786325  2.75213675],0
n2,1,0.154058,2.031605,[20  5] ; [5 4],[18.38235294  6.61764706] ; [6.61764706 2.38235294],0
d2,1,0.160928,1.965487,[47 49] ; [15  8],[50.01680672 45.98319328] ; [11.98319328 11.01680672],0
a1,1,0.172681,1.859512,[ 5 92] ; [ 3 20],[ 6.46666667 90.53333333] ; [ 1.53333333 21.46666667],0
u2,1,0.180521,1.793331,[17 13] ; [2 5],[15.40540541 14.59459459] ; [3.59459459 3.40540541],0
a7,1,0.186072,1.748451,[68 28] ; [13 10],[65.34453782 30.65546218] ; [15.65546218  7.34453782],0
r4,1,0.188772,1.727178,[89  8] ; [19  4],[87.3  9.7] ; [20.7  2.3],0
n1,1,0.265953,1.2375,[10 15] ; [5 3],[11.36363636 13.63636364] ; [3.63636364 4.36363636],0
v2,1,0.285894,1.138856,[43 54] ; [12  9],[45.21186441 51.78813559] ; [ 9.78813559 11.21186441],0
d3,1,0.294964,1.096824,[66 31] ; [13 10],[63.85833333 33.14166667] ; [15.14166667  7.85833333],0
