Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,39.918389,[49  2] ; [17 30],[34.34693878 16.65306122] ; [31.65306122 15.34693878],1
v4,1,0.0,34.655834,[48  3] ; [18 29],[34.34693878 16.65306122] ; [31.65306122 15.34693878],1
r2,1,3e-06,21.970394,[49  1] ; [26 18],[39.89361702 10.10638298] ; [35.10638298  8.89361702],1
r1,1,4e-06,21.510451,[38 13] ; [13 34],[26.54081633 24.45918367] ; [24.45918367 22.54081633],1
p11,1,2.9e-05,17.488787,[33 18] ; [11 37],[22.66666667 28.33333333] ; [21.33333333 26.66666667],1
a1,1,0.005597,7.67569,[ 1 50] ; [ 9 39],[ 5.15151515 45.84848485] ; [ 4.84848485 43.15151515],0
u3,1,0.006004,7.548956,[13  8] ; [ 3 14],[ 8.84210526 12.15789474] ; [7.15789474 9.84210526],0
n6,1,0.006618,7.373826,[34 17] ; [18 28],[27.34020619 23.65979381] ; [24.65979381 21.34020619],0
n3,1,0.009723,6.684916,[13  3] ; [11 16],[8.93023256 7.06976744] ; [15.06976744 11.93023256],0
p9,1,0.011007,6.464151,[29 21] ; [14 30],[22.87234043 27.12765957] ; [20.12765957 23.87234043],0
b5,1,0.011601,6.370823,[31 20] ; [17 31],[24.72727273 26.27272727] ; [23.27272727 24.72727273],0
p10,1,0.018051,5.591197,[29 21] ; [16 31],[23.19587629 26.80412371] ; [21.80412371 25.19587629],0
p7,1,0.020453,5.372802,[18 32] ; [ 7 39],[13.02083333 36.97916667] ; [11.97916667 34.02083333],0
p3,1,0.027423,4.863977,[16 35] ; [ 6 41],[11.44897959 39.55102041] ; [10.55102041 36.44897959],0
s1,1,0.032333,4.58073,[ 2 49] ; [ 8 39],[ 5.20408163 45.79591837] ; [ 4.79591837 42.20408163],0
d2,1,0.034279,4.480733,[18 32] ; [27 20],[23.19587629 26.80412371] ; [21.80412371 25.19587629],0
p1,1,0.035452,4.423265,[ 2 49] ; [ 8 40],[ 5.15151515 45.84848485] ; [ 4.84848485 43.15151515],0
u2,1,0.062799,3.461869,[12  8] ; [ 5 12],[ 9.18918919 10.81081081] ; [7.81081081 9.18918919],0
b2,1,0.12674,2.331984,[10 22] ; [16 16],[13. 19.] ; [13. 19.],0
b3,1,0.12674,2.331984,[10 22] ; [16 16],[13. 19.] ; [13. 19.],0
p4,1,0.154925,2.023076,[12 38] ; [ 6 41],[ 9.27835052 40.72164948] ; [ 8.72164948 38.27835052],0
n2,1,0.16392,1.937685,[14  5] ; [15 13],[11.72340426  7.27659574] ; [17.27659574 10.72340426],0
a7,1,0.16875,1.894013,[32 19] ; [23 24],[28.62244898 22.37755102] ; [26.37755102 20.62244898],0
s8,1,0.217359,1.521724,[ 7 44] ; [ 3 45],[ 5.15151515 45.84848485] ; [ 4.84848485 43.15151515],0
v2,1,0.264053,1.247381,[18 30] ; [12 33],[15.48387097 32.51612903] ; [14.51612903 30.48387097],0
b1,1,0.276841,1.182531,[21 30] ; [25 23],[23.6969697 27.3030303] ; [22.3030303 25.6969697],0
p8,1,0.279992,1.167127,[12 39] ; [ 7 40],[ 9.8877551 41.1122449] ; [ 9.1122449 37.8877551],0
d3,1,0.360449,0.836329,[27 24] ; [21 27],[24.72727273 26.27272727] ; [23.27272727 24.72727273],0
n5,1,0.407298,0.686675,[30 20] ; [32 15],[31.95876289 18.04123711] ; [30.04123711 16.95876289],0
u1,1,0.40806,0.684445,[ 3 48] ; [ 5 43],[ 4.12121212 46.87878788] ; [ 3.87878788 44.12121212],0
s2,1,0.437834,0.601951,[ 8 43] ; [ 5 43],[ 6.6969697 44.3030303] ; [ 6.3030303 41.6969697],0
n4,1,0.466739,0.529686,[30 21] ; [31 16],[31.74489796 19.25510204] ; [29.25510204 17.74489796],0
a3,1,0.466739,0.529686,[30 21] ; [31 16],[31.74489796 19.25510204] ; [29.25510204 17.74489796],0
a6,1,0.505518,0.443333,[31 20] ; [26 22],[29.36363636 21.63636364] ; [27.63636364 20.36363636],0
d4,1,0.524459,0.405115,[37 14] ; [32 16],[35.54545455 15.45454545] ; [33.45454545 14.54545455],0
