Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,9e-06,19.706083,[20 12] ; [ 2 26],[11.73333333 20.26666667] ; [10.26666667 17.73333333],1
a3,1,1.1e-05,19.358738,[28  4] ; [ 9 19],[19.73333333 12.26666667] ; [17.26666667 10.73333333],1
d3,1,0.000284,13.174925,[22 11] ; [ 6 23],[14.90322581 18.09677419] ; [13.09677419 15.90322581],1
a6,1,0.001819,9.723585,[21 12] ; [ 7 22],[14.90322581 18.09677419] ; [13.09677419 15.90322581],0
d5,1,0.002534,9.116014,[24  9] ; [10 19],[18.09677419 14.90322581] ; [15.90322581 13.09677419],0
p4,1,0.005912,7.576899,[14 19] ; [ 3 25],[ 9.19672131 23.80327869] ; [ 7.80327869 20.19672131],0
d1,1,0.009497,6.726962,[16 17] ; [ 5 24],[11.17741935 21.82258065] ; [ 9.82258065 19.17741935],0
d4,1,0.012148,6.289121,[23 10] ; [11 18],[18.09677419 14.90322581] ; [15.90322581 13.09677419],0
a7,1,0.014877,5.930946,[18 15] ; [ 7 22],[13.30645161 19.69354839] ; [11.69354839 17.30645161],0
d2,1,0.020646,5.356406,[17 15] ; [ 7 22],[12.59016393 19.40983607] ; [11.40983607 17.59016393],0
s5,1,0.0639,3.433148,[ 8 25] ; [ 2 27],[ 5.32258065 27.67741935] ; [ 4.67741935 24.32258065],0
b1,1,0.087599,2.917961,[24  9] ; [15 14],[20.75806452 12.24193548] ; [18.24193548 10.75806452],0
p11,1,0.110941,2.540761,[13 20] ; [ 6 23],[10.11290323 22.88709677] ; [ 8.88709677 20.11290323],0
p3,1,0.128706,2.308041,[11 21] ; [ 5 24],[ 8.39344262 23.60655738] ; [ 7.60655738 21.39344262],0
n6,1,0.1525,2.047065,[18 14] ; [11 18],[15.21311475 16.78688525] ; [13.78688525 15.21311475],0
s7,1,0.17174,1.867687,[ 6 24] ; [ 2 25],[ 4.21052632 25.78947368] ; [ 3.78947368 23.21052632],0
p5,1,0.185442,1.753463,[ 4 27] ; [ 1 28],[ 2.58333333 28.41666667] ; [ 2.41666667 26.58333333],0
v3,1,0.193276,1.692465,[ 9 24] ; [ 4 25],[ 6.91935484 26.08064516] ; [ 6.08064516 22.91935484],0
v1,1,0.199775,1.644017,[13 20] ; [ 7 22],[10.64516129 22.35483871] ; [ 9.35483871 19.64516129],0
p6,1,0.203104,1.619915,[ 6 27] ; [ 2 26],[ 4.32786885 28.67213115] ; [ 3.67213115 24.32786885],0
p9,1,0.204666,1.60876,[15 16] ; [ 9 19],[12.61016949 18.38983051] ; [11.38983051 16.61016949],0
n5,1,0.243396,1.360819,[25  8] ; [18 11],[22.88709677 10.11290323] ; [20.11290323  8.88709677],0
s2,1,0.245708,1.347544,[ 7 26] ; [ 3 26],[ 5.32258065 27.67741935] ; [ 4.67741935 24.32258065],0
a1,1,0.245708,1.347544,[ 7 26] ; [ 3 26],[ 5.32258065 27.67741935] ; [ 4.67741935 24.32258065],0
b4,1,0.264925,1.242835,[17 16] ; [19 10],[19.16129032 13.83870968] ; [16.83870968 12.16129032],0
p10,1,0.288898,1.124748,[15 18] ; [ 9 19],[12.98360656 20.01639344] ; [11.01639344 16.98360656],0
r2,1,0.351962,0.86637,[22 10] ; [16 12],[20.26666667 11.73333333] ; [17.73333333 10.26666667],0
n4,1,0.353865,0.859548,[22 11] ; [16 13],[20.22580645 12.77419355] ; [17.77419355 11.22580645],0
n3,1,0.365592,0.818594,[6 9] ; [9 7],[7.25806452 7.74193548] ; [7.74193548 8.25806452],0
s3,1,0.368638,0.80825,[ 8 24] ; [ 4 22],[ 6.62068966 25.37931034] ; [ 5.37931034 20.62068966],0
s6,1,0.388052,0.745037,[10 23] ; [ 6 23],[ 8.51612903 24.48387097] ; [ 7.48387097 21.51612903],0
r1,1,0.49245,0.471169,[13 20] ; [ 9 20],[11.70967742 21.29032258] ; [10.29032258 18.70967742],0
p8,1,0.53611,0.382797,[10 22] ; [ 7 22],[ 8.91803279 23.08196721] ; [ 8.08196721 20.91803279],0
p1,1,0.567963,0.326102,[ 4 29] ; [ 5 24],[ 4.79032258 28.20967742] ; [ 4.20967742 24.79032258],0
n2,1,0.576086,0.312605,[6 9] ; [8 8],[6.77419355 8.22580645] ; [7.22580645 8.77419355],0
n1,1,0.60524,0.267165,[7 8] ; [ 6 10],[6.29032258 8.70967742] ; [6.70967742 9.29032258],0
u3,1,0.656005,0.198413,[1 4] ; [ 6 14],[1.4 3.6] ; [ 5.6 14.4],0
p7,1,0.664266,0.188383,[12 20] ; [ 9 19],[11.2 20.8] ; [ 9.8 18.2],0
s4,1,0.692943,0.155918,[ 7 26] ; [ 5 24],[ 6.38709677 26.61290323] ; [ 5.61290323 23.38709677],0
v2,1,0.750577,0.101047,[ 6 27] ; [ 6 22],[ 6.49180328 26.50819672] ; [ 5.50819672 22.49180328],0
b5,1,0.773367,0.082929,[16 17] ; [13 16],[15.43548387 17.56451613] ; [13.56451613 15.43548387],0
b2,1,0.808497,0.058741,[ 8 14] ; [ 8 12],[ 8.38095238 13.61904762] ; [ 7.61904762 12.38095238],0
b3,1,0.808497,0.058741,[ 8 14] ; [ 8 12],[ 8.38095238 13.61904762] ; [ 7.61904762 12.38095238],0
v4,1,0.824197,0.049351,[18 15] ; [15 14],[17.56451613 15.43548387] ; [15.43548387 13.56451613],0
s1,1,0.825462,0.048631,[ 4 29] ; [ 3 26],[ 3.72580645 29.27419355] ; [ 3.27419355 25.72580645],0
r4,1,0.825462,0.048631,[ 4 29] ; [ 3 26],[ 3.72580645 29.27419355] ; [ 3.27419355 25.72580645],0
p12,1,0.92595,0.008638,[ 1 32] ; [ 1 28],[ 1.06451613 31.93548387] ; [ 0.93548387 28.06451613],0
p2,1,0.972328,0.001203,[12 20] ; [11 18],[12.06557377 19.93442623] ; [10.93442623 18.06557377],0
